bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
5,0,5,1,1,0.9811320754716981,0.0,0.0,-1.0,0.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",in,0.9811320754716981,1.0
4,0,5,1,1,0.9811320754716981,0.0,1.0,0.0,0.0,in,"DomainError(""The point should not be at the origin (0, 0)"", """")",0.9811320754716981,1.0
6,0,5,1,1,0.43877560313203423,0.0,0.0,-2.0,-1.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",in,0.6937651438056692,0.632455532033676
6,0,9,0,1,0.10846522890932808,3.0,79.0,5.0,88.0,in,out,1.0,0.10846522890932808
6,1,5,1,1,0.08919382504288165,0.0,0.0,-11.0,0.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",in,0.09811320754716982,0.9090909090909091
7,0,5,1,1,0.06526393485351405,0.0,0.0,-15.0,-1.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",in,0.09762629036022535,0.6685077822039596
7,0,9,0,1,0.051987524491003634,-7.0,75.0,2.0,92.0,in,out,1.0,0.051987524491003634
8,0,9,0,1,0.036155076303109365,23.0,80.0,17.0,53.0,out,in,1.0,0.036155076303109365
8,1,5,1,1,0.026683274761756512,0.0,0.0,-34.0,-14.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",in,0.06937651438056693,0.38461538461538464
9,0,9,0,1,0.022727272727272728,-1.0,61.0,-1.0,105.0,in,out,1.0,0.022727272727272728
10,1,9,0,1,0.019760376304381093,-102.0,1.0,-62.0,32.0,out,in,0.1,0.19760376304381091
9,2,9,0,1,0.015377337893486978,-103.0,2.0,-38.0,0.0,out,in,0.05,0.30754675786973956
11,0,9,0,1,0.015096166965979211,-118.0,31.0,-60.0,-1.0,out,in,0.7071067811865476,0.021349204063136496
8,1,9,0,1,0.014272612797395282,-22.0,3.0,-92.0,0.0,in,out,1.0,0.014272612797395282
5,0,9,0,1,0.012499023551926019,81.0,1.0,1.0,0.0,out,in,0.014084507042253521,0.8874306721867473
10,0,9,0,1,0.012341917379408773,54.0,34.0,101.0,-32.0,in,out,1.0,0.012341917379408773
5,0,6,1,1,0.011825078090138332,0.0,0.0,83.0,0.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,0.012267560152816277,0.9639307199503429
6,0,6,1,1,0.011801119875474624,0.0,0.0,26.0,79.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,0.012267560152816277,0.9619777468762138
6,1,6,1,1,0.011411803907289337,-86.0,1.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",0.012267560152816277,0.9302423436390909
6,1,9,0,1,0.01123311912603461,-89.0,1.0,0.0,3.0,out,in,0.0125,0.8986495300827687
7,0,6,1,1,0.010330811687310272,-95.0,-1.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",0.012267560152816277,0.842124396262986
8,1,6,1,1,0.010212689959849542,0.0,0.0,-94.0,-20.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,0.012267560152816277,0.8324956089581517
8,2,9,0,1,0.009900504839612986,1.0,-1.0,2.0,-102.0,in,out,0.01098901098901099,0.9009459404047817
7,2,9,0,1,0.009792163725092829,5.0,2.0,0.0,-100.0,in,out,0.01,0.9792163725092828
9,1,9,0,1,0.009759930290922834,33.0,-100.0,0.0,-3.0,out,in,0.010988347541611645,0.8882072808457385
8,2,6,1,1,0.007979260536577343,-123.0,-1.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",0.009814324110876562,0.8130219102642494
7,2,6,1,1,0.007667824074074074,0.0,0.0,0.0,-128.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,0.009814814814814814,0.78125
11,1,9,0,1,0.007209372509105905,0.0,-18.0,-94.0,-120.0,in,out,0.04218245406095978,0.17090927186662289
13,0,9,0,1,0.006842096734233764,-140.0,-123.0,-5.0,-67.0,out,in,0.047619047619047616,0.14368403141890904
12,0,9,0,1,0.0035468575904792853,225.0,-25.0,-56.0,-48.0,out,in,1.0,0.0035468575904792853
10,3,9,0,1,0.00247517928295491,-321.0,-240.0,4.0,0.0,out,in,0.007035801295960806,0.3517977809259465
11,2,9,0,1,0.0019287021862196426,0.0,53.0,-357.0,-323.0,in,out,0.0070337124880089944,0.27420827756432686
8,4,9,0,1,0.0009718131682188693,3.0,0.0,0.0,-1029.0,in,out,0.001,0.9718131682188692
9,3,9,0,1,0.0009569268455235824,-1044.0,-5.0,1.0,0.0,out,in,0.0010090817356205853,0.9483145039138702
12,2,9,0,1,0.0008194175478684158,22.0,-1197.0,-36.0,22.0,out,in,0.009629640197141817,0.08509326735921327
