bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
2,0,0,0,0,1.0,0.0,1885044,1.0,1.0,1.0,1,0,1B,0B
3,0,1,0,0,2.0,0.0,3458939,1.0,1.0,1.0,0,-1,0B,-1B
4,0,0,0,0,3.090909090909091,0.0,4820464,1.0,1.0,1.0,-2,-1,-2B,-1B
6,0,0,0,0,4.100811183404502,0.0,15965169,1.0,1.0,1.0,-20,-19,-20B,-19B
5,0,1,0,0,5.101931767144708,0.0,66184845,1.0,1.0,1.0,-10,-9,-10B,-9B
8,0,0,0,1,6.544850333403004,0.0,149624540,0.8571428571428572,1.0,0.8571428571428572,-229,-230,-229B,-230B
10,0,0,0,1,5.675241250904674,0.0,91623184,0.5714285714285714,1.0,0.5714285714285714,-9463,-9462,-9463B,-9462B
7,0,1,0,1,7.035588682274612,0.0,311039661,0.3333333333333333,1.0,0.3333333333333333,-98,-101,-98B,-101B
4,2,2,0,1,2.090909090909091,0.0,4635018,0.09090909090909091,0.09090909090909091,1.0,-11,0,-11B,0B
7,0,2,0,1,6.636979204460472,0.0,194516936,0.09090909090909091,1.0,0.09090909090909091,1001,990,1.0 kB,990B
9,0,1,0,1,6.699826988091589,0.0,257422413,0.0625,1.0,0.0625,-1000,-984,-1000B,-984B
12,0,0,0,1,7.0792238720808704,0.0,551315687,0.03921568627450981,1.0,0.03921568627450981,-14689,-14672,-14689B,-14672B
6,2,2,0,1,5.686430939326532,0.0,114828273,0.01098901098901099,0.01098901098901099,1.0,-100,-9,-100B,-9B
5,4,3,0,1,3.1008100810081007,0.0,5684196,0.009900990099009901,0.009900990099009901,1.0,-100,1,-100B,1B
9,0,0,0,1,5.1038004815511755,0.0,69045087,0.0018587360594795538,0.00980392156862745,0.1895910780669145,9959,10228,10.0 kB,10.2 kB
8,0,1,0,1,7.037830313285325,0.0,391581356,0.001783893985728848,0.7777777777777778,0.0022935779816513763,9985,9549,10.0 kB,9.5 kB
11,0,1,0,1,6.701178072750426,0.0,288204129,0.0013404825737265416,1.0,0.0013404825737265416,-10040,-9294,-10040B,-9294B
6,2,3,0,1,5.687707375732217,0.0,140601014,0.0011074197120708748,0.0011098779134295228,0.9977851605758582,97,1000,97B,1.0 kB
8,2,2,0,1,7.080323992197449,0.0,554759686,0.0011001100110011,0.0011098779134295228,0.9911991199119912,-1005,-96,-1005B,-96B
14,0,0,0,1,6.702255278821727,0.0,300926707,0.0010377750103777502,0.8888888888888888,0.001167496886674969,-586365,-585562,-586365B,-585562B
5,4,4,0,1,6.545867418134809,0.0,177607424,0.0010080645161290322,0.0010090817356205853,0.9989919354838709,1001,9,1.0 kB,9B
