bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
7,0,17,0,1,0.24253562503633297,0.3333333333333333,0.7276068751089989,53.0,6.0,52.0,10.0,Normal,Severely obese
9,0,19,0,1,0.18,0.18,1.0,101.0,25.0,98.0,29.0,Overweight,Severely obese
8,0,19,0,1,0.17650452162436564,0.40249223594996214,0.43852900965351466,98.0,29.0,99.0,24.0,Severely obese,Overweight
8,0,13,0,1,0.16666666666666666,0.2773500981126146,0.6009252125773314,96.0,17.0,96.0,23.0,Underweight,Obese
10,0,13,0,1,0.15811388300841897,0.15811388300841897,1.0,102.0,19.0,100.0,25.0,Underweight,Obese
7,0,8,1,1,0.14828143953032227,0.3006535947712418,0.49319696191607193,45.0,5.0,44.0,-1.0,Overweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,11,0,1,0.14285714285714285,1.0,0.14285714285714285,92.0,16.0,92.0,9.0,Normal,Underweight
9,0,13,0,1,0.1414213562373095,0.15811388300841897,0.8944271909999159,100.0,18.0,99.0,25.0,Underweight,Obese
8,0,17,0,1,0.1414213562373095,0.2773500981126146,0.5099019513592784,99.0,22.0,98.0,29.0,Normal,Severely obese
10,0,19,0,1,0.14055638569974546,0.18,0.7808688094430304,122.0,37.0,117.0,41.0,Overweight,Severely obese
9,0,17,0,1,0.13736056394868904,0.14907119849998599,0.9214426752509268,98.0,29.0,100.0,22.0,Severely obese,Normal
7,0,14,0,1,0.10353499123163136,0.2315112784437724,0.4472135954999579,33.0,1.0,35.0,10.0,Underweight,Severely obese
8,0,12,0,1,0.1010565104318054,0.14731391274719738,0.6859943405700354,95.0,21.0,96.0,17.0,Overweight,Underweight
6,0,9,1,1,0.09609690621771018,0.09609690621771018,1.0,19.0,1.0,9.0,-1.0,Obese,"DomainError(""Height or Weight cannot be negative."", """")"
6,1,10,1,1,0.09426668117778846,0.09473684210526316,0.9950371902099893,0.0,0.0,-10.0,1.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
