bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
72,4,3,0,2,0.0,0.0,9871873,0.0,0.0,1.0,-988819056583250672,6755413704696402470,4316572801466450322,707237780076400,out,out
73,1,3,0,2,0.0,0.0,10285855,0.0,0.0,1.0,81333047804277662,614311811097818088,-6121265342137763410,156795673630613289,out,out
73,5,3,0,2,0.0,0.0,15150908,0.0,0.0,1.0,189783282157993389,483013535174092,-4953616837241966949,-1280509800785317043,out,out
72,2,3,0,2,0.0,0.0,20425671,0.0,0.0,1.0,7139457421728766970,1084036206927008,518979491199920701,6290437556367666085,out,out
71,2,3,0,2,0.0,0.0,22003121,0.0,0.0,1.0,3436026616721047804,13543923826126396,6987082261265578565,9104381934033043,out,out
72,3,3,0,2,2.5390730248818527e-18,0.0,23454654,0.0,0.0,1.0,28166486056565819,4173260212478927856,9487280429069092,-8469205162571619465,out,out
71,1,3,0,2,1.1954899337491671e-17,0.0,51977148,0.0,0.0,1.0,7770451987566699,-38411016336496726,844820619599503504,5791076252510171092,out,out
73,8,3,0,2,1.1954899337491671e-17,0.0,62091987,0.0,0.0,1.0,-227558404959486555,-3858561330081278748,13609621783215,-8703346270741884214,out,out
73,4,3,0,2,1.1954899337491671e-17,0.0,62862784,0.0,0.0,1.0,441342517368172,-481582807242466035,-1478401988523053807,2673016744554578904,out,out
75,6,3,0,2,2.6154950698683096e-16,0.0,98101464,0.0,0.0,1.0,-2534175890889956012,-6840647249542208297,-2244523667608057379,-39885342658399,out,out
71,0,3,0,2,2.6183814510553413e-16,0.0,100516810,0.0,0.0,1.0,90405210768406785,-22545303355945729,3417949783465751993,-3107093355240848,out,out
70,1,3,0,2,2.6183814510553413e-16,0.0,106031461,0.0,0.0,1.0,7189121803672258070,69028621619238226,42376992544371661,98106880385451449,out,out
71,3,3,0,2,2.6223683131167983e-16,0.0,117714422,0.0,0.0,1.0,797396849491642711,-850296134154406471,840952677474823,3012652280629435829,out,out
70,3,3,0,2,2.9780094988167757e-16,0.0,247512096,0.0,0.0,1.0,6565725398078357848,97403802860590941,6698576160975128770,-84073533744924,out,out
71,6,3,0,2,2.9793520330251204e-16,0.0,257187595,0.0,0.0,1.0,44317085311559,7891779903154497611,7082215449828370971,-737811476307648283,out,out
72,7,3,0,2,3.7036071583049983e-16,0.0,308013553,0.0,0.0,1.0,10321367333490,-9025338981250595489,6715953829727954739,1974808731593928977,out,out
70,5,3,0,2,4.3546546670554443e-16,0.0,358554704,0.0,0.0,1.0,98854760798742,8280187257687494418,-76521022793561158,8127269079143229154,out,out
