run_duration,emitter,parent_selection,tracer_budget,run_number,rac
600,Mutation,Uniform,0,1,75.20928763228558
600,Mutation,Uniform,0,2,76.63086400252725
600,Mutation,Uniform,0,3,76.8441004580635
600,Mutation,Uniform,0,4,76.83620281156216
600,Mutation,Uniform,0,5,76.81250987205813
600,Mutation,Uniform,0,6,76.93097456957827
600,Mutation,Uniform,0,7,77.34165218764808
600,Mutation,Uniform,0,8,76.57558047701785
600,Mutation,Uniform,0,9,76.52029695150846
600,Mutation,Uniform,0,10,76.39393460748697
600,Mutation,Uniform,0,11,76.55188753751382
600,Mutation,Uniform,0,12,76.05433580792923
600,Mutation,Uniform,0,13,77.14421102511452
600,Mutation,Uniform,0,14,76.80461222555678
600,Mutation,Uniform,0,15,76.7888169325541
600,Mutation,Uniform,0,16,76.8441004580635
600,Mutation,Uniform,0,17,76.6229663560259
600,Mutation,Uniform,0,18,76.87569104406887
600,Mutation,Uniform,0,19,76.71773811404202
600,Mutation,Uniform,0,20,76.72563576054335
