x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
33366,0,DivideError(),error,DivideError,3.0,33366,1,"(33366, 1)",valid,"Tuple{Int64, Int64}",2
250,false,DivideError(),error,DivideError,1.0,250,true,"(0xfa, 0x01)",valid,"Tuple{UInt8, UInt8}",2
249,false,DivideError(),error,DivideError,1.0,249,true,"(0xf9, 0x01)",valid,"Tuple{UInt8, UInt8}",2
242,0,DivideError(),error,DivideError,5.0,242,1,"(242, 1)",valid,"Tuple{Int64, Int64}",2
242,false,DivideError(),error,DivideError,1.0,242,true,"(0xf2, 0x01)",valid,"Tuple{UInt8, UInt8}",2
238,false,DivideError(),error,DivideError,1.0,238,true,"(0xee, 0x01)",valid,"Tuple{UInt8, UInt8}",2
210,false,DivideError(),error,DivideError,1.0,210,true,"(0xd2, 0x01)",valid,"Tuple{UInt8, UInt8}",2
206,false,DivideError(),error,DivideError,1.0,206,true,"(0xce, 0x01)",valid,"Tuple{UInt8, UInt8}",3
194,false,DivideError(),error,DivideError,1.0,194,true,"(0xc2, 0x01)",valid,"Tuple{UInt8, UInt8}",2
183,false,DivideError(),error,DivideError,1.0,183,true,"(0xb7, 0x01)",valid,"Tuple{UInt8, UInt8}",2
151,false,DivideError(),error,DivideError,1.0,151,true,"(0x97, 0x01)",valid,"Tuple{UInt8, UInt8}",2
124,false,DivideError(),error,DivideError,1.0,124,true,"(0x7c, 0x01)",valid,"Tuple{UInt8, UInt8}",2
103,false,DivideError(),error,DivideError,5.0,103,true,"(103, 1)",valid,"Tuple{Int64, Int64}",2
93,false,DivideError(),error,DivideError,6.0,93,true,"(93, 1)",valid,"Tuple{Int64, Int64}",4
89,false,DivideError(),error,DivideError,6.0,89,true,"(89, 1)",valid,"Tuple{Int64, Int64}",3
78,false,DivideError(),error,DivideError,6.0,78,true,"(78, 1)",valid,"Tuple{Int64, Int64}",2
76,0,DivideError(),error,DivideError,6.0,76,1,"(76, 1)",valid,"Tuple{Int64, Int64}",3
74,false,DivideError(),error,DivideError,6.0,74,true,"(74, 1)",valid,"Tuple{Int64, Int64}",2
73,0,DivideError(),error,DivideError,6.0,73,1,"(73, 1)",valid,"Tuple{Int64, Int64}",2
67,false,DivideError(),error,DivideError,1.0,67,true,"(0x43, 0x01)",valid,"Tuple{UInt8, UInt8}",2
66,false,DivideError(),error,DivideError,6.0,66,true,"(66, 1)",valid,"Tuple{Int64, Int64}",2
55,false,DivideError(),error,DivideError,6.0,55,true,"(55, 1)",valid,"Tuple{Int64, Int64}",2
51,false,DivideError(),error,DivideError,6.0,51,true,"(51, 1)",valid,"Tuple{Int64, Int64}",2
48,false,DivideError(),error,DivideError,6.0,48,true,"(48, 1)",valid,"Tuple{Int64, Int64}",3
42,false,DivideError(),error,DivideError,6.0,42,true,"(42, 1)",valid,"Tuple{Int64, Int64}",2
41,0,DivideError(),error,DivideError,6.0,41,1,"(41, 1)",valid,"Tuple{Int64, Int64}",2
34,0,DivideError(),error,DivideError,6.0,34,1,"(34, 1)",valid,"Tuple{Int64, Int64}",3
34,false,DivideError(),error,DivideError,1.0,34,true,"(0x22, 0x01)",valid,"Tuple{UInt8, UInt8}",2
33,false,DivideError(),error,DivideError,1.0,33,true,"(0x21, 0x01)",valid,"Tuple{UInt8, UInt8}",2
21,false,DivideError(),error,DivideError,1.0,21,true,"(0x15, 0x01)",valid,"Tuple{UInt8, UInt8}",2
14,false,DivideError(),error,DivideError,6.0,14,true,"(14, 1)",valid,"Tuple{Int64, Int64}",2
11,false,DivideError(),error,DivideError,1.0,11,true,"(0x0b, 0x01)",valid,"Tuple{UInt8, UInt8}",2
5,0,DivideError(),error,DivideError,7.0,5,1,"(5, 1)",valid,"Tuple{Int64, Int64}",2
true,false,DivideError(),error,DivideError,4.0,true,true,"(1, true)",valid,"Tuple{Int64, Bool}",42
1,false,DivideError(),error,DivideError,7.0,1,true,"(1, 1)",valid,"Tuple{Int64, Int64}",5
false,false,DivideError(),error,DivideError,4.0,false,true,"(0, true)",valid,"Tuple{Int64, Bool}",48
-58,false,DivideError(),error,DivideError,5.0,-58,true,"(-58, 1)",valid,"Tuple{Int64, Int64}",2
-81,false,DivideError(),error,DivideError,5.0,-81,true,"(-81, 1)",valid,"Tuple{Int64, Int64}",2
-84,false,DivideError(),error,DivideError,5.0,-84,true,"(-84, 1)",valid,"Tuple{Int64, Int64}",2
-89,false,DivideError(),error,DivideError,5.0,-89,true,"(-89, 1)",valid,"Tuple{Int64, Int64}",2
-92,false,DivideError(),error,DivideError,5.0,-92,true,"(-92, 1)",valid,"Tuple{Int64, Int64}",2
-104,false,DivideError(),error,DivideError,4.0,-104,true,"(-104, 1)",valid,"Tuple{Int64, Int64}",2
-109,false,DivideError(),error,DivideError,4.0,-109,true,"(-109, 1)",valid,"Tuple{Int64, Int64}",3
184,false,DivideError(),error,DivideError,1.0,184,true,"(0xb8, 0x01)",valid,"Tuple{UInt8, UInt8}",1
3252944896,false,DivideError(),error,DivideError,11.0,3252944896,true,"(0xc1e40000, 0x00000001)",valid,"Tuple{UInt32, UInt32}",1
-4687663439240093233,false,DivideError(),error,DivideError,12.0,-4687663439240093233,true,"(-4687663439240093233, 1)",valid,"Tuple{Int64, Int64}",1
5884224588172898809,false,DivideError(),error,DivideError,11.0,5884224588172898809,true,"(5884224588172898809, 1)",valid,"Tuple{Int64, Int64}",1
182,false,DivideError(),error,DivideError,1.0,182,true,"(0xb6, 0x01)",valid,"Tuple{UInt8, UInt8}",1
-76425781256123485543231463360078122346,false,DivideError(),error,DivideError,31.0,-76425781256123485543231463360078122346,true,"(-76425781256123485543231463360078122346, 1)",valid,"Tuple{Int128, Int128}",1
258442673517072682311704150755855515267,0,DivideError(),error,DivideError,59.0,258442673517072682311704150755855515267,1,"(0xc26e3f960dfe531aacbc1ad137d33e83, 0x00000000000000000000000000000001)",valid,"Tuple{UInt128, UInt128}",1
