x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
220,false,DivideError(),error,DivideError,1.0,220,true,"(0xdc, 0x01)",valid,"Tuple{UInt8, UInt8}",2
213,false,DivideError(),error,DivideError,1.0,213,true,"(0xd5, 0x01)",valid,"Tuple{UInt8, UInt8}",2
204,false,DivideError(),error,DivideError,1.0,204,true,"(0xcc, 0x01)",valid,"Tuple{UInt8, UInt8}",2
160,false,DivideError(),error,DivideError,1.0,160,true,"(0xa0, 0x01)",valid,"Tuple{UInt8, UInt8}",2
154,false,DivideError(),error,DivideError,1.0,154,true,"(0x9a, 0x01)",valid,"Tuple{UInt8, UInt8}",2
127,false,DivideError(),error,DivideError,5.0,127,true,"(127, 1)",valid,"Tuple{Int64, Int64}",2
126,0,DivideError(),error,DivideError,5.0,126,1,"(126, 1)",valid,"Tuple{Int64, Int64}",3
122,false,DivideError(),error,DivideError,5.0,122,true,"(122, 1)",valid,"Tuple{Int64, Int64}",2
108,false,DivideError(),error,DivideError,5.0,108,true,"(108, 1)",valid,"Tuple{Int64, Int64}",2
105,false,DivideError(),error,DivideError,5.0,105,true,"(105, 1)",valid,"Tuple{Int64, Int64}",2
100,false,DivideError(),error,DivideError,5.0,100,true,"(100, 1)",valid,"Tuple{Int64, Int64}",2
99,false,DivideError(),error,DivideError,1.0,99,true,"(0x63, 0x01)",valid,"Tuple{UInt8, UInt8}",2
94,false,DivideError(),error,DivideError,1.0,94,true,"(0x5e, 0x01)",valid,"Tuple{UInt8, UInt8}",2
92,false,DivideError(),error,DivideError,1.0,92,true,"(0x5c, 0x01)",valid,"Tuple{UInt8, UInt8}",2
79,false,DivideError(),error,DivideError,1.0,79,true,"(0x4f, 0x01)",valid,"Tuple{UInt8, UInt8}",2
60,0,DivideError(),error,DivideError,6.0,60,1,"(60, 1)",valid,"Tuple{Int64, Int64}",2
53,false,DivideError(),error,DivideError,1.0,53,true,"(0x35, 0x01)",valid,"Tuple{UInt8, UInt8}",3
48,0,DivideError(),error,DivideError,1.0,48,1,"(0x30, 0x01)",valid,"Tuple{UInt8, UInt8}",3
48,0,DivideError(),error,DivideError,6.0,48,1,"(48, 1)",valid,"Tuple{Int64, Int64}",2
25,false,DivideError(),error,DivideError,1.0,25,true,"(0x19, 0x01)",valid,"Tuple{UInt8, UInt8}",3
8,0,DivideError(),error,DivideError,7.0,8,1,"(8, 1)",valid,"Tuple{Int64, Int64}",2
true,false,DivideError(),error,DivideError,4.0,true,true,"(1, true)",valid,"Tuple{Int64, Bool}",50
0,false,DivideError(),error,DivideError,7.0,0,true,"(0, 1)",valid,"Tuple{Int64, Int64}",2
false,false,DivideError(),error,DivideError,4.0,false,true,"(0, true)",valid,"Tuple{Int64, Bool}",48
-4,false,DivideError(),error,DivideError,6.0,-4,true,"(-4, 1)",valid,"Tuple{Int64, Int64}",2
-7,false,DivideError(),error,DivideError,6.0,-7,true,"(-7, 1)",valid,"Tuple{Int64, Int64}",2
-51,false,DivideError(),error,DivideError,5.0,-51,true,"(-51, 1)",valid,"Tuple{Int64, Int64}",2
-56,false,DivideError(),error,DivideError,5.0,-56,true,"(-56, 1)",valid,"Tuple{Int64, Int64}",2
-58,false,DivideError(),error,DivideError,5.0,-58,true,"(-58, 1)",valid,"Tuple{Int64, Int64}",2
-81,false,DivideError(),error,DivideError,5.0,-81,true,"(-81, 1)",valid,"Tuple{Int64, Int64}",2
-84,false,DivideError(),error,DivideError,5.0,-84,true,"(-84, 1)",valid,"Tuple{Int64, Int64}",2
-93,false,DivideError(),error,DivideError,5.0,-93,true,"(-93, 1)",valid,"Tuple{Int64, Int64}",2
-100,false,DivideError(),error,DivideError,4.0,-100,true,"(-100, 1)",valid,"Tuple{Int64, Int64}",2
3186859288669911778,false,DivideError(),error,DivideError,11.0,3186859288669911778,true,"(3186859288669911778, 1)",valid,"Tuple{Int64, Int64}",1
189657392330914271293850570445728651033,false,DivideError(),error,DivideError,59.0,189657392330914271293850570445728651033,true,"(0x8eaeaf6322e78f6613b63e7d7cee1719, 0x00000000000000000000000000000001)",valid,"Tuple{UInt128, UInt128}",1
58546,0,DivideError(),error,DivideError,3.0,58546,1,"(58546, 1)",valid,"Tuple{Int64, Int64}",1
