a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
65399,false,DivideError(),error,DivideError,8.0,65399,true,65399,valid,UInt16,2
65208,false,DivideError(),error,DivideError,8.0,65208,true,65208,valid,UInt16,2
64550,false,DivideError(),error,DivideError,8.0,64550,true,64550,valid,UInt16,2
63633,false,DivideError(),error,DivideError,8.0,63633,true,63633,valid,UInt16,2
63273,false,DivideError(),error,DivideError,8.0,63273,true,63273,valid,UInt16,2
62828,false,DivideError(),error,DivideError,8.0,62828,true,62828,valid,UInt16,2
60642,false,DivideError(),error,DivideError,8.0,60642,true,60642,valid,UInt16,2
60249,false,DivideError(),error,DivideError,8.0,60249,true,60249,valid,UInt16,2
59875,false,DivideError(),error,DivideError,8.0,59875,true,59875,valid,UInt16,2
58756,false,DivideError(),error,DivideError,8.0,58756,true,58756,valid,UInt16,2
58396,false,DivideError(),error,DivideError,8.0,58396,true,58396,valid,UInt16,2
58394,false,DivideError(),error,DivideError,8.0,58394,true,58394,valid,UInt16,2
56924,false,DivideError(),error,DivideError,8.0,56924,true,56924,valid,UInt16,2
56200,false,DivideError(),error,DivideError,8.0,56200,true,56200,valid,UInt16,2
55309,false,DivideError(),error,DivideError,8.0,55309,true,55309,valid,UInt16,2
54685,false,DivideError(),error,DivideError,8.0,54685,true,54685,valid,UInt16,2
53854,false,DivideError(),error,DivideError,8.0,53854,true,53854,valid,UInt16,2
51422,false,DivideError(),error,DivideError,8.0,51422,true,51422,valid,UInt16,2
50694,false,DivideError(),error,DivideError,8.0,50694,true,50694,valid,UInt16,2
50579,false,DivideError(),error,DivideError,8.0,50579,true,50579,valid,UInt16,2
50395,false,DivideError(),error,DivideError,8.0,50395,true,50395,valid,UInt16,2
50014,false,DivideError(),error,DivideError,8.0,50014,true,50014,valid,UInt16,2
47922,false,DivideError(),error,DivideError,8.0,47922,true,47922,valid,UInt16,2
47337,false,DivideError(),error,DivideError,8.0,47337,true,47337,valid,UInt16,2
46831,false,DivideError(),error,DivideError,8.0,46831,true,46831,valid,UInt16,2
46555,false,DivideError(),error,DivideError,8.0,46555,true,46555,valid,UInt16,2
46385,false,DivideError(),error,DivideError,8.0,46385,true,46385,valid,UInt16,2
46139,false,DivideError(),error,DivideError,8.0,46139,true,46139,valid,UInt16,2
45786,false,DivideError(),error,DivideError,8.0,45786,true,45786,valid,UInt16,2
44100,false,DivideError(),error,DivideError,8.0,44100,true,44100,valid,UInt16,2
43221,false,DivideError(),error,DivideError,8.0,43221,true,43221,valid,UInt16,2
41792,false,DivideError(),error,DivideError,8.0,41792,true,41792,valid,UInt16,2
41545,false,DivideError(),error,DivideError,8.0,41545,true,41545,valid,UInt16,2
41504,false,DivideError(),error,DivideError,8.0,41504,true,41504,valid,UInt16,2
40316,false,DivideError(),error,DivideError,8.0,40316,true,40316,valid,UInt16,2
40231,false,DivideError(),error,DivideError,8.0,40231,true,40231,valid,UInt16,2
39218,false,DivideError(),error,DivideError,8.0,39218,true,39218,valid,UInt16,2
38947,false,DivideError(),error,DivideError,8.0,38947,true,38947,valid,UInt16,2
38645,false,DivideError(),error,DivideError,8.0,38645,true,38645,valid,UInt16,2
38484,false,DivideError(),error,DivideError,8.0,38484,true,38484,valid,UInt16,2
38372,false,DivideError(),error,DivideError,8.0,38372,true,38372,valid,UInt16,2
36747,false,DivideError(),error,DivideError,8.0,36747,true,36747,valid,UInt16,2
35983,false,DivideError(),error,DivideError,8.0,35983,true,35983,valid,UInt16,2
35916,false,DivideError(),error,DivideError,8.0,35916,true,35916,valid,UInt16,2
35421,false,DivideError(),error,DivideError,8.0,35421,true,35421,valid,UInt16,2
35130,false,DivideError(),error,DivideError,8.0,35130,true,35130,valid,UInt16,2
34668,false,DivideError(),error,DivideError,8.0,34668,true,34668,valid,UInt16,2
34176,false,DivideError(),error,DivideError,8.0,34176,true,34176,valid,UInt16,2
32395,false,DivideError(),error,DivideError,8.0,32395,true,32395,valid,UInt16,2
32372,false,DivideError(),error,DivideError,8.0,32372,true,32372,valid,Int64,2
31630,false,DivideError(),error,DivideError,8.0,31630,true,31630,valid,Int64,2
30900,false,DivideError(),error,DivideError,8.0,30900,true,30900,valid,UInt16,2
30667,false,DivideError(),error,DivideError,8.0,30667,true,30667,valid,UInt16,2
29937,false,DivideError(),error,DivideError,8.0,29937,true,29937,valid,UInt16,2
29822,false,DivideError(),error,DivideError,8.0,29822,true,29822,valid,UInt16,2
29676,false,DivideError(),error,DivideError,8.0,29676,true,29676,valid,UInt16,2
29289,false,DivideError(),error,DivideError,8.0,29289,true,29289,valid,UInt16,2
28665,false,DivideError(),error,DivideError,8.0,28665,true,28665,valid,UInt16,2
28345,false,DivideError(),error,DivideError,8.0,28345,true,28345,valid,Int64,2
28199,false,DivideError(),error,DivideError,8.0,28199,true,28199,valid,UInt16,2
27330,false,DivideError(),error,DivideError,8.0,27330,true,27330,valid,Int64,2
27169,false,DivideError(),error,DivideError,8.0,27169,true,27169,valid,Int64,2
26844,false,DivideError(),error,DivideError,8.0,26844,true,26844,valid,Int64,2
26838,false,DivideError(),error,DivideError,8.0,26838,true,26838,valid,Int64,2
26759,false,DivideError(),error,DivideError,8.0,26759,true,26759,valid,UInt16,2
25820,false,DivideError(),error,DivideError,8.0,25820,true,25820,valid,UInt16,2
25431,false,DivideError(),error,DivideError,8.0,25431,true,25431,valid,UInt16,2
25388,false,DivideError(),error,DivideError,8.0,25388,true,25388,valid,UInt16,2
25348,false,DivideError(),error,DivideError,8.0,25348,true,25348,valid,UInt16,2
25195,false,DivideError(),error,DivideError,8.0,25195,true,25195,valid,Int64,2
24924,false,DivideError(),error,DivideError,8.0,24924,true,24924,valid,Int64,2
24578,false,DivideError(),error,DivideError,8.0,24578,true,24578,valid,Int64,2
24573,false,DivideError(),error,DivideError,8.0,24573,true,24573,valid,Int64,2
24557,false,DivideError(),error,DivideError,8.0,24557,true,24557,valid,Int64,2
