a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
3499999965,35,99999999,valid,UInt32,1.0,3499999966,35,100000000,valid,UInt32,4
3499999965,35,99999999,valid,UInt64,1.0,3499999966,35,100000000,valid,UInt64,6
3199999968,32,99999999,valid,UInt64,1.0,3199999969,32,100000000,valid,UInt64,8
3199999968,32,99999999,valid,UInt32,1.0,3199999969,32,100000000,valid,UInt32,7
2699999973,27,99999999,valid,UInt32,1.0,2699999974,27,100000000,valid,UInt32,6
2529999747,253,9999999,valid,UInt32,1.0,2529999748,253,10000000,valid,UInt32,9
2519999748,252,9999999,valid,UInt32,1.0,2519999749,252,10000000,valid,UInt32,7
2499999975,25,99999999,valid,UInt32,1.0,2499999976,25,100000000,valid,UInt32,14
2359999764,236,9999999,valid,UInt32,1.0,2359999765,236,10000000,valid,UInt32,12
2329999767,233,9999999,valid,UInt32,1.0,2329999768,233,10000000,valid,UInt32,5
2319999768,232,9999999,valid,UInt32,1.0,2319999769,232,10000000,valid,UInt32,11
2309999769,231,9999999,valid,UInt32,1.0,2309999770,231,10000000,valid,UInt32,14
2299999977,23,99999999,valid,UInt64,1.0,2299999978,23,100000000,valid,UInt64,10
2299999770,230,9999999,valid,UInt32,1.0,2299999771,230,10000000,valid,UInt32,17
2289999771,229,9999999,valid,UInt32,1.0,2289999772,229,10000000,valid,UInt32,15
2269999773,227,9999999,valid,UInt32,1.0,2269999774,227,10000000,valid,UInt32,10
2259999774,226,9999999,valid,UInt32,1.0,2259999775,226,10000000,valid,UInt32,6
2229999777,223,9999999,valid,UInt32,1.0,2229999778,223,10000000,valid,UInt32,9
2219999778,222,9999999,valid,UInt32,1.0,2219999779,222,10000000,valid,UInt32,13
2209999779,221,9999999,valid,UInt32,1.0,2209999780,221,10000000,valid,UInt32,15
2179999782,218,9999999,valid,UInt32,1.0,2179999783,218,10000000,valid,UInt32,10
2149999785,215,9999999,valid,UInt32,1.0,2149999786,215,10000000,valid,UInt32,10
2119999788,212,9999999,valid,UInt32,1.0,2119999789,212,10000000,valid,UInt32,10
2099999979,21,99999999,valid,UInt32,1.0,2099999980,21,100000000,valid,UInt32,7
2099999790,210,9999999,valid,UInt32,1.0,2099999791,210,10000000,valid,UInt32,10
2089999791,209,9999999,valid,UInt32,1.0,2089999792,209,10000000,valid,UInt32,9
2079999792,208,9999999,valid,UInt32,1.0,2079999793,208,10000000,valid,UInt32,8
2039999796,204,9999999,valid,UInt32,1.0,2039999797,204,10000000,valid,UInt32,14
2019999798,202,9999999,valid,UInt32,1.0,2019999799,202,10000000,valid,UInt32,14
2009999799,201,9999999,valid,UInt32,1.0,2009999800,201,10000000,valid,UInt32,10
1999999980,20,99999999,valid,UInt32,1.0,1999999981,20,100000000,valid,UInt32,10
1999999980,20,99999999,valid,UInt64,1.0,1999999981,20,100000000,valid,UInt64,12
1949999805,195,9999999,valid,UInt32,1.0,1949999806,195,10000000,valid,UInt32,12
1939999806,194,9999999,valid,UInt32,1.0,1939999807,194,10000000,valid,UInt32,12
1919999808,192,9999999,valid,Int64,1.0,1919999809,192,10000000,valid,Int64,2
