bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
21,4,5,0,1,9.816374739032929e-11,9.880273915434014e-11,0.9935326513264711,1.83767152e8,-1.0003293006e10,183.8 MB,-10003293006B
18,18,6,0,1,9.723048939447999e-11,9.998189463863471e-11,0.9724809651377467,-1.0284892877e10,-53150.0,-10284892877B,-53150B
19,12,5,0,1,9.368283626281214e-11,1.0000433357779083e-10,0.936787766201538,-1.0674902361e10,-588475.0,-10674902361B,-588475B
19,12,6,0,1,9.2293413183388e-11,9.38782040059903e-11,0.9831186499637213,-1.0187691792e10,9.96412e6,-10187691792B,10.0 MB
19,4,1,0,1,9.110196431881771e-11,9.129577468564777e-11,0.9978771156989752,1.1076677558e10,9.9965832e7,11.1 GB,100.0 MB
22,2,7,0,1,9.045597834541336e-11,9.081860810691559e-11,0.9960070984453393,-1.0051922901e10,1.003178357e9,-10051922901B,1.0 GB
21,0,5,0,1,9.002282659121273e-11,9.038184113433768e-11,0.996027802281751,-1.147187676e9,9.961106052e9,-1147187676B,10.0 GB
22,0,5,0,1,8.996484602409905e-11,8.996484602409905e-11,1.0,-1.111345428e9,1.0004107376e10,-1111345428B,10.0 GB
20,8,5,0,1,8.981367296762691e-11,9.240588424767946e-11,0.971947551812777,-1.0415606572e10,9.9991034e7,-10415606572B,100.0 MB
16,32,6,0,1,8.923610736295834e-11,9.398205695547194e-11,0.9495015352264294,-1.0547026414e10,9964.0,-10547026414B,10.0 kB
15,24,0,0,1,8.913906092785341e-11,9.049560914897179e-11,0.9850097896033246,1.1218436448e10,9985.0,11.2 GB,10.0 kB
18,8,0,0,1,8.889415107495762e-11,9.055862532441439e-11,0.9816199258381627,1.1259306677e10,9.972633e6,11.3 GB,10.0 MB
49,0,0,2,1,8.25334940210942e-11,8.415141990860343e-11,0.9807736353199216,9.999999999999981e23,1.0e24,"BoundsError(""kMGTPE"", 7)","BoundsError(""kMGTPE"", 8)"
23,0,6,0,1,4.718299395771121e-11,4.7603250777230805e-11,0.9911716781384053,1.1132527599e10,-1.0061549252e10,11.1 GB,-10061549252B
22,2,6,0,1,4.633071189019661e-11,4.7432202618731624e-11,0.9767775758298852,-1.1615147056e10,9.968807932e9,-11615147056B,10.0 GB
31,0,2,0,1,1.8766739103667278e-11,1.9959941984450194e-11,0.9402201227983287,9.99948705647276e14,1.000001991409628e15,999.9 TB,1.0 PB
24,2,2,0,1,1.1063436620585823e-11,1.1110032896491215e-11,0.9958059281786548,-9.957152897e9,-1.00344980323e11,-9957152897B,-100344980323B
