bytes,output,outputtype,datatype,metric,n_bytes,n_output,n_outputtype,n_datatype,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",error,BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",error,BoundsError,25
999999999999994822656,1000.0 EB,valid,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",error,BoundsError,84
999949999999999935999,999.9 EB,valid,String,1.0,999949999999999936000,1000.0 EB,valid,String,14
99949999999999991999,99.9 EB,valid,String,1.0,99949999999999992000,100.0 EB,valid,String,25
9950000000000001999,9.9 EB,valid,String,1.0,9950000000000002000,10.0 EB,valid,String,40
999949999999999999,999.9 PB,valid,String,2.0,999950000000000000,1.0 EB,valid,String,87
99949999999999999,99.9 PB,valid,String,1.0,99950000000000000,100.0 PB,valid,String,113
9950000000000999,9.9 PB,valid,String,1.0,9950000000001000,10.0 PB,valid,String,95
999949999999999,999.9 TB,valid,String,2.0,999950000000000,1.0 PB,valid,String,115
99949999999999,99.9 TB,valid,String,1.0,99950000000000,100.0 TB,valid,String,106
9950000000000,9.9 TB,valid,String,1.0,9950000000001,10.0 TB,valid,String,116
999949999999,999.9 GB,valid,String,2.0,999950000000,1.0 TB,valid,String,106
99949999999,99.9 GB,valid,String,1.0,99950000000,100.0 GB,valid,String,102
9950000000,9.9 GB,valid,String,1.0,9950000001,10.0 GB,valid,String,113
999949999,999.9 MB,valid,String,2.0,999950000,1.0 GB,valid,String,174
99949999,99.9 MB,valid,String,1.0,99950000,100.0 MB,valid,String,221
9950000,9.9 MB,valid,String,1.0,9950001,10.0 MB,valid,String,245
999949,999.9 kB,valid,String,2.0,999950,1.0 MB,valid,String,287
99949,99.9 kB,valid,String,1.0,99950,100.0 kB,valid,String,231
9950,9.9 kB,valid,String,1.0,9951,10.0 kB,valid,String,520
999,999B,valid,String,2.0,1000,1.0 kB,valid,String,422
99,99B,valid,String,1.0,100,100B,valid,String,1002
9,9B,valid,String,1.0,10,10B,valid,String,2047
false,falseB,valid,String,1.0,true,trueB,valid,String,2184
-1,-1B,valid,String,1.0,0,0B,valid,String,1790
-10,-10B,valid,String,1.0,-9,-9B,valid,String,886
-100,-100B,valid,String,1.0,-99,-99B,valid,String,579
-1000,-1000B,valid,String,1.0,-999,-999B,valid,String,266
-10000,-10000B,valid,String,1.0,-9999,-9999B,valid,String,350
-100000,-100000B,valid,String,1.0,-99999,-99999B,valid,String,189
-1000000,-1000000B,valid,String,1.0,-999999,-999999B,valid,String,287
-10000000,-10000000B,valid,String,1.0,-9999999,-9999999B,valid,String,209
-100000000,-100000000B,valid,String,1.0,-99999999,-99999999B,valid,String,188
-1000000000,-1000000000B,valid,String,1.0,-999999999,-999999999B,valid,String,142
-10000000000,-10000000000B,valid,String,1.0,-9999999999,-9999999999B,valid,String,75
-100000000000,-100000000000B,valid,String,1.0,-99999999999,-99999999999B,valid,String,99
-1000000000000,-1000000000000B,valid,String,1.0,-999999999999,-999999999999B,valid,String,88
-10000000000000,-10000000000000B,valid,String,1.0,-9999999999999,-9999999999999B,valid,String,67
-100000000000000,-100000000000000B,valid,String,1.0,-99999999999999,-99999999999999B,valid,String,80
-1000000000000000,-1000000000000000B,valid,String,1.0,-999999999999999,-999999999999999B,valid,String,69
-10000000000000000,-10000000000000000B,valid,String,1.0,-9999999999999999,-9999999999999999B,valid,String,84
-100000000000000000,-100000000000000000B,valid,String,1.0,-99999999999999999,-99999999999999999B,valid,String,59
-1000000000000000000,-1000000000000000000B,valid,String,1.0,-999999999999999999,-999999999999999999B,valid,String,73
-10000000000000000000,-10000000000000000000B,valid,String,1.0,-9999999999999999999,-9999999999999999999B,valid,String,33
-100000000000000000000,-100000000000000000000B,valid,String,1.0,-99999999999999999999,-99999999999999999999B,valid,String,22
-1000000000000000000000,-1000000000000000000000B,valid,String,1.0,-999999999999999999999,-999999999999999999999B,valid,String,16
-10000000000000000000000,-10000000000000000000000B,valid,String,1.0,-9999999999999999999999,-9999999999999999999999B,valid,String,45
-100000000000000000000000,-100000000000000000000000B,valid,String,1.0,-99999999999999999999999,-99999999999999999999999B,valid,String,25
-1000000000000000000000000,-1000000000000000000000000B,valid,String,1.0,-999999999999999999999999,-999999999999999999999999B,valid,String,34
-10000000000000000000000000,-10000000000000000000000000B,valid,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,valid,String,28
-100000000000000000000000000,-100000000000000000000000000B,valid,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,valid,String,21
-1000000000000000000000000000,-1000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,valid,String,29
-10000000000000000000000000000,-10000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,valid,String,22
-100000000000000000000000000000,-100000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,valid,String,27
-1000000000000000000000000000000,-1000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,valid,String,14
-10000000000000000000000000000000,-10000000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,valid,String,9
-100000000000000000000000000000000,-100000000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,valid,String,1
