bytes,output,outputtype,datatype,metric,n_bytes,n_output,n_outputtype,n_datatype,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",error,BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",error,BoundsError,28
999999999999994822656,1000.0 EB,valid,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",error,BoundsError,103
999949999999999935999,999.9 EB,valid,String,1.0,999949999999999936000,1000.0 EB,valid,String,9
99949999999999991999,99.9 EB,valid,String,1.0,99949999999999992000,100.0 EB,valid,String,23
9950000000000001999,9.9 EB,valid,String,1.0,9950000000000002000,10.0 EB,valid,String,42
999949999999999999,999.9 PB,valid,String,2.0,999950000000000000,1.0 EB,valid,String,94
99949999999999999,99.9 PB,valid,String,1.0,99950000000000000,100.0 PB,valid,String,104
9950000000000999,9.9 PB,valid,String,1.0,9950000000001000,10.0 PB,valid,String,112
999949999999999,999.9 TB,valid,String,2.0,999950000000000,1.0 PB,valid,String,119
99949999999999,99.9 TB,valid,String,1.0,99950000000000,100.0 TB,valid,String,109
9950000000000,9.9 TB,valid,String,1.0,9950000000001,10.0 TB,valid,String,107
999949999999,999.9 GB,valid,String,2.0,999950000000,1.0 TB,valid,String,121
99949999999,99.9 GB,valid,String,1.0,99950000000,100.0 GB,valid,String,99
9950000000,9.9 GB,valid,String,1.0,9950000001,10.0 GB,valid,String,101
999949999,999.9 MB,valid,String,2.0,999950000,1.0 GB,valid,String,162
99949999,99.9 MB,valid,String,1.0,99950000,100.0 MB,valid,String,247
9950000,9.9 MB,valid,String,1.0,9950001,10.0 MB,valid,String,243
999949,999.9 kB,valid,String,2.0,999950,1.0 MB,valid,String,301
99949,99.9 kB,valid,String,1.0,99950,100.0 kB,valid,String,260
9950,9.9 kB,valid,String,1.0,9951,10.0 kB,valid,String,515
999,999B,valid,String,2.0,1000,1.0 kB,valid,String,426
99,99B,valid,String,1.0,100,100B,valid,String,1017
9,9B,valid,String,1.0,10,10B,valid,String,2062
false,falseB,valid,String,1.0,true,trueB,valid,String,2139
-1,-1B,valid,String,1.0,0,0B,valid,String,1775
-10,-10B,valid,String,1.0,-9,-9B,valid,String,815
-100,-100B,valid,String,1.0,-99,-99B,valid,String,517
-1000,-1000B,valid,String,1.0,-999,-999B,valid,String,249
-10000,-10000B,valid,String,1.0,-9999,-9999B,valid,String,387
-100000,-100000B,valid,String,1.0,-99999,-99999B,valid,String,206
-1000000,-1000000B,valid,String,1.0,-999999,-999999B,valid,String,256
-10000000,-10000000B,valid,String,1.0,-9999999,-9999999B,valid,String,210
-100000000,-100000000B,valid,String,1.0,-99999999,-99999999B,valid,String,171
-1000000000,-1000000000B,valid,String,1.0,-999999999,-999999999B,valid,String,149
-10000000000,-10000000000B,valid,String,1.0,-9999999999,-9999999999B,valid,String,93
-100000000000,-100000000000B,valid,String,1.0,-99999999999,-99999999999B,valid,String,86
-1000000000000,-1000000000000B,valid,String,1.0,-999999999999,-999999999999B,valid,String,73
-10000000000000,-10000000000000B,valid,String,1.0,-9999999999999,-9999999999999B,valid,String,101
-100000000000000,-100000000000000B,valid,String,1.0,-99999999999999,-99999999999999B,valid,String,90
-1000000000000000,-1000000000000000B,valid,String,1.0,-999999999999999,-999999999999999B,valid,String,85
-10000000000000000,-10000000000000000B,valid,String,1.0,-9999999999999999,-9999999999999999B,valid,String,68
-100000000000000000,-100000000000000000B,valid,String,1.0,-99999999999999999,-99999999999999999B,valid,String,97
-1000000000000000000,-1000000000000000000B,valid,String,1.0,-999999999999999999,-999999999999999999B,valid,String,73
-10000000000000000000,-10000000000000000000B,valid,String,1.0,-9999999999999999999,-9999999999999999999B,valid,String,34
-100000000000000000000,-100000000000000000000B,valid,String,1.0,-99999999999999999999,-99999999999999999999B,valid,String,28
-1000000000000000000000,-1000000000000000000000B,valid,String,1.0,-999999999999999999999,-999999999999999999999B,valid,String,14
-10000000000000000000000,-10000000000000000000000B,valid,String,1.0,-9999999999999999999999,-9999999999999999999999B,valid,String,34
-100000000000000000000000,-100000000000000000000000B,valid,String,1.0,-99999999999999999999999,-99999999999999999999999B,valid,String,24
-1000000000000000000000000,-1000000000000000000000000B,valid,String,1.0,-999999999999999999999999,-999999999999999999999999B,valid,String,32
-10000000000000000000000000,-10000000000000000000000000B,valid,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,valid,String,24
-100000000000000000000000000,-100000000000000000000000000B,valid,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,valid,String,30
-1000000000000000000000000000,-1000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,valid,String,29
-10000000000000000000000000000,-10000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,valid,String,28
-100000000000000000000000000000,-100000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,valid,String,35
-1000000000000000000000000000000,-1000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,valid,String,17
-10000000000000000000000000000000,-10000000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,valid,String,9
-100000000000000000000000000000000,-100000000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,valid,String,2
