run_duration,emitter,parent_selection,tracer_budget,run_number,rac
600,Mutation,Uniform,10,1,79.47976878612717
600,Mutation,Uniform,10,2,81.4306358381503
600,Mutation,Uniform,10,3,80.40703275529866
600,Mutation,Uniform,10,4,80.1180154142582
600,Mutation,Uniform,10,5,79.53998073217727
600,Mutation,Uniform,10,6,80.23843930635839
600,Mutation,Uniform,10,7,80.22639691714836
600,Mutation,Uniform,10,8,79.90125240847784
600,Mutation,Uniform,10,9,79.8771676300578
600,Mutation,Uniform,10,10,80.08188824662813
600,Mutation,Uniform,10,11,80.27456647398844
600,Mutation,Uniform,10,12,79.78082851637765
600,Mutation,Uniform,10,13,79.82899807321773
600,Mutation,Uniform,10,14,79.81695568400771
600,Mutation,Uniform,10,15,81.00915221579962
600,Mutation,Uniform,10,16,80.90077071290943
600,Mutation,Uniform,10,17,80.75626204238921
600,Mutation,Uniform,10,18,81.35838150289017
600,Mutation,Uniform,10,19,80.58766859344894
600,Mutation,Uniform,10,20,80.76830443159923
