run_duration,emitter,parent_selection,tracer_budget,run_number,rac
600,Mutation,Uniform,10,1,82.89866883998913
600,Mutation,Uniform,10,2,82.30100516164086
600,Mutation,Uniform,10,3,82.64058679706602
600,Mutation,Uniform,10,4,82.72208638956805
600,Mutation,Uniform,10,5,82.1787557728878
600,Mutation,Uniform,10,6,82.49117087747895
600,Mutation,Uniform,10,7,81.68975821787558
600,Mutation,Uniform,10,8,81.26867698994839
600,Mutation,Uniform,10,9,81.90709046454768
600,Mutation,Uniform,10,10,82.49117087747895
600,Mutation,Uniform,10,11,81.60825862537354
600,Mutation,Uniform,10,12,82.31458842705787
600,Mutation,Uniform,10,13,82.77641945123608
600,Mutation,Uniform,10,14,82.23308883455583
600,Mutation,Uniform,10,15,83.12958435207824
600,Mutation,Uniform,10,16,81.60825862537354
600,Mutation,Uniform,10,17,81.64900842162456
600,Mutation,Uniform,10,18,81.54034229828851
600,Mutation,Uniform,10,19,83.10241782124423
600,Mutation,Uniform,10,20,82.77641945123608
