run_duration,emitter,parent_selection,tracer_budget,run_number,cnpd
600,Mutation,Uniform,10,1,0.415050680759009
600,Mutation,Uniform,10,2,0.4107824925266337
600,Mutation,Uniform,10,3,0.40978987981289694
600,Mutation,Uniform,10,4,0.4120656994147243
600,Mutation,Uniform,10,5,0.4028684065083987
600,Mutation,Uniform,10,6,0.4071992470872923
600,Mutation,Uniform,10,7,0.411176189588673
600,Mutation,Uniform,10,8,0.406165596966789
600,Mutation,Uniform,10,9,0.4050660155231094
600,Mutation,Uniform,10,10,0.40933618430837776
600,Mutation,Uniform,10,11,0.4056551924406508
600,Mutation,Uniform,10,12,0.4114116516086191
600,Mutation,Uniform,10,13,0.4090938617385762
600,Mutation,Uniform,10,14,0.41030727548446694
600,Mutation,Uniform,10,15,0.4164878720918966
600,Mutation,Uniform,10,16,0.40349295339994956
600,Mutation,Uniform,10,17,0.4053783775242817
600,Mutation,Uniform,10,18,0.40683745304314134
600,Mutation,Uniform,10,19,0.40944585501107783
600,Mutation,Uniform,10,20,0.41638740216626957
