bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
81,126,0,2,1,1.1963884622906473,0.0,28395553,2.057884643636491e-28,8.66647169012165e-23,2.374535701746006e-6,1752544,1721209593055748686344423294,41217,4184541,4666275575907127169438958411,114399,"InexactError(:Int64, Int64, 1721209593055748686344423294)","InexactError(:Int64, Int64, 4666275575907127169438958411)"
72,137,8,2,1,1.1933479828585487,0.0,26104930,2.0509684381813055e-28,7.328481834263321e-23,2.7986266249474498e-6,134901,44595640370180666768290846,4469210824144354553053452474,-1,71763,97668,"InexactError(:Int64, Int64, 4469210824144354553053452474)","ArgumentError(""Month: 71763 out of range (1:12)"")"
103,147,0,2,1,1.1933316056317071,0.0,25927729,2.0423135483775537e-28,2.0081263272993207e-23,1.0170244374636582e-5,1832226123652641820984439224,-287838067989887872597117856,30741,66817886031,1768548804291565147982192857,935,"InexactError(:Int64, Int64, -287838067989887872597117856)","InexactError(:Int64, Int64, 1768548804291565147982192857)"
64,172,8,2,1,1.0360701894010698,0.0,24693330,2.040033487985434e-28,7.522048905809568e-27,0.027120715559424743,498831029765269499333141316,4470451359227139609182513116,0,14,10175,0,"InexactError(:Int64, Int64, 4470451359227139609182513116)","ArgumentError(""Month: 10175 out of range (1:12)"")"
52,107,3,2,1,1.3649927455282516,0.0,29245198,1.9973301986446328e-28,1.841915956342977e-21,1.0843764026075447e-7,29,2393949099,4308076435548675389231470411,1,7986740753,2,"InexactError(:Int64, Int64, 4308076435548675389231470411)","ArgumentError(""Month: 7986740753 out of range (1:12)"")"
58,107,2,2,1,0.24378209122030528,0.0,1932617,1.940188364096631e-28,2.9515299233428333e-22,6.573500572541102e-7,0,315418322647047,-1371,1,-1218502,4593906263534809595719147766,"ArgumentError(""Month: 315418322647047 out of range (1:12)"")","InexactError(:Int64, Int64, 4593906263534809595719147766)"
118,152,1,2,1,0.7336499141775595,0.0,15569742,1.9241608638936044e-28,1.5416031116072191e-27,0.12481557992494868,-20500786817673658029695,-2149740151540536230598122560,-2,364258,-5250689199489388591310889205,1301003088329315082760727064,"InexactError(:Int64, Int64, -2149740151540536230598122560)","InexactError(:Int64, Int64, 1301003088329315082760727064)"
98,77,6,2,1,1.1944419857004702,0.0,27399311,1.9205718714860021e-28,2.0610201438530097e-25,0.0009318549734771422,681154076595463,4742766982892546681,4616322624043969484908717075,1036596111037228,7217653067031442621,0,"InexactError(:Int64, Int64, 4616322624043969484908717075)","ArgumentError(""Month: 7217653067031442621 out of range (1:12)"")"
51,99,4,2,1,0.24555729965790735,-0.5,2107337,1.899723332486752e-28,7.886935531926743e-22,2.4086964129433657e-7,10525,4493593998595155772291514517,339581,-2,575991344,2,"InexactError(:Int64, Int64, 4493593998595155772291514517)","ArgumentError(""Month: 575991344 out of range (1:12)"")"
57,86,5,2,1,0.33587445025826734,9.0,2889475,1.8916874243786525e-28,2.78168581933388e-19,6.8005071285572e-10,382588,-5429994,-7,4184541,4776764100591979976383434371,114399,"ArgumentError(""Month: -5429994 out of range (1:12)"")","InexactError(:Int64, Int64, 4776764100591979976383434371)"
159,26,1,2,1,1.036100971812061,0.0,24909062,1.8802680969176018e-28,5.3688975821222025e-28,0.35021493112080837,11462167045130623922809562229,-146980099348905899443848798,-1408435675152915676013305251,14262157020514239189099556425,5364425530207829,-236061161384621038707764321,"InexactError(:Int64, Int64, -1408435675152915676013305251)","InexactError(:Int64, Int64, -236061161384621038707764321)"
127,118,1,2,1,0.7946947315652891,0.0,19989113,1.868174662606842e-28,4.214997792619352e-27,0.04432207926367361,4427140853376567925394503150,-37634491913007007428461620,-38747478894796035250541206,7833051629308710527684676331,2946245934569862,3,"InexactError(:Int64, Int64, -38747478894796035250541206)","InexactError(:Int64, Int64, 7833051629308710527684676331)"
87,219,1,2,1,0.7363603238682426,1.0,19763180,1.8662954210093363e-28,4.447476089392142e-27,0.041963023150607015,242209533379815080544081414,10279188511367406458758319912,4,9,7238763679473850315847709442,3,"InexactError(:Int64, Int64, 10279188511367406458758319912)","InexactError(:Int64, Int64, 7238763679473850315847709442)"
98,171,0,2,1,1.0102338083312457,0.0,22545785,1.850173387494989e-28,3.1429000458499775e-27,0.05886834962944618,22,3792775456,3638825657530579762014035014,41,-332309183509672263550048967,6929564814677899196186520197,"InexactError(:Int64, Int64, 3638825657530579762014035014)","InexactError(:Int64, Int64, 6929564814677899196186520197)"
