run_duration,emitter,parent_selection,tracer_budget,run_number,rac
30,Mutation,Uniform,10,1,24.565439672801634
30,Mutation,Uniform,10,2,24.360940695296524
30,Mutation,Uniform,10,3,24.22460804362645
30,Mutation,Uniform,10,4,24.020109066121336
30,Mutation,Uniform,10,5,23.97750511247444
30,Mutation,Uniform,10,6,24.948875255623722
30,Mutation,Uniform,10,7,24.088275391956373
30,Mutation,Uniform,10,8,23.968984321745058
30,Mutation,Uniform,10,9,23.721881390593047
30,Mutation,Uniform,10,10,23.64519427402863
30,Mutation,Uniform,10,11,24.48875255623722
30,Mutation,Uniform,10,12,23.798568507157466
30,Mutation,Uniform,10,13,24.045671438309476
30,Mutation,Uniform,10,14,24.46319018404908
30,Mutation,Uniform,10,15,23.91785957736878
30,Mutation,Uniform,10,16,22.639740967961828
30,Mutation,Uniform,10,17,23.125426039536467
30,Mutation,Uniform,10,18,24.633605998636675
30,Mutation,Uniform,10,19,24.395023858214042
30,Mutation,Uniform,10,20,24.863667348329926
