bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
19,12,5,0,1,44.627748679126725,-6.0,15310163,7.522529406304469e-11,1.0000433357779083e-10,0.7522203425767429,-13293651195,-250186,-13293651195B,-250186B
22,0,5,0,1,22.615916066216837,-6.0,12389039,6.87378362427169e-11,8.996484602409905e-11,0.7640521746050003,-1228322605,12349837319,-1228322605B,12.3 GB
20,8,4,0,1,12.901433953491136,-6.0,8112938,6.857883437847106e-11,1.0005341142257164e-10,0.6854222500103575,-11849529959,-1851191,-11849529959B,-1851191B
18,8,1,0,1,4.105786169466904,-6.0,1845605,6.81614491551599e-11,1.0008216396374672e-10,0.6810549098423809,14672117591,1068011,14.7 GB,1.1 MB
28,0,0,0,1,77.92326837797633,0.0,29999589,6.185741570372338e-11,0.8,7.732176962965423e-11,-8771043500289,-8757688804702,-8771043500289B,-8757688804702B
15,24,0,0,1,13.901433953551837,-6.0,8407800,5.970363627211721e-11,9.049560914897179e-11,0.6597406971849259,16749408569,9999,16.7 GB,10.0 kB
49,0,0,2,1,44.62792406650172,-6.0,16620332,5.508346956508173e-11,8.415141990860343e-11,0.6545756402554788,999999999999998087517104,1000000000000000992199784,"BoundsError(""kMGTPE"", 7)","BoundsError(""kMGTPE"", 8)"
34,0,0,0,1,77.92326994431905,0.0,29999589,5.089407223542368e-11,0.7142857142857143,7.125170112959315e-11,-9745543343979699,-9745558276956500,-9745543343979699B,-9745558276956500B
34,0,0,0,1,77.92326994416607,0.0,29999589,4.76653631368923e-11,0.7142857142857143,6.673150839164921e-11,-5785282908725846,-5785298449166367,-5785282908725846B,-5785298449166367B
23,0,6,0,1,44.62774867917076,-6.5,15345949,4.4032480320165916e-11,4.7603250777230805e-11,0.9249889367057086,-10960112266,10414483572,-10960112266B,10.4 GB
34,0,0,0,1,77.92326994426794,0.0,29999589,1.8912459330951054e-11,0.7142857142857143,2.6477443063331474e-11,-2079200525023568,-2079157441530271,-2079200525023568B,-2079157441530271B
26,0,0,0,1,77.92326837809463,0.0,29999589,1.658329640704742e-11,0.6666666666666667,2.4874944610571128e-11,6927631944932,6972858176291,6.9 TB,7.0 TB
24,2,2,0,1,75.42326777172143,-6.0,25287563,1.0572462944148055e-11,1.1110032896491215e-11,0.9516140089456498,-7563942699,-102149282490,-7563942699B,-102149282490B
14,50,5,0,1,4.106008631712531,-6.0,2450872,9.999319633792967e-12,9.999982160931824e-12,0.9999337471679255,100006804179,54,100.0 GB,54B
19,24,6,0,1,64.18846572132782,-6.0,20375204,9.99844206935261e-12,9.999635421192255e-12,0.9998806604651689,-100015274344,307390,-100015274344B,307.4 kB
20,8,1,0,1,4.103762113669982,-6.0,1283404,9.995507431923943e-12,1.0008402973868628e-11,0.998711528504762,100098899332,53953459,100.1 GB,54.0 MB
13,60,6,0,1,4.1048730580424415,-6.5,1612457,9.98513979164325e-12,9.999987417615832e-12,0.998515235534554,100148823240,2,100.1 GB,2B
19,12,2,0,1,4.093748471626786,-6.5,965413,9.815798626551954e-12,1.0000198390035783e-11,0.9815603894751163,3253084,101879833691,3.3 MB,101.9 GB
17,40,8,0,1,2.000000000009876,-6.5,26637,9.789593788468453e-12,9.999912550664745e-12,0.978967939856403,1904,-102149282490,1.9 kB,-102149282490B
22,8,4,0,1,14.90154313200011,-6.0,9720098,9.769793539252235e-12,1.0006238904265731e-11,0.9763702059009707,-102383283408,-26975060,-102383283408B,-26975060B
15,60,11,0,1,4.10578616151345,-6.0,1837169,9.663998220590428e-12,9.999962460440923e-12,0.9664034498949828,-103476840187,58,-103476840187B,58B
15,40,4,0,1,3.0930089191949004,-6.0,421055,9.560568027996337e-12,9.999960966952358e-12,0.9560605345952732,104596295562,-84,104.6 GB,-84B
14,72,12,0,1,3.093008919204446,-6.0,421251,9.54603340534785e-12,9.999988006714384e-12,0.9546044854192094,1,-104755552126,1B,-104755552126B
22,0,4,0,1,34.127027178329506,-6.0,14316577,9.449071728488654e-12,9.894822148495852e-12,0.9549511438085869,-5849350735,99981150793,-5849350735B,100.0 GB
20,18,6,0,1,64.18846571115787,-6.0,19818217,9.386135529952324e-12,9.999571810535406e-12,0.9386537451596904,-106540369579,-250186,-106540369579B,-250186B
23,4,8,0,1,8.301433953421503,-6.0,7462474,9.343399313227703e-12,9.893716574285146e-12,0.9443770946008522,2271876166,-104755552126,2.3 GB,-104755552126B
23,0,4,0,1,3.092900285346061,-6.0,206232,9.235772795449574e-12,9.886953111621708e-12,0.9341374123230444,-1064735125,100840810998,-1064735125B,100.8 GB
16,32,2,0,1,4.103772261201065,-6.5,1394565,9.222657490529896e-12,9.99976880924504e-12,0.922287071477424,2329,108428619680,2.3 kB,108.4 GB
18,32,7,0,1,4.093761151566733,-6.0,1178050,9.208380025470555e-12,9.999893764628608e-12,0.9208477852077013,-108596701296,33117,-108596701296B,33.1 kB
16,50,10,0,1,4.093545224365265,-6.5,702463,9.205624605843197e-12,9.999995935101652e-12,0.9205628347837543,-108629238933,561,-108629238933B,561B
