run_duration,emitter,parent_selection,tracer_budget,run_number,rac
600,Mutation,Uniform,0,1,76.52262180974478
600,Mutation,Uniform,0,2,78.1322505800464
600,Mutation,Uniform,0,3,77.91473317865429
600,Mutation,Uniform,0,4,78.04524361948955
600,Mutation,Uniform,0,5,78.16125290023201
600,Mutation,Uniform,0,6,77.52320185614849
600,Mutation,Uniform,0,7,77.39269141531322
600,Mutation,Uniform,0,8,78.46577726218098
600,Mutation,Uniform,0,9,78.58178654292344
600,Mutation,Uniform,0,10,78.39327146171694
600,Mutation,Uniform,0,11,77.1606728538283
600,Mutation,Uniform,0,12,78.21925754060325
600,Mutation,Uniform,0,13,78.01624129930394
600,Mutation,Uniform,0,14,77.90023201856148
600,Mutation,Uniform,0,15,78.43677494199535
600,Mutation,Uniform,0,16,77.334686774942
600,Mutation,Uniform,0,17,78.1177494199536
600,Mutation,Uniform,0,18,78.58178654292344
600,Mutation,Uniform,0,19,75.72505800464037
600,Mutation,Uniform,0,20,77.87122969837587
