bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
12,6,6,1,1,1.5060378669203193e-5,0.0,0.0,-65159.0,1185.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.81415454070819e-5,0.15345569103007456
12,7,9,0,1,9.26346113269311e-6,1.0,75.0,-107950.0,25.0,in,out,9.99970000100045e-6,0.9263739043937639
10,9,9,0,1,9.095291364273154e-6,-109947.0,4.0,0.0,1.0,out,in,9.99959999800152e-6,0.9095655192298594
15,7,9,0,1,9.039862948759059e-6,-107902.0,24401.0,5.0,47.0,out,in,9.989345960502388e-6,0.9049504326411799
15,5,9,0,1,9.002654072478338e-6,-111037.0,2475.0,14.0,10.0,out,in,9.996628580736922e-6,0.9005690268243105
16,4,9,0,1,8.782887536446817e-6,7469.0,-113647.0,-8.0,-35.0,out,in,9.997648475710112e-6,0.8784953339563168
11,8,9,0,1,8.333541491016664e-6,26.0,-119997.0,1.0,0.0,out,in,9.99980000349995e-6,0.8333708162263153
13,8,9,0,1,8.275336291117743e-6,6376.0,-120667.0,6.0,6.0,out,in,9.998312288851503e-6,0.8276733164601247
12,8,9,0,1,8.059185875166413e-6,2.0,-124081.0,-53.0,1.0,out,in,1.0004101681689493e-5,0.8055881608957595
16,5,9,0,1,7.60925727367898e-6,28.0,53.0,-24645.0,129135.0,in,out,6.649081013147357e-5,0.11444073637594501
10,9,6,1,1,7.427250779088123e-6,0.0,0.0,1.0,-132146.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814716667648138e-6,0.7567463260116591
14,7,9,0,1,6.864376039695411e-6,1.0,19.0,2068.0,-145646.0,in,out,9.998293526407227e-6,0.6865547627267997
16,3,9,0,1,6.501822852340912e-6,14643.0,153053.0,-4.0,-51.0,out,in,9.832852861829407e-5,0.0661234632888755
17,10,9,0,1,6.037587525271052e-6,20.0,0.0,-111277.0,-122662.0,in,out,6.911655206765096e-6,0.8735371404756258
14,9,6,1,1,5.693210308523994e-6,33139.0,-169180.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.787877278836126e-6,0.581659347204338
16,6,9,0,1,5.533108446027012e-6,-179105.0,24169.0,0.0,-14.0,out,in,6.645769996507104e-5,0.08325759767393565
11,8,6,1,1,5.362817903717873e-6,0.0,0.0,-1.0,-183016.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814716165144735e-6,0.5464058066969876
15,6,9,0,1,5.052056060973287e-6,1.0,-1.0,-11183.0,197622.0,in,out,7.029587341392868e-5,0.07186845849719899
14,6,9,0,1,4.510250070372845e-6,269.0,-221714.0,-26.0,3.0,out,in,1.0003000738124198e-5,0.45088970684397095
14,8,6,1,1,4.338427918427658e-6,187227.0,126988.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",6.524824104271546e-5,0.06649110917162442
15,10,9,0,1,3.6660486927089536e-6,4.0,3.0,207069.0,-177562.0,in,out,9.93790765129651e-6,0.36889542762360816
18,8,9,0,1,3.2716992201381097e-6,-264324.0,-153406.0,30.0,21.0,out,in,6.834065715200068e-6,0.4787339420604811
17,2,9,0,1,2.792191873172918e-6,357454.0,21501.0,-39.0,-43.0,out,in,9.890849831230076e-5,0.028230050206167846
17,4,9,0,1,2.353775844756478e-6,20.0,-13.0,424667.0,-13122.0,in,out,6.81049247473925e-5,0.034561022620417714
17,6,9,0,1,1.6164791545856935e-6,-5.0,-2.0,-616776.0,-47905.0,in,out,9.896727124652005e-6,0.16333472007722283
16,8,9,0,1,1.4095039591405152e-6,209791.0,-677742.0,-1.0,0.0,out,in,9.931305216993073e-6,0.14192534901945894
18,5,9,0,1,1.2336523824651407e-6,-40.0,-2.0,292186.0,-756096.0,in,out,9.886450821950143e-6,0.12478212906558492
15,10,6,1,1,1.0625162175789037e-6,-13260.0,-923638.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.643680030969169e-6,0.11017746484400137
