A,i,output,outputtype,datatype,metric,n_A,n_i,n_output,n_outputtype,n_datatype,count
95,1,"TypeError(:<:, """", Type, 0x5f)",error,TypeError,28.0,95,2,95,valid,UInt8,2
-34,1,"TypeError(:<:, """", Type, -34)",error,TypeError,26.0,-34,2,-34,valid,Int64,2
-105,1,"TypeError(:<:, """", Type, -105)",error,TypeError,26.0,-105,2,-105,valid,Int64,2
333387728553845030134615906649806826118,1,"TypeError(:<:, """", Type, 0xfad0241562900c1dfefcad10fea16a86)",error,TypeError,21.0,333387728553845030134615906649806826118,2,333387728553845030134615906649806826118,valid,UInt128,1
329162304254837063959433876227714821185,1,"TypeError(:<:, """", Type, 0xf7a25a94c92230b7bcdc6e40cb69ac41)",error,TypeError,21.0,329162304254837063959433876227714821185,2,329162304254837063959433876227714821185,valid,UInt128,1
295053776727566653003525944412102978532,1,"TypeError(:<:, """", Type, 0xddf94a565ef8d86ca7518268a14bebe4)",error,TypeError,21.0,295053776727566653003525944412102978532,2,295053776727566653003525944412102978532,valid,UInt128,1
289055118281400419327150906401010461495,1,"TypeError(:<:, """", Type, 0xd975fda4427caac3b804ab3e632bab37)",error,TypeError,21.0,289055118281400419327150906401010461495,2,289055118281400419327150906401010461495,valid,UInt128,1
284121614982238131696805009038501976153,1,"TypeError(:<:, """", Type, 0xd5bfd52634333917e81a2801b6a39859)",error,TypeError,21.0,284121614982238131696805009038501976153,2,284121614982238131696805009038501976153,valid,UInt128,1
279634257519010812864472539239708076836,1,"TypeError(:<:, """", Type, 0xd25f995846aa72f6401b40034c3bab24)",error,TypeError,21.0,279634257519010812864472539239708076836,2,279634257519010812864472539239708076836,valid,UInt128,1
267529331086320608342638232124378219920,1,"TypeError(:<:, """", Type, 0xc9444664b3ec6df825331f689d668590)",error,TypeError,21.0,267529331086320608342638232124378219920,2,267529331086320608342638232124378219920,valid,UInt128,1
250086836803384962438726271339754978526,1,"TypeError(:<:, """", Type, 0xbc24f9076ee909ed28485450b2fc7cde)",error,TypeError,21.0,250086836803384962438726271339754978526,2,250086836803384962438726271339754978526,valid,UInt128,1
248596141911856923922504731397938965403,1,"TypeError(:<:, """", Type, 0xbb05e018b04934ec44bf5e17fa2b6b9b)",error,TypeError,21.0,248596141911856923922504731397938965403,2,248596141911856923922504731397938965403,valid,UInt128,1
245353036018978340769348365597499526252,1,"TypeError(:<:, """", Type, 0xb89546a17b83910a5fd861442cd10c6c)",error,TypeError,21.0,245353036018978340769348365597499526252,2,245353036018978340769348365597499526252,valid,UInt128,1
218186660233701317921011708237442641637,1,"TypeError(:<:, """", Type, 0xa42538e4c924616db2b9e9e05d9aeee5)",error,TypeError,21.0,218186660233701317921011708237442641637,2,218186660233701317921011708237442641637,valid,UInt128,1
206616594549620012091212305599125993652,1,"TypeError(:<:, """", Type, 0x9b70e89cf6273da7ddafc48c2fc738b4)",error,TypeError,21.0,206616594549620012091212305599125993652,2,206616594549620012091212305599125993652,valid,UInt128,1
205812730974491380289963254955696696014,1,"TypeError(:<:, """", Type, 0x9ad61714336345bc729ee2cebed3aace)",error,TypeError,21.0,205812730974491380289963254955696696014,2,205812730974491380289963254955696696014,valid,UInt128,1
199225027920953593638790764067201388137,1,"TypeError(:<:, """", Type, 0x95e1583de4fc6f67c360b33b73868e69)",error,TypeError,21.0,199225027920953593638790764067201388137,2,199225027920953593638790764067201388137,valid,UInt128,1
169880932053679484932771700808338703339,1,"TypeError(:<:, """", Type, 169880932053679484932771700808338703339)",error,TypeError,26.0,169880932053679484932771700808338703339,2,169880932053679484932771700808338703339,valid,Int128,1
168770178706053352598189784677164596347,1,"TypeError(:<:, """", Type, 168770178706053352598189784677164596347)",error,TypeError,26.0,168770178706053352598189784677164596347,2,168770178706053352598189784677164596347,valid,Int128,1
167990396791730893661678764720924075141,1,"TypeError(:<:, """", Type, 0x7e61c607b47a22bd0709d24898132485)",error,TypeError,21.0,167990396791730893661678764720924075141,2,167990396791730893661678764720924075141,valid,UInt128,1
166297990344474581387615017804207921833,1,"TypeError(:<:, """", Type, 0x7d1bd3f33177f74ae69423c8dda69aa9)",error,TypeError,21.0,166297990344474581387615017804207921833,2,166297990344474581387615017804207921833,valid,UInt128,1
162574471345642910468187778160840086017,1,"TypeError(:<:, """", Type, 162574471345642910468187778160840086017)",error,TypeError,26.0,162574471345642910468187778160840086017,2,162574471345642910468187778160840086017,valid,Int128,1
156761178802973171095609969385075667978,1,"TypeError(:<:, """", Type, 0x75ef1ad69fda0b996eee89199948740a)",error,TypeError,21.0,156761178802973171095609969385075667978,2,156761178802973171095609969385075667978,valid,UInt128,1
153341402576401861963518047991500239207,1,"TypeError(:<:, """", Type, 153341402576401861963518047991500239207)",error,TypeError,26.0,153341402576401861963518047991500239207,2,153341402576401861963518047991500239207,valid,Int128,1
137455402126661076173752956325254617859,1,"TypeError(:<:, """", Type, 137455402126661076173752956325254617859)",error,TypeError,26.0,137455402126661076173752956325254617859,2,137455402126661076173752956325254617859,valid,Int128,1
130116647685892594956465635876173516836,1,"TypeError(:<:, """", Type, 130116647685892594956465635876173516836)",error,TypeError,26.0,130116647685892594956465635876173516836,2,130116647685892594956465635876173516836,valid,Int128,1
126700642861965563697837432351774972470,1,"TypeError(:<:, """", Type, 0x5f51a7fd1f6f118492ed68d9811b9a36)",error,TypeError,21.0,126700642861965563697837432351774972470,2,126700642861965563697837432351774972470,valid,UInt128,1
121504758712655526636507303585500320741,1,"TypeError(:<:, """", Type, 0x5b68f71f25ca3990c1581c0d4f3753e5)",error,TypeError,21.0,121504758712655526636507303585500320741,2,121504758712655526636507303585500320741,valid,UInt128,1
117418386073775073331157619033568505063,1,"TypeError(:<:, """", Type, 117418386073775073331157619033568505063)",error,TypeError,26.0,117418386073775073331157619033568505063,2,117418386073775073331157619033568505063,valid,Int128,1
115142359060920138873516704036167861282,1,"TypeError(:<:, """", Type, 115142359060920138873516704036167861282)",error,TypeError,26.0,115142359060920138873516704036167861282,2,115142359060920138873516704036167861282,valid,Int128,1
112391210333760777153251550971208965550,1,"TypeError(:<:, """", Type, 112391210333760777153251550971208965550)",error,TypeError,26.0,112391210333760777153251550971208965550,2,112391210333760777153251550971208965550,valid,Int128,1
99232810201936416466962647138310632804,1,"TypeError(:<:, """", Type, 0x4aa78b47bc84194e9266b71e9b153564)",error,TypeError,22.0,99232810201936416466962647138310632804,2,99232810201936416466962647138310632804,valid,UInt128,1
97308022616534662383006429618417005339,1,"TypeError(:<:, """", Type, 0x4934d7ece79d0349b038d59ee825731b)",error,TypeError,22.0,97308022616534662383006429618417005339,2,97308022616534662383006429618417005339,valid,UInt128,1
96317608611388679624652692384180947387,1,"TypeError(:<:, """", Type, 0x487618beafbb42e5f447293d24d549bb)",error,TypeError,22.0,96317608611388679624652692384180947387,2,96317608611388679624652692384180947387,valid,UInt128,1
