A,i,output,outputtype,datatype,metric,n_A,n_i,n_output,n_outputtype,n_datatype,count
238,false,"BoundsError(0xee, 0)",error,BoundsError,10.0,238,true,"TypeError(:<:, """", Type, 0xee)",error,TypeError,2
225,false,"BoundsError(0xe1, 0)",error,BoundsError,10.0,225,true,"TypeError(:<:, """", Type, 0xe1)",error,TypeError,2
207,false,"BoundsError(0xcf, 0)",error,BoundsError,10.0,207,true,"TypeError(:<:, """", Type, 0xcf)",error,TypeError,2
196,false,"BoundsError(0xc4, 0)",error,BoundsError,10.0,196,true,"TypeError(:<:, """", Type, 0xc4)",error,TypeError,2
145,false,"BoundsError(0x91, 0)",error,BoundsError,10.0,145,true,"TypeError(:<:, """", Type, 0x91)",error,TypeError,2
144,false,"BoundsError(0x90, 0)",error,BoundsError,10.0,144,true,"TypeError(:<:, """", Type, 0x90)",error,TypeError,2
112,false,"BoundsError(112, 0)",error,BoundsError,10.0,112,true,"TypeError(:<:, """", Type, 112)",error,TypeError,2
110,false,"BoundsError(0x6e, 0)",error,BoundsError,10.0,110,true,"TypeError(:<:, """", Type, 0x6e)",error,TypeError,2
106,0,"BoundsError(0x6a, 0)",error,BoundsError,10.0,106,1,"TypeError(:<:, """", Type, 0x6a)",error,TypeError,2
102,false,"BoundsError(102, 0)",error,BoundsError,10.0,102,true,"TypeError(:<:, """", Type, 102)",error,TypeError,2
83,false,"BoundsError(83, 0)",error,BoundsError,10.0,83,true,"TypeError(:<:, """", Type, 83)",error,TypeError,2
81,false,"BoundsError(81, 0)",error,BoundsError,10.0,81,true,"TypeError(:<:, """", Type, 81)",error,TypeError,2
79,false,"BoundsError(79, 0)",error,BoundsError,10.0,79,true,"TypeError(:<:, """", Type, 79)",error,TypeError,2
65,false,"BoundsError(0x41, 0)",error,BoundsError,10.0,65,true,"TypeError(:<:, """", Type, 0x41)",error,TypeError,2
56,false,"BoundsError(56, 0)",error,BoundsError,10.0,56,true,"TypeError(:<:, """", Type, 56)",error,TypeError,2
49,-100,"BoundsError(0x31, -100)",error,BoundsError,1.0,49,-99,"BoundsError(0x31, -99)",error,BoundsError,2
31,false,"BoundsError(0x1f, 0)",error,BoundsError,10.0,31,true,"TypeError(:<:, """", Type, 0x1f)",error,TypeError,2
25,false,"BoundsError(25, 0)",error,BoundsError,10.0,25,true,"TypeError(:<:, """", Type, 25)",error,TypeError,2
21,false,"BoundsError(21, 0)",error,BoundsError,10.0,21,true,"TypeError(:<:, """", Type, 21)",error,TypeError,2
true,false,"BoundsError(true, 0)",error,BoundsError,10.0,true,true,"TypeError(:<:, """", Type, true)",error,TypeError,38
false,false,"BoundsError(false, 0)",error,BoundsError,10.0,false,true,"TypeError(:<:, """", Type, false)",error,TypeError,36
false,-8,"BoundsError(false, -8)",error,BoundsError,1.0,true,-8,"BoundsError(true, -8)",error,BoundsError,3
false,-19,"BoundsError(false, -19)",error,BoundsError,1.0,true,-19,"BoundsError(true, -19)",error,BoundsError,2
false,-116,"BoundsError(false, -116)",error,BoundsError,1.0,true,-116,"BoundsError(true, -116)",error,BoundsError,2
-22,false,"BoundsError(-22, 0)",error,BoundsError,10.0,-22,true,"TypeError(:<:, """", Type, -22)",error,TypeError,2
-76,false,"BoundsError(-76, 0)",error,BoundsError,10.0,-76,true,"TypeError(:<:, """", Type, -76)",error,TypeError,2
-4156199142320850850,false,"BoundsError(-4156199142320850850, 0)",error,BoundsError,10.0,-4156199142320850850,true,"TypeError(:<:, """", Type, -4156199142320850850)",error,TypeError,1
