A,i,output,outputtype,datatype,metric,n_A,n_i,n_output,n_outputtype,n_datatype,count
403070211,-10000,"BoundsError(403070211, -10000)",error,BoundsError,1.0,403070211,-9999,"BoundsError(403070211, -9999)",error,BoundsError,1
488554650,false,"BoundsError(0x1d1ec09a, 0)",error,BoundsError,10.0,488554650,true,"TypeError(:<:, """", Type, 0x1d1ec09a)",error,TypeError,1
33083,false,"BoundsError(0x813b, 0)",error,BoundsError,10.0,33083,true,"TypeError(:<:, """", Type, 0x813b)",error,TypeError,1
-10,-115,"BoundsError(-10, -115)",error,BoundsError,1.0,-9,-115,"BoundsError(-9, -115)",error,BoundsError,1
38312,false,"BoundsError(0x95a8, 0)",error,BoundsError,10.0,38312,true,"TypeError(:<:, """", Type, 0x95a8)",error,TypeError,1
2424353758,false,"BoundsError(0x9080b3de, 0)",error,BoundsError,10.0,2424353758,true,"TypeError(:<:, """", Type, 0x9080b3de)",error,TypeError,1
false,-28,"BoundsError(false, -28)",error,BoundsError,1.0,true,-28,"BoundsError(true, -28)",error,BoundsError,1
-1331504106,false,"BoundsError(-1331504106, 0)",error,BoundsError,10.0,-1331504106,true,"TypeError(:<:, """", Type, -1331504106)",error,TypeError,1
29433,false,"BoundsError(0x72f9, 0)",error,BoundsError,10.0,29433,true,"TypeError(:<:, """", Type, 0x72f9)",error,TypeError,1
-100,-67,"BoundsError(-100, -67)",error,BoundsError,1.0,-99,-67,"BoundsError(-99, -67)",error,BoundsError,1
55934,-100,"BoundsError(0xda7e, -100)",error,BoundsError,1.0,55934,-99,"BoundsError(0xda7e, -99)",error,BoundsError,1
-134305213792239502359348103393317666360,false,"BoundsError(-134305213792239502359348103393317666360, 0)",error,BoundsError,10.0,-134305213792239502359348103393317666360,true,"TypeError(:<:, """", Type, -134305213792239502359348103393317666360)",error,TypeError,1
16911220290342281441,false,"BoundsError(0xeab0b9412c3ae0e1, 0)",error,BoundsError,10.0,16911220290342281441,true,"TypeError(:<:, """", Type, 0xeab0b9412c3ae0e1)",error,TypeError,1
28335,false,"BoundsError(0x6eaf, 0)",error,BoundsError,10.0,28335,true,"TypeError(:<:, """", Type, 0x6eaf)",error,TypeError,1
17557,false,"BoundsError(0x4495, 0)",error,BoundsError,10.0,17557,true,"TypeError(:<:, """", Type, 0x4495)",error,TypeError,1
1285402708,false,"BoundsError(0x4c9db054, 0)",error,BoundsError,10.0,1285402708,true,"TypeError(:<:, """", Type, 0x4c9db054)",error,TypeError,1
24372,-10000,"BoundsError(0x5f34, -10000)",error,BoundsError,1.0,24372,-9999,"BoundsError(0x5f34, -9999)",error,BoundsError,1
3807967271046314495,false,"BoundsError(3807967271046314495, 0)",error,BoundsError,10.0,3807967271046314495,true,"TypeError(:<:, """", Type, 3807967271046314495)",error,TypeError,1
44184,-100000000,"BoundsError(0xac98, -100000000)",error,BoundsError,1.0,44184,-99999999,"BoundsError(0xac98, -99999999)",error,BoundsError,1
3847,false,"BoundsError(0x0f07, 0)",error,BoundsError,10.0,3847,true,"TypeError(:<:, """", Type, 0x0f07)",error,TypeError,1
16675433587569118494,false,"BoundsError(0xe76b0a7f66accd1e, 0)",error,BoundsError,10.0,16675433587569118494,true,"TypeError(:<:, """", Type, 0xe76b0a7f66accd1e)",error,TypeError,1
-2391,-10,"BoundsError(-2391, -10)",error,BoundsError,1.0,-2391,-9,"BoundsError(-2391, -9)",error,BoundsError,1
-114,false,"BoundsError(-114, 0)",error,BoundsError,10.0,-114,true,"TypeError(:<:, """", Type, -114)",error,TypeError,1
false,-17612,"BoundsError(false, -17612)",error,BoundsError,1.0,true,-17612,"BoundsError(true, -17612)",error,BoundsError,1
252,-1000000000,"BoundsError(0xfc, -1000000000)",error,BoundsError,1.0,252,-999999999,"BoundsError(0xfc, -999999999)",error,BoundsError,1
54176,false,"BoundsError(0xd3a0, 0)",error,BoundsError,10.0,54176,true,"TypeError(:<:, """", Type, 0xd3a0)",error,TypeError,1
-7810163148081272111,false,"BoundsError(-7810163148081272111, 0)",error,BoundsError,10.0,-7810163148081272111,true,"TypeError(:<:, """", Type, -7810163148081272111)",error,TypeError,1
-1000,-32424287337121368749292356551890999426,"BoundsError(-1000, -32424287337121368749292356551890999426)",error,BoundsError,1.0,-999,-32424287337121368749292356551890999426,"BoundsError(-999, -32424287337121368749292356551890999426)",error,BoundsError,1
13534,-10000,"BoundsError(13534, -10000)",error,BoundsError,1.0,13534,-9999,"BoundsError(13534, -9999)",error,BoundsError,1
-10000,-129972974139000426057042193749880242450,"BoundsError(-10000, -129972974139000426057042193749880242450)",error,BoundsError,1.0,-9999,-129972974139000426057042193749880242450,"BoundsError(-9999, -129972974139000426057042193749880242450)",error,BoundsError,1
18001771061906557094,false,"BoundsError(0xf9d3236740d8c8a6, 0)",error,BoundsError,10.0,18001771061906557094,true,"TypeError(:<:, """", Type, 0xf9d3236740d8c8a6)",error,TypeError,1
false,-33354739157034497961997381519745325184,"BoundsError(false, -33354739157034497961997381519745325184)",error,BoundsError,1.0,true,-33354739157034497961997381519745325184,"BoundsError(true, -33354739157034497961997381519745325184)",error,BoundsError,1
-3607170766881000792,-10000,"BoundsError(-3607170766881000792, -10000)",error,BoundsError,1.0,-3607170766881000792,-9999,"BoundsError(-3607170766881000792, -9999)",error,BoundsError,1
31786,false,"BoundsError(0x7c2a, 0)",error,BoundsError,10.0,31786,true,"TypeError(:<:, """", Type, 0x7c2a)",error,TypeError,1
3446700962120263684,false,"BoundsError(0x2fd524437e2ce804, 0)",error,BoundsError,10.0,3446700962120263684,true,"TypeError(:<:, """", Type, 0x2fd524437e2ce804)",error,TypeError,1
82157613164929986892963948594566539654,false,"BoundsError(82157613164929986892963948594566539654, 0)",error,BoundsError,10.0,82157613164929986892963948594566539654,true,"TypeError(:<:, """", Type, 82157613164929986892963948594566539654)",error,TypeError,1
false,-5609857655839651606,"BoundsError(false, -5609857655839651606)",error,BoundsError,1.0,true,-5609857655839651606,"BoundsError(true, -5609857655839651606)",error,BoundsError,1
false,-1339056287,"BoundsError(false, -1339056287)",error,BoundsError,1.0,true,-1339056287,"BoundsError(true, -1339056287)",error,BoundsError,1
9128,-1000000000,"BoundsError(9128, -1000000000)",error,BoundsError,1.0,9128,-999999999,"BoundsError(9128, -999999999)",error,BoundsError,1
9999,-37157848864776497928340799645808466738,"BoundsError(9999, -37157848864776497928340799645808466738)",error,BoundsError,1.0,10000,-37157848864776497928340799645808466738,"BoundsError(10000, -37157848864776497928340799645808466738)",error,BoundsError,1
24823,-100,"BoundsError(24823, -100)",error,BoundsError,1.0,24823,-99,"BoundsError(24823, -99)",error,BoundsError,1
9999,-139037279818143235625133103238802374128,"BoundsError(9999, -139037279818143235625133103238802374128)",error,BoundsError,1.0,10000,-139037279818143235625133103238802374128,"BoundsError(10000, -139037279818143235625133103238802374128)",error,BoundsError,1
3510,false,"BoundsError(3510, 0)",error,BoundsError,10.0,3510,true,"TypeError(:<:, """", Type, 3510)",error,TypeError,1
-1000000000,-108828757,"BoundsError(-1000000000, -108828757)",error,BoundsError,1.0,-999999999,-108828757,"BoundsError(-999999999, -108828757)",error,BoundsError,1
9,-14075,"BoundsError(9, -14075)",error,BoundsError,1.0,10,-14075,"BoundsError(10, -14075)",error,BoundsError,1
