bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
8,0,6,1,1,6.653715492937397,0.0,32331709,0.03129054219594172,0.6537402316630345,0.04786387724118254,64,2,37,-10,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
6,1,6,1,1,1.132213881107255,-0.5,1713228,0.030800503422628026,0.09245283018867925,0.33314830232638476,-29,1,1,0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
8,0,10,1,1,5.758220270683118,0.0,32331709,0.030496868525351866,0.6698906348083082,0.04552514536059854,23,46,-3,29,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
12,0,11,0,1,2.0581695652928174,0.0,12908304,0.029437240470473188,1.0,0.029437240470473188,284,101,259,124,Underweight,Normal
11,0,6,1,1,7.021886451840721,0.0,32331709,0.028877412575629046,0.08108649612461213,0.356130970701346,102,18,101,-14,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,5.8481834363479255,0.0,32331709,0.02844809116759915,0.9473684210526316,0.030028540676910215,10,26,-12,51,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,6.255011175606934,0.0,32331709,0.027720271704346714,0.9473684210526316,0.029260286799032642,65,13,53,-19,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,1.236761571651561,-0.5,1893296,0.027696569030748294,0.9473684210526316,0.02923526731023431,21,38,-12,47,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,6,1,1,6.063570659110056,0.0,32331709,0.027322313305388247,0.6537402316630345,0.041793837952857286,98,6,87,-26,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,6.095404915073905,0.0,32331709,0.02582238632213925,0.9473684210526316,0.027256963340035873,11,27,-24,38,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,10,1,1,7.381387147329108,0.0,32331709,0.025595205487498385,0.9473684210526316,0.02701716134791496,0,23,-1,60,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,11,0,1,7.552203322134481,0.0,32331709,0.024325212770525996,1.0,0.024325212770525996,188,61,215,92,Underweight,Normal
10,0,10,1,1,6.137212328431665,0.0,32331709,0.02386386577231003,0.0861244019138756,0.27708599702293313,26,102,-4,128,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,10,1,1,8.052244207371928,0.0,32331709,0.02339359571012186,0.9473684210526316,0.02469323991623974,22,5,0,-29,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,6.422692837864775,0.0,32331709,0.02332966895895089,0.9473684210526316,0.024625761678892605,33,-30,40,10,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,10,1,1,4.939152333649387,0.0,29998673,0.02307910439056244,0.0861244019138756,0.26797404542375275,36,124,-5,126,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,6.326568320898489,0.0,32331709,0.02276381043152587,0.6698906348083082,0.03398138330152924,-24,10,0,44,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
6,0,14,0,1,5.4503673978673906,0.0,32331709,0.022192731032910955,0.9545454545454546,0.023249527748763855,14,2,57,1,Severely obese,Underweight
9,0,10,1,1,6.704186079162532,0.0,32331709,0.021866877290402965,0.9473684210526316,0.02308170380653646,73,20,59,-21,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,6.975626597552487,0.0,32331709,0.021047435322770737,0.6698906348083082,0.03141921118033474,36,59,-9,58,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,6,1,1,6.582926837703672,0.0,32331709,0.020819330289095477,0.9245283018867925,0.02251886745555225,93,10,99,-34,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,5.312001594436172,0.0,32331709,0.019941284272458053,0.6698906348083082,0.02976796992865011,65,-2,24,22,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,12,0,1,7.460778522013806,0.0,32331709,0.01966371575762536,0.20833333333333331,0.09438583563660173,75,14,95,7,Overweight,Underweight
9,0,10,1,1,6.878136711418554,0.0,32331709,0.019601192098477136,0.9473684210526316,0.0206901472150592,-34,36,10,56,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,11,0,1,6.809348735679107,0.0,32331709,0.01952172023607576,1.0,0.01952172023607576,128,32,88,0,Normal,Underweight
8,0,6,1,1,5.414852574869987,0.0,32331709,0.0191409214505878,0.6537402316630345,0.029279093626983395,32,1,54,-42,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,10,1,1,5.777073606918676,0.0,32331709,0.01885333623555769,0.9473684210526316,0.01990074380419978,7,5,-43,10,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,14,0,1,4.752501544033121,0.0,29998673,0.01808772781727658,0.08537714095908289,0.2118567993035179,161,25,137,72,Underweight,Severely obese
7,0,14,0,1,5.819735345180327,0.0,32331709,0.017756104508966836,0.2315112784437724,0.07669649888473704,61,0,52,53,Underweight,Severely obese
8,0,10,1,1,5.504221780101607,0.0,32331709,0.017433604152457517,0.6698906348083082,0.026024552735307623,-43,9,10,21,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
5,0,17,0,1,1.1013390109779064,-0.5,1695971,0.017117165741551164,0.08333333333333333,0.20540598889861397,0,0,58,7,Severely obese,Normal
10,1,6,1,1,4.896922288027977,0.0,29998673,0.016993168152168198,0.6537402316630345,0.025993762245501817,237,-32,193,0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
8,0,10,1,1,6.894923367227619,0.0,32331709,0.01678665580906581,0.6698906348083082,0.025058800551629408,-22,89,6,40,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,10,1,1,5.520276566089985,0.0,32331709,0.01605478598837781,0.9473684210526316,0.016946718543287685,-19,7,40,8,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
11,0,11,0,1,2.0081838562714402,2.0,6568852,0.015961737689352443,1.0,0.015961737689352443,289,69,259,124,Underweight,Normal
6,0,7,1,1,5.792777585133238,0.0,32331709,0.015703978214562278,0.0789115139065715,0.19900743804199783,-9,1,52,5,"DomainError(""Height or Weight cannot be negative."", """")",Normal
10,0,10,1,1,6.211172551313692,0.0,32331709,0.01568310219611436,0.0861244019138756,0.18209824216599452,-9,130,51,137,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,20,0,1,7.476304531967248,0.0,32331709,0.015526009953442287,0.7857142857142857,0.019760376304381093,146,60,106,91,Obese,Severely obese
11,0,14,0,1,8.182288321693642,0.0,32331709,0.015304594004195662,0.025714140061926526,0.5951820269835237,225,83,184,130,Underweight,Severely obese
7,0,10,1,1,5.327222451092027,0.0,32331709,0.015220856655855113,0.9473684210526316,0.016066459803402617,5,-7,48,38,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,1,6,1,1,7.978162660283581,0.0,32331709,0.0146437249574561,0.6537402316630345,0.022399913984495447,215,8,184,-47,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,4.84327636596964,0.0,29998673,0.014518310341863397,0.6698906348083082,0.021672657576438378,54,74,-9,91,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,10,1,1,4.7842384588943645,0.0,29998673,0.014383816379187694,0.9473684210526316,0.015182917289142565,9,26,66,-7,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
6,0,14,0,1,5.4647413872317925,0.0,32331709,0.014373989364401724,0.9545454545454546,0.015058465048420854,64,1,1,22,Underweight,Severely obese
8,0,10,1,1,5.594477664359966,0.0,32331709,0.014158764456920724,0.6698906348083082,0.021135934317058052,56,-6,45,60,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,14,0,1,7.434705029858166,0.0,32331709,0.013771939765136349,0.08862732049359294,0.15539158454115684,95,15,143,65,Underweight,Severely obese
9,0,10,1,1,6.622424950741455,0.0,32331709,0.013684066928836025,0.9473684210526316,0.014444292869326915,21,-18,34,50,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,10,1,1,5.957995802239775,0.0,32331709,0.013600613781005076,0.6698906348083082,0.020302737602678898,-48,15,6,59,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
