bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
76,0,6,1,1,1.740327510717634e-16,0.0,21882753,1.3157128799202505e-16,1.0,1.3157128799202505e-16,6167320100931335725,-774140102891035588,6173292417143450981,-778840971344262563,"DomainError(-1.4460596385637699e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
78,0,6,1,1,2.0115081702758717e-16,0.0,29136959,1.2398245074890105e-17,1.0,1.2398245074890105e-17,7562177477690241038,-1504844486571080268,7586304701331336885,-1427881116182855612,"DomainError(-6.618530449791793e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
80,0,6,1,1,1.3824147967630536e-17,0.0,3409965,6.3326558426297e-18,1.0,6.3326558426297e-18,-8184111560906714319,-5580448870660693012,-8115842681933641960,-5722840733970691286,"DomainError(-1.0020730916676442e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
75,0,6,1,1,1.8514521048104367e-16,0.0,26143139,5.908306759487964e-18,2.386880703122415e-17,0.24753255375348132,7113208595103247511,-116672431912914142,6955719292687954937,-54674243830465814,out,"DomainError(-3.032937778329025e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
78,0,0,2,1,4.115670364040532e-17,0.0,21195027,5.526649888709006e-18,0.31707317073170727,1.7430203495159176e-17,-9112547098829299941,2175411908883629723,-9159511603881536793,2157746392753250020,"DomainError(-8.335665277984231e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-6.14649042834748e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
74,0,6,1,1,2.2849100052799274e-17,0.0,8524764,3.974663734698715e-18,1.0,3.974663734698715e-18,444050231655848303,6046682555825686446,599125753589988664,6244801023919875111,out,"DomainError(-7.634205584677651e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
77,0,6,1,1,3.28033628019332e-18,0.0,722233,3.28033628019332e-18,2.499236235041987e-17,0.13125354995256025,-856016705880881280,8502765412485143766,-1149000377948677770,8418550591714868261,out,"DomainError(-4.1345534244566057e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
73,0,6,1,1,7.326976790613342e-18,0.0,2528115,3.157300810372988e-18,1.874908103283848e-17,0.16839762998746796,36476079128189356,4224788430244153815,164029611832885893,4514694629809529679,out,"DomainError(-6.546287394547267e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
76,0,0,2,1,2.7621700806163517e-17,0.0,13382493,2.903530339443646e-18,0.30578512396694213,9.495328947910302e-18,2270764239332051563,1038800051971403072,2349049803014696194,1084165548745101215,"DomainError(-4.779035985252706e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-5.844577593263081e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
79,0,6,1,1,3.03883078028566e-17,0.0,14144378,2.4276470235762135e-18,1.878030713074318e-17,0.12926556560953037,-1096705804678332743,-2509660640492010465,-937125871772509287,-2129906027597419156,"DomainError(-2.410074742794806e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
74,1,6,1,1,3.2554109839283106e-17,0.0,15217472,2.165802036426505e-18,6.478340758037769e-18,0.3343143124633208,16987111176218035,7820105341594179124,-417268497099626548,7976980877475495493,"DomainError(-8.016821956050144e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
80,0,0,2,1,1.872977123198884e-17,0.0,8288330,1.6158595615272615e-18,0.31707317073170727,5.096172463278287e-18,-1613742989143847448,-7094942939884689891,-1536465725261607738,-7236432090168010451,"DomainError(-1.3743084109876751e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-7.633764055965271e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
76,1,6,1,1,1.7610346798857322e-16,0.0,23473111,1.4687538080369373e-18,1.0,1.4687538080369373e-18,756369600002413931,-5024181753477260827,530100033501345169,-5666332709766213649,"DomainError(-3.1389274890111053e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
75,2,6,1,1,1.8705071549196218e-16,0.0,27103997,1.2602853209053444e-18,1.5918017552200018e-17,0.07917350994069995,15888747998968742,-4024842164532144149,784325725193139444,-3827102376085387362,"DomainError(-4.4258725840331075e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
76,2,6,1,1,4.2461463079738347e-17,0.0,21578355,1.2477798965758629e-18,7.07565815487174e-18,0.17634824482253147,-6576595537504284112,-682861018603971433,-6911983814025117830,45008585676539900,out,"DomainError(-6.62280605952665e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
76,2,0,2,1,1.8823595351749034e-16,0.0,28207862,1.185238025528163e-18,2.054270545702024e-18,0.576962965276378,85808537868409976,-7437463053788587484,-112971985947825225,-7268852629368813206,"DomainError(-1.2867752608501727e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-2.9154669840513034e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
