bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
40,288,18,1,1,9.90450258179523e-32,9.999859141852231e-32,0.9904642096749237,5.4678844e7,1.0096418186997393e31,54.7 MB,"BoundsError(""kMGTPE"", 10)"
38,392,27,0,1,9.903479144241669e-32,9.999608758592855e-32,0.9903866624513105,-1.0097461563105783e31,88797.0,-10097461563105783311665903193035B,88.8 kB
37,364,18,1,1,9.901247994567589e-32,9.999774780182162e-32,0.9901470995316978,28979.0,1.0099736927593968e31,29.0 kB,"BoundsError(""kMGTPE"", 10)"
45,220,26,0,1,9.89751910006062e-32,9.990191261599937e-32,0.9907236849513053,-1.0103542007752987e31,8.79418751517e11,-10103542007752986275954492813708B,879.4 GB
51,84,19,1,1,9.896306284494384e-32,9.999303509062851e-32,0.9896995601268512,3.638539648947675e18,1.0104780220547221e31,3.6 EB,"BoundsError(""kMGTPE"", 10)"
37,364,19,1,1,9.893934514272824e-32,9.999953601466016e-32,0.9893980420891504,1.0107202534617717e31,-2184.0,"BoundsError(""kMGTPE"", 10)",-2184B
36,450,30,0,1,9.885604555384961e-32,9.999773966125595e-32,0.988582800858561,-1.0115719219774701e31,248.0,-10115719219774701291654214745356B,248B
46,200,28,0,1,9.880647062691826e-32,9.99940363606869e-32,0.9881236343987055,5.618332746921e12,-1.012079465702083e31,5.6 TB,-10120794657020830134109743450595B
43,264,28,0,1,9.879836875146783e-32,9.998955083624851e-32,0.9880869343364541,-1.012162460410201e31,1.08625562e9,-10121624604102010631918856799110B,1.1 GB
50,98,19,1,1,9.879161924563905e-32,9.88437702108952e-32,0.9994723899630207,1.0122316119889306e31,9.999853984220302e17,"BoundsError(""kMGTPE"", 10)",1.0 EB
47,144,17,1,1,9.876238563019651e-32,9.99956647347587e-32,0.9876666742719948,1.0125312320263059e31,1.9260110802551e14,"BoundsError(""kMGTPE"", 10)",192.6 TB
46,162,10,1,1,9.87487163775675e-32,9.999238388782396e-32,0.9875623776341639,1.0126713912679959e31,-1.511929954176e12,"BoundsError(""kMGTPE"", 10)",-1511929954176B
42,242,19,1,1,9.871228152223439e-32,9.998972422556146e-32,0.9872242601605206,1.678029035e9,1.0130451698401436e31,1.7 GB,"BoundsError(""kMGTPE"", 10)"
63,0,7,1,1,9.87007578956223e-32,9.88919462083854e-32,0.9980666948109177,-1.2940006327068354e29,1.000223439750536e31,-129400063270683528233582062494B,"BoundsError(""kMGTPE"", 10)"
44,200,17,1,1,9.863449406385448e-32,9.99941099976355e-32,0.9864030398009126,1.0138441013877103e31,2.44991463016e11,"BoundsError(""kMGTPE"", 10)",245.0 GB
54,50,2,1,1,9.840812469638138e-32,9.99966734839447e-32,0.9841139836734832,1.016176258892337e31,-1.4435421946133319e20,"BoundsError(""kMGTPE"", 10)",-144354219461333184009B
37,420,28,0,1,9.833523157748303e-32,9.999640456452643e-32,0.9833876728440625,-1.0169295215540854e31,8757.0,-10169295215540853400219541269004B,8.8 kB
46,200,20,0,1,9.829336902496134e-32,9.999965126274752e-32,0.9829371181175126,-1.0173626256986397e31,-2.89127227911e11,-10173626256986397015604665758816B,-289127227911B
63,4,10,1,1,9.827117768524007e-32,9.898031039973108e-32,0.9928356184010013,1.0559556496489283e29,-1.0070328073632103e31,"BoundsError(""kMGTPE"", 9)",-10070328073632103413799807638181B
47,180,27,0,1,9.798104834163836e-32,9.999935716787765e-32,0.9798167819933985,-1.0206055323201073e31,4.6654963822359e13,-10206055323201074071294054060038B,46.7 TB
60,8,4,1,1,9.787274373020091e-32,9.996277605019155e-32,0.9790918939772019,1.0217090728825098e31,-2.5847267099625292e26,"BoundsError(""kMGTPE"", 10)",-258472670996252916977811504B
53,60,17,1,1,9.780216533904013e-32,9.998361871210593e-32,0.9781818921822873,1.0224722495276037e31,2.9436928746806962e20,"BoundsError(""kMGTPE"", 10)",294.4 EB
