a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
2329999999,233,9999999,valid,UInt32,1.0,2330000000,233,10000000,valid,UInt32,2
2199999999,22,99999999,valid,UInt64,1.0,2200000000,22,100000000,valid,UInt64,3
1969999999,197,9999999,valid,UInt32,1.0,1970000000,197,10000000,valid,UInt32,3
1939999999,194,9999999,valid,UInt32,1.0,1940000000,194,10000000,valid,UInt32,2
1739999999,174,9999999,valid,UInt32,1.0,1740000000,174,10000000,valid,UInt32,2
1699999999,17,99999999,valid,UInt64,1.0,1700000000,17,100000000,valid,UInt64,2
1499999999,15,99999999,valid,UInt64,1.0,1500000000,15,100000000,valid,UInt64,2
1489999999,149,9999999,valid,UInt32,1.0,1490000000,149,10000000,valid,UInt32,2
1399999999,140,9999999,valid,Int64,1.0,1400000000,140,10000000,valid,Int64,2
1299999999,13,99999999,valid,Int64,1.0,1300000000,13,100000000,valid,Int64,3
1269999999,127,9999999,valid,Int64,1.0,1270000000,127,10000000,valid,Int64,2
1249999999,125,9999999,valid,UInt64,1.0,1250000000,125,10000000,valid,UInt64,3
1229999999,123,9999999,valid,UInt64,1.0,1230000000,123,10000000,valid,UInt64,2
1179999999,118,9999999,valid,Int64,1.0,1180000000,118,10000000,valid,Int64,2
1179999882,-118,-9999999,valid,Int64,1.0,1179999883,-118,-10000000,valid,Int64,2
1119999999,112,9999999,valid,UInt32,1.0,1120000000,112,10000000,valid,UInt32,2
1069999999,107,9999999,valid,Int64,1.0,1070000000,107,10000000,valid,Int64,3
1069999999,107,9999999,valid,UInt32,1.0,1070000000,107,10000000,valid,UInt32,3
1069999999,107,9999999,valid,UInt64,1.0,1070000000,107,10000000,valid,UInt64,2
1019999999,102,9999999,valid,Int64,1.0,1020000000,102,10000000,valid,Int64,2
999999990,-10,-99999999,valid,Int64,1.0,999999991,-10,-100000000,valid,Int64,2
989999999,99,9999999,valid,UInt32,1.0,990000000,99,10000000,valid,UInt32,2
979999999,98,9999999,valid,UInt64,1.0,980000000,98,10000000,valid,UInt64,2
939999999,94,9999999,valid,Int64,1.0,940000000,94,10000000,valid,Int64,2
939999999,94,9999999,valid,UInt64,1.0,940000000,94,10000000,valid,UInt64,2
899999910,-90,-9999999,valid,Int64,1.0,899999911,-90,-10000000,valid,Int64,2
879999999,88,9999999,valid,Int64,1.0,880000000,88,10000000,valid,Int64,3
839999999,84,9999999,valid,Int64,1.0,840000000,84,10000000,valid,Int64,2
829999999,83,9999999,valid,UInt64,1.0,830000000,83,10000000,valid,UInt64,2
809999999,81,9999999,valid,UInt32,1.0,810000000,81,10000000,valid,UInt32,2
779999999,78,9999999,valid,Int64,1.0,780000000,78,10000000,valid,Int64,2
769999999,77,9999999,valid,Int64,1.0,770000000,77,10000000,valid,Int64,2
749999925,-75,-9999999,valid,Int64,1.0,749999926,-75,-10000000,valid,Int64,3
699999999,70,9999999,valid,UInt32,1.0,700000000,70,10000000,valid,UInt32,2
629999999,63,9999999,valid,UInt64,1.0,630000000,63,10000000,valid,UInt64,2
619999999,62,9999999,valid,UInt32,1.0,620000000,62,10000000,valid,UInt32,2
549999999,55,9999999,valid,Int64,1.0,550000000,55,10000000,valid,Int64,2
409999999,41,9999999,valid,Int64,1.0,410000000,41,10000000,valid,Int64,2
319999999,32,9999999,valid,Int64,1.0,320000000,32,10000000,valid,Int64,2
259999999,26,9999999,valid,Int64,1.0,260000000,26,10000000,valid,Int64,2
229999977,-23,-9999999,valid,Int64,1.0,229999978,-23,-10000000,valid,Int64,2
215999999,216,999999,valid,Int64,1.0,216000000,216,1000000,valid,Int64,3
210999999,211,999999,valid,Int64,1.0,211000000,211,1000000,valid,Int64,3
179999999,18,9999999,valid,Int64,1.0,180000000,18,10000000,valid,Int64,2
159999984,-16,-9999999,valid,Int64,1.0,159999985,-16,-10000000,valid,Int64,2
146999999,147,999999,valid,Int64,1.0,147000000,147,1000000,valid,Int64,2
119999999,120,999999,valid,Int64,1.0,120000000,120,1000000,valid,Int64,2
111999888,-112,-999999,valid,Int64,1.0,111999889,-112,-1000000,valid,Int64,2
103999896,-104,-999999,valid,Int64,1.0,103999897,-104,-1000000,valid,Int64,2
82999917,-83,-999999,valid,Int64,1.0,82999918,-83,-1000000,valid,Int64,2
75999999,76,999999,valid,UInt32,1.0,76000000,76,1000000,valid,UInt32,2
53999,54,999,valid,UInt64,1.0,54000,54,1000,valid,UInt64,2
42737,4273,10,valid,UInt16,1.0,42737,4274,9,valid,UInt16,2
36999,37,999,valid,UInt64,1.0,37000,37,1000,valid,UInt64,2
35999,36,999,valid,UInt16,1.0,36000,36,1000,valid,UInt16,2
32328,3,10776,valid,UInt64,1.0,32328,4,8082,valid,UInt64,2
27999,28,999,valid,UInt64,1.0,28000,28,1000,valid,UInt64,2
21999,22,999,valid,UInt64,1.0,22000,22,1000,valid,UInt64,2
20699,207,99,valid,UInt16,1.0,20700,207,100,valid,UInt16,2
19299,193,99,valid,UInt16,1.0,19300,193,100,valid,UInt16,2
18999,19,999,valid,UInt64,1.0,19000,19,1000,valid,UInt64,3
14799,148,99,valid,UInt16,1.0,14800,148,100,valid,UInt16,4
12499,125,99,valid,UInt16,1.0,12500,125,100,valid,UInt16,2
12399,124,99,valid,Int64,1.0,12400,124,100,valid,Int64,2
11999,120,99,valid,Int64,1.0,12000,120,100,valid,Int64,2
11286,-114,-99,valid,Int64,1.0,11287,-114,-100,valid,Int64,2
11199,112,99,valid,Int64,1.0,11200,112,100,valid,Int64,2
10499,105,99,valid,Int64,1.0,10500,105,100,valid,Int64,2
10099,101,99,valid,Int64,1.0,10100,101,100,valid,Int64,3
9702,-98,-99,valid,Int64,1.0,9703,-98,-100,valid,Int64,2
9699,97,99,valid,Int64,1.0,9700,97,100,valid,Int64,2
8415,-85,-99,valid,Int64,1.0,8416,-85,-100,valid,Int64,2
8316,-84,-99,valid,Int64,1.0,8317,-84,-100,valid,Int64,2
8199,82,99,valid,Int64,1.0,8200,82,100,valid,Int64,2
7999,8,999,valid,Int64,1.0,8000,8,1000,valid,Int64,2
7799,78,99,valid,Int64,1.0,7800,78,100,valid,Int64,2
7699,77,99,valid,UInt64,1.0,7700,77,100,valid,UInt64,2
7099,71,99,valid,Int64,1.0,7100,71,100,valid,Int64,3
6909,690,10,valid,UInt64,1.0,6909,691,9,valid,UInt64,2
6633,-67,-99,valid,Int64,1.0,6634,-67,-100,valid,Int64,2
6599,66,99,valid,Int64,1.0,6600,66,100,valid,Int64,3
6499,65,99,valid,Int64,1.0,6500,65,100,valid,Int64,2
5999,60,99,valid,UInt64,1.0,6000,60,100,valid,UInt64,2
5999,6,999,valid,UInt64,1.0,6000,6,1000,valid,UInt64,2
5899,59,99,valid,Int64,1.0,5900,59,100,valid,Int64,3
5346,-54,-99,valid,Int64,1.0,5347,-54,-100,valid,Int64,2
5148,-52,-99,valid,Int64,1.0,5149,-52,-100,valid,Int64,2
4995,-5,-999,valid,Int64,1.0,4996,-5,-1000,valid,Int64,2
4399,44,99,valid,Int64,1.0,4400,44,100,valid,Int64,2
3996,-4,-999,valid,Int64,1.0,3997,-4,-1000,valid,Int64,3
3465,-35,-99,valid,Int64,1.0,3466,-35,-100,valid,Int64,2
1989,199,9,valid,Int64,1.0,1990,199,10,valid,Int64,2
1869,187,9,valid,Int64,1.0,1870,187,10,valid,Int64,2
1683,-17,-99,valid,Int64,1.0,1684,-17,-100,valid,Int64,3
1209,121,9,valid,Int64,1.0,1210,121,10,valid,Int64,2
585,-65,-9,valid,Int64,1.0,586,-65,-10,valid,Int64,2
251,25,10,valid,UInt64,1.0,251,26,9,valid,UInt64,4
246,24,10,valid,UInt64,1.0,246,25,9,valid,UInt64,3
241,24,10,valid,UInt64,1.0,241,25,9,valid,UInt64,3
239,24,9,valid,UInt64,1.0,240,24,10,valid,UInt64,2
238,23,10,valid,UInt64,1.0,238,24,9,valid,UInt64,3
237,23,10,valid,UInt64,1.0,237,24,9,valid,UInt64,2
236,23,10,valid,UInt64,1.0,236,24,9,valid,UInt64,3
235,23,10,valid,UInt64,1.0,235,24,9,valid,UInt64,2
232,23,10,valid,UInt64,1.0,232,24,9,valid,UInt64,2
225,22,10,valid,UInt64,1.0,225,23,9,valid,UInt64,2
224,22,10,valid,UInt64,1.0,224,23,9,valid,UInt64,4
223,22,10,valid,UInt64,1.0,223,23,9,valid,UInt64,3
218,21,10,valid,UInt64,1.0,218,22,9,valid,UInt64,2
217,21,10,valid,UInt64,1.0,217,22,9,valid,UInt64,2
215,21,10,valid,UInt64,1.0,215,22,9,valid,UInt64,2
214,21,10,valid,UInt64,1.0,214,22,9,valid,UInt64,3
208,20,10,valid,UInt64,1.0,208,21,9,valid,UInt64,2
206,20,10,valid,UInt8,1.0,206,21,9,valid,UInt8,2
203,20,10,valid,UInt64,1.0,203,21,9,valid,UInt64,3
197,19,10,valid,UInt64,1.0,197,20,9,valid,UInt64,3
194,19,10,valid,UInt64,1.0,194,20,9,valid,UInt64,2
193,19,10,valid,UInt64,1.0,193,20,9,valid,UInt64,2
187,18,10,valid,UInt64,1.0,187,19,9,valid,UInt64,2
186,18,10,valid,UInt64,1.0,186,19,9,valid,UInt64,4
184,18,10,valid,UInt64,1.0,184,19,9,valid,UInt64,3
179,18,9,valid,UInt64,1.0,180,18,10,valid,UInt64,2
178,17,10,valid,UInt8,1.0,178,18,9,valid,UInt8,2
176,17,10,valid,UInt64,1.0,176,18,9,valid,UInt64,2
172,17,10,valid,UInt64,1.0,172,18,9,valid,UInt64,2
169,16,10,valid,UInt64,1.0,169,17,9,valid,UInt64,2
168,16,10,valid,UInt64,1.0,168,17,9,valid,UInt64,2
166,16,10,valid,UInt64,1.0,166,17,9,valid,UInt64,4
162,16,10,valid,UInt64,1.0,162,17,9,valid,UInt64,2
159,15,10,valid,UInt64,1.0,159,16,9,valid,UInt64,2
158,15,10,valid,UInt64,1.0,158,16,9,valid,UInt64,2
157,15,10,valid,UInt64,1.0,157,16,9,valid,UInt64,2
153,15,10,valid,UInt64,1.0,153,16,9,valid,UInt64,3
148,14,10,valid,UInt64,1.0,148,15,9,valid,UInt64,3
