a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
159,false,DivideError(),error,DivideError,10.0,159,true,159,valid,UInt8,3
158,false,DivideError(),error,DivideError,10.0,158,true,158,valid,UInt8,3
158,0,DivideError(),error,DivideError,10.0,158,1,158,valid,UInt64,2
156,false,DivideError(),error,DivideError,10.0,156,true,156,valid,UInt8,3
153,false,DivideError(),error,DivideError,10.0,153,true,153,valid,UInt8,2
152,false,DivideError(),error,DivideError,10.0,152,true,152,valid,UInt8,2
150,false,DivideError(),error,DivideError,10.0,150,true,150,valid,UInt8,4
149,false,DivideError(),error,DivideError,10.0,149,true,149,valid,UInt8,2
148,false,DivideError(),error,DivideError,10.0,148,true,148,valid,UInt8,6
147,false,DivideError(),error,DivideError,10.0,147,true,147,valid,UInt8,3
146,false,DivideError(),error,DivideError,10.0,146,true,146,valid,UInt8,2
146,0,DivideError(),error,DivideError,10.0,146,1,146,valid,UInt64,2
145,false,DivideError(),error,DivideError,10.0,145,true,145,valid,UInt8,2
144,false,DivideError(),error,DivideError,10.0,144,true,144,valid,UInt8,2
142,false,DivideError(),error,DivideError,10.0,142,true,142,valid,UInt8,4
141,0,DivideError(),error,DivideError,10.0,141,1,141,valid,UInt64,3
141,false,DivideError(),error,DivideError,10.0,141,true,141,valid,UInt8,4
140,false,DivideError(),error,DivideError,10.0,140,true,140,valid,UInt8,2
138,false,DivideError(),error,DivideError,10.0,138,true,138,valid,UInt8,4
135,false,DivideError(),error,DivideError,10.0,135,true,135,valid,UInt8,3
134,false,DivideError(),error,DivideError,10.0,134,true,134,valid,UInt8,3
133,0,DivideError(),error,DivideError,10.0,133,1,133,valid,UInt64,3
133,false,DivideError(),error,DivideError,10.0,133,true,133,valid,UInt8,5
132,false,DivideError(),error,DivideError,10.0,132,true,132,valid,UInt8,4
131,false,DivideError(),error,DivideError,10.0,131,true,131,valid,UInt8,2
130,false,DivideError(),error,DivideError,10.0,130,true,130,valid,UInt8,4
129,false,DivideError(),error,DivideError,10.0,129,true,129,valid,UInt8,4
128,false,DivideError(),error,DivideError,10.0,128,true,128,valid,UInt8,4
127,false,DivideError(),error,DivideError,10.0,127,true,127,valid,Int64,3
126,false,DivideError(),error,DivideError,10.0,126,true,126,valid,Int64,5
126,0,DivideError(),error,DivideError,10.0,126,1,126,valid,UInt64,2
125,false,DivideError(),error,DivideError,10.0,125,true,125,valid,Int64,7
125,0,DivideError(),error,DivideError,10.0,125,1,125,valid,UInt64,3
125,false,DivideError(),error,DivideError,10.0,125,true,125,valid,UInt8,5
124,false,DivideError(),error,DivideError,10.0,124,true,124,valid,UInt8,9
124,false,DivideError(),error,DivideError,10.0,124,true,124,valid,Int64,4
123,false,DivideError(),error,DivideError,10.0,123,true,123,valid,UInt8,2
123,false,DivideError(),error,DivideError,10.0,123,true,123,valid,Int64,2
122,false,DivideError(),error,DivideError,10.0,122,true,122,valid,Int64,3
122,0,DivideError(),error,DivideError,10.0,122,1,122,valid,UInt64,2
122,false,DivideError(),error,DivideError,10.0,122,true,122,valid,UInt8,3
121,false,DivideError(),error,DivideError,10.0,121,true,121,valid,UInt8,6
120,false,DivideError(),error,DivideError,10.0,120,true,120,valid,UInt8,5
120,false,DivideError(),error,DivideError,10.0,120,true,120,valid,Int64,3
120,0,DivideError(),error,DivideError,10.0,120,1,120,valid,UInt64,2
119,false,DivideError(),error,DivideError,10.0,119,true,119,valid,Int64,2
119,false,DivideError(),error,DivideError,10.0,119,true,119,valid,UInt8,3
118,false,DivideError(),error,DivideError,10.0,118,true,118,valid,Int64,3
118,false,DivideError(),error,DivideError,10.0,118,true,118,valid,UInt8,3
117,false,DivideError(),error,DivideError,10.0,117,true,117,valid,UInt8,5
117,false,DivideError(),error,DivideError,10.0,117,true,117,valid,Int64,2
116,0,DivideError(),error,DivideError,10.0,116,1,116,valid,UInt64,3
116,false,DivideError(),error,DivideError,10.0,116,true,116,valid,UInt8,2
115,0,DivideError(),error,DivideError,10.0,115,1,115,valid,Int64,3
114,false,DivideError(),error,DivideError,10.0,114,true,114,valid,Int64,2
114,0,DivideError(),error,DivideError,10.0,114,1,114,valid,UInt64,4
114,false,DivideError(),error,DivideError,10.0,114,true,114,valid,UInt8,2
113,0,DivideError(),error,DivideError,10.0,113,1,113,valid,UInt64,2
113,false,DivideError(),error,DivideError,10.0,113,true,113,valid,Int64,3
112,0,DivideError(),error,DivideError,10.0,112,1,112,valid,UInt64,2
111,0,DivideError(),error,DivideError,10.0,111,1,111,valid,UInt64,2
111,false,DivideError(),error,DivideError,10.0,111,true,111,valid,UInt8,2
110,false,DivideError(),error,DivideError,10.0,110,true,110,valid,Int64,3
110,false,DivideError(),error,DivideError,10.0,110,true,110,valid,UInt8,3
110,0,DivideError(),error,DivideError,10.0,110,1,110,valid,UInt64,2
109,false,DivideError(),error,DivideError,10.0,109,true,109,valid,UInt8,5
108,false,DivideError(),error,DivideError,10.0,108,true,108,valid,Int64,3
107,false,DivideError(),error,DivideError,10.0,107,true,107,valid,Int64,3
107,false,DivideError(),error,DivideError,10.0,107,true,107,valid,UInt8,3
107,0,DivideError(),error,DivideError,10.0,107,1,107,valid,UInt64,3
106,false,DivideError(),error,DivideError,10.0,106,true,106,valid,Int64,4
106,false,DivideError(),error,DivideError,10.0,106,true,106,valid,UInt8,2
105,false,DivideError(),error,DivideError,10.0,105,true,105,valid,Int64,3
104,false,DivideError(),error,DivideError,10.0,104,true,104,valid,UInt8,2
104,false,DivideError(),error,DivideError,10.0,104,true,104,valid,Int64,2
103,false,DivideError(),error,DivideError,10.0,103,true,103,valid,Int64,2
103,false,DivideError(),error,DivideError,10.0,103,true,103,valid,UInt8,2
103,0,DivideError(),error,DivideError,10.0,103,1,103,valid,UInt64,3
102,false,DivideError(),error,DivideError,10.0,102,true,102,valid,Int64,5
102,false,DivideError(),error,DivideError,10.0,102,true,102,valid,UInt8,3
101,false,DivideError(),error,DivideError,10.0,101,true,101,valid,UInt8,4
100,false,DivideError(),error,DivideError,10.0,100,true,100,valid,Int64,5
99,false,DivideError(),error,DivideError,11.0,99,true,99,valid,UInt8,5
99,false,DivideError(),error,DivideError,11.0,99,true,99,valid,Int64,4
98,0,DivideError(),error,DivideError,11.0,98,1,98,valid,UInt64,3
98,false,DivideError(),error,DivideError,11.0,98,true,98,valid,Int64,2
97,false,DivideError(),error,DivideError,11.0,97,true,97,valid,UInt8,2
96,false,DivideError(),error,DivideError,11.0,96,true,96,valid,UInt8,5
96,0,DivideError(),error,DivideError,11.0,96,1,96,valid,UInt64,3
95,false,DivideError(),error,DivideError,11.0,95,true,95,valid,Int64,3
95,false,DivideError(),error,DivideError,11.0,95,true,95,valid,UInt8,2
94,false,DivideError(),error,DivideError,11.0,94,true,94,valid,Int64,2
94,false,DivideError(),error,DivideError,11.0,94,true,94,valid,UInt8,7
93,false,DivideError(),error,DivideError,11.0,93,true,93,valid,Int64,4
92,false,DivideError(),error,DivideError,11.0,92,true,92,valid,UInt8,3
92,false,DivideError(),error,DivideError,11.0,92,true,92,valid,Int64,3
92,0,DivideError(),error,DivideError,11.0,92,1,92,valid,UInt64,2
90,false,DivideError(),error,DivideError,11.0,90,true,90,valid,Int64,2
90,false,DivideError(),error,DivideError,11.0,90,true,90,valid,UInt8,3
89,false,DivideError(),error,DivideError,11.0,89,true,89,valid,Int64,4
89,false,DivideError(),error,DivideError,11.0,89,true,89,valid,UInt8,10
88,false,DivideError(),error,DivideError,11.0,88,true,88,valid,UInt8,4
88,false,DivideError(),error,DivideError,11.0,88,true,88,valid,Int64,2
86,false,DivideError(),error,DivideError,11.0,86,true,86,valid,UInt8,7
85,false,DivideError(),error,DivideError,11.0,85,true,85,valid,UInt8,3
85,0,DivideError(),error,DivideError,11.0,85,1,85,valid,UInt64,2
85,false,DivideError(),error,DivideError,11.0,85,true,85,valid,Int64,2
84,false,DivideError(),error,DivideError,11.0,84,true,84,valid,Int64,4
83,false,DivideError(),error,DivideError,11.0,83,true,83,valid,UInt8,2
83,false,DivideError(),error,DivideError,11.0,83,true,83,valid,Int64,2
82,false,DivideError(),error,DivideError,11.0,82,true,82,valid,Int64,4
82,false,DivideError(),error,DivideError,11.0,82,true,82,valid,UInt8,3
81,false,DivideError(),error,DivideError,11.0,81,true,81,valid,UInt8,3
81,false,DivideError(),error,DivideError,11.0,81,true,81,valid,Int64,2
80,false,DivideError(),error,DivideError,11.0,80,true,80,valid,UInt8,3
80,false,DivideError(),error,DivideError,11.0,80,true,80,valid,Int64,2
79,0,DivideError(),error,DivideError,11.0,79,1,79,valid,Int64,5
78,false,DivideError(),error,DivideError,11.0,78,true,78,valid,UInt8,2
78,false,DivideError(),error,DivideError,11.0,78,true,78,valid,Int64,2
77,false,DivideError(),error,DivideError,11.0,77,true,77,valid,UInt8,3
77,false,DivideError(),error,DivideError,11.0,77,true,77,valid,Int64,4
76,false,DivideError(),error,DivideError,11.0,76,true,76,valid,Int64,5
76,false,DivideError(),error,DivideError,11.0,76,true,76,valid,UInt8,4
75,false,DivideError(),error,DivideError,11.0,75,true,75,valid,UInt8,4
74,false,DivideError(),error,DivideError,11.0,74,true,74,valid,Int64,4
73,false,DivideError(),error,DivideError,11.0,73,true,73,valid,Int64,3
73,false,DivideError(),error,DivideError,11.0,73,true,73,valid,UInt8,7
72,false,DivideError(),error,DivideError,11.0,72,true,72,valid,UInt8,3
72,0,DivideError(),error,DivideError,11.0,72,1,72,valid,UInt64,3
71,false,DivideError(),error,DivideError,11.0,71,true,71,valid,UInt8,4
71,false,DivideError(),error,DivideError,11.0,71,true,71,valid,Int64,3
71,0,DivideError(),error,DivideError,11.0,71,1,71,valid,UInt64,2
70,false,DivideError(),error,DivideError,11.0,70,true,70,valid,UInt8,2
69,false,DivideError(),error,DivideError,11.0,69,true,69,valid,Int64,7
69,0,DivideError(),error,DivideError,11.0,69,1,69,valid,UInt64,2
68,false,DivideError(),error,DivideError,11.0,68,true,68,valid,Int64,2
68,false,DivideError(),error,DivideError,11.0,68,true,68,valid,UInt8,3
66,0,DivideError(),error,DivideError,11.0,66,1,66,valid,UInt8,4
65,false,DivideError(),error,DivideError,11.0,65,true,65,valid,UInt8,3
65,false,DivideError(),error,DivideError,11.0,65,true,65,valid,Int64,2
64,false,DivideError(),error,DivideError,11.0,64,true,64,valid,Int64,5
64,false,DivideError(),error,DivideError,11.0,64,true,64,valid,UInt8,4
63,false,DivideError(),error,DivideError,11.0,63,true,63,valid,UInt8,4
63,false,DivideError(),error,DivideError,11.0,63,true,63,valid,Int64,2
62,false,DivideError(),error,DivideError,11.0,62,true,62,valid,Int64,6
61,0,DivideError(),error,DivideError,11.0,61,1,61,valid,UInt64,5
60,false,DivideError(),error,DivideError,11.0,60,true,60,valid,UInt8,3
59,false,DivideError(),error,DivideError,11.0,59,true,59,valid,UInt8,4
58,false,DivideError(),error,DivideError,11.0,58,true,58,valid,Int64,2
58,false,DivideError(),error,DivideError,11.0,58,true,58,valid,UInt8,3
57,false,DivideError(),error,DivideError,11.0,57,true,57,valid,Int64,2
57,false,DivideError(),error,DivideError,11.0,57,true,57,valid,UInt8,5
57,0,DivideError(),error,DivideError,11.0,57,1,57,valid,UInt64,2
56,false,DivideError(),error,DivideError,11.0,56,true,56,valid,UInt8,2
55,false,DivideError(),error,DivideError,11.0,55,true,55,valid,UInt8,6
55,false,DivideError(),error,DivideError,11.0,55,true,55,valid,Int64,2
