bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
6,0,35,1,0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0000-01-01,"ArgumentError(""Month: 0 out of range (1:12)"")"
6,0,33,1,0,1.0,1.0,1.0,0.0,1.0,0,1,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",0000-01-01
8,0,34,1,0,1.0,1.0,1.0,1.0,0.0,-1,1,1,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",0001-01-01
8,0,32,1,0,1.0,1.0,1.0,1.0,1.0,-1,0,1,-1,0001-01-01,"ArgumentError(""Day: 0 out of range (1:31)"")"
14,1,32,1,0,1.0,1.0,1.0,1.0,12.0,-169,0,12,-169,0169-12-01,"ArgumentError(""Day: 0 out of range (1:31)"")"
10,1,32,1,0,1.0,1.0,1.0,0.0,7.0,-49,1,7,-49,"ArgumentError(""Day: 0 out of range (1:31)"")",0049-07-01
12,0,32,1,0,1.0,1.0,1.0,0.0,10.0,-47,1,10,-47,"ArgumentError(""Day: 0 out of range (1:31)"")",0047-10-01
12,2,32,1,0,1.0,1.0,1.0,1.0,9.0,-178,0,9,-178,0178-09-01,"ArgumentError(""Day: 0 out of range (1:30)"")"
10,1,34,1,0,1.0,1.0,1.0,2.0,0.0,-56,2,1,-56,"ArgumentError(""Month: 0 out of range (1:12)"")",0056-01-02
12,0,35,1,0,1.0,1.0,1.0,18.0,0.0,253,18,1,253,"ArgumentError(""Month: 0 out of range (1:12)"")",0253-01-18
10,1,35,1,0,1.0,1.0,1.0,9.0,0.0,227,9,1,227,"ArgumentError(""Month: 0 out of range (1:12)"")",0227-01-09
14,1,35,1,1,0.9803921568627451,1.0,0.9803921568627451,3.0,13.0,-166,3,12,-166,"ArgumentError(""Month: 13 out of range (1:12)"")",0166-12-03
10,0,36,1,1,0.9803921568627451,0.9803921568627451,1.0,7.0,12.0,41,7,13,41,0041-12-07,"ArgumentError(""Month: 13 out of range (1:12)"")"
14,0,35,1,1,0.9803921568627451,0.9807692307692307,0.9996155324875048,10.0,12.0,-33,10,13,-33,0033-12-10,"ArgumentError(""Month: 13 out of range (1:12)"")"
7,0,34,1,1,0.7071067811865476,0.7071067811865476,1.0,1.0,0.0,0,1,1,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",0001-01-01
7,0,33,1,1,0.7071067811865476,0.7071067811865476,1.0,0.0,1.0,-1,1,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",0000-01-01
7,0,35,1,1,0.7071067811865476,0.7071067811865476,1.0,1.0,0.0,-1,1,1,0,"ArgumentError(""Month: 0 out of range (1:12)"")",0000-01-01
7,0,32,1,1,0.7071067811865476,0.7071067811865476,1.0,0.0,1.0,0,1,1,-1,"ArgumentError(""Day: 0 out of range (1:31)"")",0001-01-01
13,2,32,1,1,0.7071067811865476,0.7071067811865476,1.0,0.0,10.0,-178,1,9,-178,"ArgumentError(""Day: 0 out of range (1:31)"")",0178-09-01
11,0,32,1,1,0.7071067811865476,0.7071067811865476,1.0,0.0,10.0,-48,1,9,-48,"ArgumentError(""Day: 0 out of range (1:31)"")",0048-09-01
9,0,32,1,1,0.7071067811865476,0.7071067811865476,1.0,1.0,3.0,-10,0,3,-9,0010-03-01,"ArgumentError(""Day: 0 out of range (1:31)"")"
11,0,35,1,1,0.7071067811865476,0.7071067811865476,1.0,10.0,1.0,227,9,0,227,0227-01-10,"ArgumentError(""Month: 0 out of range (1:12)"")"
13,0,35,1,1,0.6932419423397524,0.6935085738560369,0.9996155324875049,9.0,12.0,-33,10,13,-33,0033-12-09,"ArgumentError(""Month: 13 out of range (1:12)"")"
14,1,0,0,1,0.5454545454545454,0.6153846153846154,0.8863636363636362,1.0,12.0,-170,1,12,-169,0170-12-01,0169-12-01
10,1,0,0,1,0.5454545454545454,0.7272727272727273,0.7499999999999999,1.0,8.0,-49,1,8,-50,0049-08-01,0050-08-01
13,2,0,0,1,0.5303300858899106,0.5555838995037159,0.9545454545454545,1.0,10.0,-178,1,9,-177,0178-10-01,0177-09-01
9,0,0,0,1,0.5303300858899106,0.6,0.8838834764831843,7.0,10.0,40,7,9,39,0040-10-07,0039-09-07
7,0,0,0,1,0.5303300858899106,0.5555555555555556,0.954594154601839,2.0,4.0,10,2,3,9,0010-04-02,0009-03-02
8,0,0,0,1,0.51425947722658,0.6,0.8570991287109668,4.0,7.0,-1,4,6,-2,0001-07-04,0002-06-04
10,0,0,0,1,0.5050762722761054,0.524863881081478,0.9622995418076772,7.0,12.0,40,7,11,39,0040-12-07,0039-11-07
6,0,0,0,1,0.5,0.51425947722658,0.9722718241315028,4.0,2.0,0,4,3,0,0000-02-04,0000-03-04
7,0,36,1,1,0.5,0.5,1.0,1.0,1.0,0,1,-1,0,0000-01-01,"ArgumentError(""Month: -1 out of range (1:12)"")"
9,0,33,1,1,0.5,0.7071067811865476,0.7071067811865475,1.0,1.0,-1,-1,1,-1,0001-01-01,"ArgumentError(""Day: -1 out of range (1:31)"")"
11,0,33,1,1,0.5,0.98,0.5102040816326531,1.0,7.0,-49,-1,7,-49,0049-07-01,"ArgumentError(""Day: -1 out of range (1:31)"")"
9,0,35,1,1,0.5,0.7071067811865476,0.7071067811865475,1.0,-1.0,-1,1,1,-1,"ArgumentError(""Month: -1 out of range (1:12)"")",0001-01-01
13,2,33,1,1,0.5,0.7071067811865476,0.7071067811865475,1.0,8.0,-178,-1,8,-178,0178-08-01,"ArgumentError(""Day: -1 out of range (1:31)"")"
11,0,36,1,1,0.5,0.6932419423397524,0.7212489168102785,8.0,1.0,228,8,-1,228,0228-01-08,"ArgumentError(""Month: -1 out of range (1:12)"")"
7,0,1,0,1,0.49497474683058323,0.49497474683058323,1.0,4.0,3.0,0,4,2,-1,0000-03-04,0001-02-04
12,2,0,0,1,0.49497474683058323,0.6666666666666667,0.7424621202458748,1.0,9.0,-177,1,8,-178,0177-09-01,0178-08-01
13,0,36,1,1,0.49019607843137253,0.6932419423397524,0.7071067811865476,18.0,1.0,253,18,-1,253,0253-01-18,"ArgumentError(""Month: -1 out of range (1:12)"")"
13,0,33,1,1,0.49,0.9803921568627451,0.4998,-1.0,10.0,-47,1,10,-47,"ArgumentError(""Day: -1 out of range (1:31)"")",0047-10-01
15,1,33,1,1,0.4897959183673469,0.9803921568627451,0.4995918367346939,-1.0,12.0,-169,1,12,-169,"ArgumentError(""Day: -1 out of range (1:31)"")",0169-12-01
11,0,0,0,1,0.48953546389837904,0.5983211225424633,0.8181818181818181,1.0,9.0,-48,1,10,-47,0048-09-01,0047-10-01
12,0,0,0,1,0.48953546389837904,0.6153846153846154,0.795495128834866,3.0,12.0,-40,3,11,-39,0040-12-03,0039-11-03
8,0,35,1,1,0.4472135954999579,1.0,0.4472135954999579,1.0,-1.0,0,1,1,-1,"ArgumentError(""Month: -1 out of range (1:12)"")",0001-01-01
8,0,36,1,1,0.4472135954999579,0.98,0.45634040357138567,1.0,-1.0,-1,1,1,0,"ArgumentError(""Month: -1 out of range (1:12)"")",0000-01-01
8,0,33,1,1,0.4472135954999579,1.0,0.4472135954999579,1.0,1.0,-1,-1,1,0,0001-01-01,"ArgumentError(""Day: -1 out of range (1:31)"")"
14,1,33,1,1,0.4472135954999579,1.0,0.4472135954999579,-1.0,10.0,-178,1,9,-178,"ArgumentError(""Day: -1 out of range (1:31)"")",0178-09-01
9,0,34,1,1,0.4472135954999579,0.9795918367346939,0.4565305454062071,-1.0,0.0,-1,1,1,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",0001-01-01
12,0,33,1,1,0.4472135954999579,1.0,0.4472135954999579,1.0,9.0,-48,-1,10,-48,0048-09-01,"ArgumentError(""Day: -1 out of range (1:31)"")"
10,0,33,1,1,0.4472135954999579,1.0,0.4472135954999579,1.0,3.0,-10,-1,3,-9,0010-03-01,"ArgumentError(""Day: -1 out of range (1:31)"")"
15,1,35,1,1,0.4382693235899588,0.6932419423397524,0.6322025498208624,-1.0,13.0,-169,1,12,-169,"ArgumentError(""Month: 13 out of range (1:12)"")",0169-12-01
14,0,0,0,1,0.43514263457633695,0.7,0.6216323351090528,10.0,12.0,-33,10,11,-34,0033-12-10,0034-11-10
13,0,0,0,1,0.4123930494211613,0.6060915267313265,0.6804138174397717,10.0,11.0,-34,9,12,-33,0034-11-10,0033-12-09
12,2,1,2,1,0.40740740740740744,0.40740740740740744,1.0,-117.0,0.0,1,-117,1,1,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: -117 out of range (1:31)"")"
16,1,2,2,1,0.39622641509433965,0.39622641509433965,1.0,-1.0,12.0,-169,-1,13,-169,"ArgumentError(""Day: -1 out of range (1:31)"")","ArgumentError(""Month: 13 out of range (1:12)"")"
10,1,0,2,1,0.39622641509433965,0.39622641509433965,1.0,-98.0,0.0,4,-98,1,4,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: -98 out of range (1:31)"")"
8,0,1,2,1,0.3846153846153846,0.3846153846153846,1.0,-1.0,0.0,0,-1,1,0,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
14,1,3,2,1,0.3846153846153846,0.3846153846153846,1.0,0.0,12.0,-169,0,13,-169,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Month: 13 out of range (1:12)"")"
10,0,1,2,1,0.3846153846153846,0.3846153846153846,1.0,-1.0,0.0,-1,-1,1,-1,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
12,0,1,2,1,0.3846153846153846,0.40740740740740744,0.9440559440559438,33.0,0.0,243,33,1,243,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: 33 out of range (1:31)"")"
10,0,35,1,1,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,-3,-1,-1,-4,0003-01-01,"ArgumentError(""Month: -1 out of range (1:12)"")"
6,0,2,2,1,0.30612244897959184,0.30612244897959184,1.0,0.0,0.0,0,0,1,0,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: 0 out of range (1:31)"")"
8,0,2,2,1,0.30612244897959184,0.30612244897959184,1.0,0.0,0.0,-1,0,1,-1,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: 0 out of range (1:31)"")"
15,1,2,2,1,0.2801743849984434,0.2801743849984434,1.0,0.0,13.0,-169,-1,12,-169,"ArgumentError(""Month: 13 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
7,0,1,2,1,0.27196414661021057,0.27196414661021057,1.0,0.0,0.0,0,-1,1,0,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
9,0,1,2,1,0.27196414661021057,0.27196414661021057,1.0,-1.0,0.0,-1,-1,1,0,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
15,1,3,2,1,0.27196414661021057,0.27196414661021057,1.0,0.0,12.0,-169,-1,13,-169,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Month: 13 out of range (1:12)"")"
13,2,35,1,1,0.23570226039551584,0.7071067811865476,0.3333333333333333,1.0,9.0,-171,2,13,-172,0171-09-01,"ArgumentError(""Month: 13 out of range (1:12)"")"
7,0,2,2,1,0.21646125954690232,0.21646125954690232,1.0,0.0,1.0,0,-1,0,0,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
9,0,2,2,1,0.21646125954690232,0.2801743849984434,0.7725947521865889,0.0,1.0,-1,-1,0,-1,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
9,0,36,1,1,0.2041241452319315,0.6932419423397524,0.29444863728670917,1.0,1.0,0,-1,-1,-4,0000-01-01,"ArgumentError(""Month: -1 out of range (1:12)"")"
13,0,2,2,1,0.19811320754716982,0.2801743849984434,0.7071067811865475,33.0,1.0,243,33,-1,243,"ArgumentError(""Day: 33 out of range (1:31)"")","ArgumentError(""Month: -1 out of range (1:12)"")"
7,0,3,2,1,0.1923076923076923,0.1923076923076923,1.0,0.0,-1.0,0,0,1,0,"ArgumentError(""Month: -1 out of range (1:12)"")","ArgumentError(""Day: 0 out of range (1:31)"")"
9,0,3,2,1,0.1923076923076923,0.27196414661021057,0.7071067811865475,0.0,-1.0,-1,0,1,-1,"ArgumentError(""Month: -1 out of range (1:12)"")","ArgumentError(""Day: 0 out of range (1:31)"")"
11,0,1,2,1,0.18867924528301888,0.27196414661021057,0.6937651438056693,-98.0,1.0,4,-98,-1,4,"ArgumentError(""Day: -98 out of range (1:31)"")","ArgumentError(""Month: -1 out of range (1:12)"")"
11,1,1,2,1,0.18384776310850237,0.26683274761756515,0.689,-100.0,1.0,2,-99,2,2,"ArgumentError(""Day: -100 out of range (1:31)"")","ArgumentError(""Day: -99 out of range (1:28)"")"
13,2,0,2,1,0.17924528301886794,0.2090909090909091,0.8572600492206727,-117.0,-1.0,1,-117,1,1,"ArgumentError(""Month: -1 out of range (1:12)"")","ArgumentError(""Day: -117 out of range (1:31)"")"
10,0,3,2,1,0.17200522903844534,0.3846153846153846,0.4472135954999579,0.0,1.0,-1,-1,-1,-1,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Month: -1 out of range (1:12)"")"
8,0,3,2,1,0.17200522903844534,0.3846153846153846,0.4472135954999579,0.0,1.0,0,-1,-1,0,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Month: -1 out of range (1:12)"")"
12,0,36,1,1,0.15249857033260467,0.9803921568627451,0.15554854173925678,10.0,3.0,226,7,-2,229,0226-03-10,"ArgumentError(""Month: -2 out of range (1:12)"")"
8,0,0,2,1,0.1504482513162867,0.1767766952966369,0.8510638297872339,-2.0,2.0,0,-1,1,0,"ArgumentError(""Day: -2 out of range (1:29)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
