x_,p,output,outputtype,datatype,metric,n_x_,n_p,n_output,n_outputtype,n_datatype,count
6012155277689285666,-174852081,"DomainError(-174852081, ""Cannot raise an integer x to a negative power -174852081.\nMake x or -174852081 a float by adding a zero decimal (e.g., 2.0^-174852081 or 2^-1.74852081e8 instead of 2^-174852081)or write 1/x^174852081, float(x)^-174852081, x^float(-174852081) or (x//1)^-174852081."")",error,DomainError,1.0,6012155277689285666,-174852080,"DomainError(-174852080, ""Cannot raise an integer x to a negative power -174852080.\nMake x or -174852080 a float by adding a zero decimal (e.g., 2.0^-174852080 or 2^-1.7485208e8 instead of 2^-174852080)or write 1/x^174852080, float(x)^-174852080, x^float(-174852080) or (x//1)^-174852080."")",error,DomainError,1
5840653605059139655,-721701161,"DomainError(-721701161, ""Cannot raise an integer x to a negative power -721701161.\nMake x or -721701161 a float by adding a zero decimal (e.g., 2.0^-721701161 or 2^-7.21701161e8 instead of 2^-721701161)or write 1/x^721701161, float(x)^-721701161, x^float(-721701161) or (x//1)^-721701161."")",error,DomainError,1.0,5840653605059139655,-721701160,"DomainError(-721701160, ""Cannot raise an integer x to a negative power -721701160.\nMake x or -721701160 a float by adding a zero decimal (e.g., 2.0^-721701160 or 2^-7.2170116e8 instead of 2^-721701160)or write 1/x^721701160, float(x)^-721701160, x^float(-721701160) or (x//1)^-721701160."")",error,DomainError,1
5787954923761862931,-1000000001,"DomainError(-1000000001, ""Cannot raise an integer x to a negative power -1000000001.\nMake x or -1000000001 a float by adding a zero decimal (e.g., 2.0^-1000000001 or 2^-1.000000001e9 instead of 2^-1000000001)or write 1/x^1000000001, float(x)^-1000000001, x^float(-1000000001) or (x//1)^-1000000001."")",error,DomainError,8.0,5787954923761862931,-1000000000,"DomainError(-1000000000, ""Cannot raise an integer x to a negative power -1000000000.\nMake x or -1000000000 a float by adding a zero decimal (e.g., 2.0^-1000000000 or 2^-1.0e9 instead of 2^-1000000000)or write 1/x^1000000000, float(x)^-1000000000, x^float(-1000000000) or (x//1)^-1000000000."")",error,DomainError,1
5754002044976090960,-1000000001,"DomainError(-1000000001, ""Cannot raise an integer x to a negative power -1000000001.\nMake x or -1000000001 a float by adding a zero decimal (e.g., 2.0^-1000000001 or 2^-1.000000001e9 instead of 2^-1000000001)or write 1/x^1000000001, float(x)^-1000000001, x^float(-1000000001) or (x//1)^-1000000001."")",error,DomainError,8.0,5754002044976090960,-1000000000,"DomainError(-1000000000, ""Cannot raise an integer x to a negative power -1000000000.\nMake x or -1000000000 a float by adding a zero decimal (e.g., 2.0^-1000000000 or 2^-1.0e9 instead of 2^-1000000000)or write 1/x^1000000000, float(x)^-1000000000, x^float(-1000000000) or (x//1)^-1000000000."")",error,DomainError,1
5701856387070982494,-1582978941,"DomainError(-1582978941, ""Cannot raise an integer x to a negative power -1582978941.\nMake x or -1582978941 a float by adding a zero decimal (e.g., 2.0^-1582978941 or 2^-1.582978941e9 instead of 2^-1582978941)or write 1/x^1582978941, float(x)^-1582978941, x^float(-1582978941) or (x//1)^-1582978941."")",error,DomainError,1.0,5701856387070982494,-1582978940,"DomainError(-1582978940, ""Cannot raise an integer x to a negative power -1582978940.\nMake x or -1582978940 a float by adding a zero decimal (e.g., 2.0^-1582978940 or 2^-1.58297894e9 instead of 2^-1582978940)or write 1/x^1582978940, float(x)^-1582978940, x^float(-1582978940) or (x//1)^-1582978940."")",error,DomainError,1
5524792539514563948,-6690445118634179073,"DomainError(-6690445118634179073, ""Cannot raise an integer x to a negative power -6690445118634179073.\nMake x or -6690445118634179073 a float by adding a zero decimal (e.g., 2.0^-6690445118634179073 or 2^-6.69044511863418e18 instead of 2^-6690445118634179073)or write 1/x^6690445118634179073, float(x)^-6690445118634179073, x^float(-6690445118634179073) or (x//1)^-6690445118634179073."")",error,DomainError,1.0,5524792539514563948,-6690445118634179072,"DomainError(-6690445118634179072, ""Cannot raise an integer x to a negative power -6690445118634179072.\nMake x or -6690445118634179072 a float by adding a zero decimal (e.g., 2.0^-6690445118634179072 or 2^-6.690445118634179e18 instead of 2^-6690445118634179072)or write 1/x^6690445118634179072, float(x)^-6690445118634179072, x^float(-6690445118634179072) or (x//1)^-6690445118634179072."")",error,DomainError,1
5469428177911798379,-1000,"DomainError(-1000, ""Cannot raise an integer x to a negative power -1000.\nMake x or -1000 a float by adding a zero decimal (e.g., 2.0^-1000 or 2^-1000.0 instead of 2^-1000)or write 1/x^1000, float(x)^-1000, x^float(-1000) or (x//1)^-1000."")",error,DomainError,10.0,5469428177911798379,-999,"DomainError(-999, ""Cannot raise an integer x to a negative power -999.\nMake x or -999 a float by adding a zero decimal (e.g., 2.0^-999 or 2^-999.0 instead of 2^-999)or write 1/x^999, float(x)^-999, x^float(-999) or (x//1)^-999."")",error,DomainError,1
5417007881594161247,-10000,"DomainError(-10000, ""Cannot raise an integer x to a negative power -10000.\nMake x or -10000 a float by adding a zero decimal (e.g., 2.0^-10000 or 2^-10000.0 instead of 2^-10000)or write 1/x^10000, float(x)^-10000, x^float(-10000) or (x//1)^-10000."")",error,DomainError,10.0,5417007881594161247,-9999,"DomainError(-9999, ""Cannot raise an integer x to a negative power -9999.\nMake x or -9999 a float by adding a zero decimal (e.g., 2.0^-9999 or 2^-9999.0 instead of 2^-9999)or write 1/x^9999, float(x)^-9999, x^float(-9999) or (x//1)^-9999."")",error,DomainError,1
5403560096791639816,-324949971,"DomainError(-324949971, ""Cannot raise an integer x to a negative power -324949971.\nMake x or -324949971 a float by adding a zero decimal (e.g., 2.0^-324949971 or 2^-3.24949971e8 instead of 2^-324949971)or write 1/x^324949971, float(x)^-324949971, x^float(-324949971) or (x//1)^-324949971."")",error,DomainError,1.0,5403560096791639816,-324949970,"DomainError(-324949970, ""Cannot raise an integer x to a negative power -324949970.\nMake x or -324949970 a float by adding a zero decimal (e.g., 2.0^-324949970 or 2^-3.2494997e8 instead of 2^-324949970)or write 1/x^324949970, float(x)^-324949970, x^float(-324949970) or (x//1)^-324949970."")",error,DomainError,1
5286751815595623263,-100,"DomainError(-100, ""Cannot raise an integer x to a negative power -100.\nMake x or -100 a float by adding a zero decimal (e.g., 2.0^-100 or 2^-100.0 instead of 2^-100)or write 1/x^100, float(x)^-100, x^float(-100) or (x//1)^-100."")",error,DomainError,10.0,5286751815595623263,-99,"DomainError(-99, ""Cannot raise an integer x to a negative power -99.\nMake x or -99 a float by adding a zero decimal (e.g., 2.0^-99 or 2^-99.0 instead of 2^-99)or write 1/x^99, float(x)^-99, x^float(-99) or (x//1)^-99."")",error,DomainError,1
