x_,p,output,outputtype,datatype,metric,n_x_,n_p,n_output,n_outputtype,n_datatype,count
82,-10000,"DomainError(-10000, ""Cannot raise an integer x to a negative power -10000.\nMake x or -10000 a float by adding a zero decimal (e.g., 2.0^-10000 or 2^-10000.0 instead of 2^-10000)or write 1/x^10000, float(x)^-10000, x^float(-10000) or (x//1)^-10000."")",error,DomainError,10.0,82,-9999,"DomainError(-9999, ""Cannot raise an integer x to a negative power -9999.\nMake x or -9999 a float by adding a zero decimal (e.g., 2.0^-9999 or 2^-9999.0 instead of 2^-9999)or write 1/x^9999, float(x)^-9999, x^float(-9999) or (x//1)^-9999."")",error,DomainError,2
57,-10,"DomainError(-10, ""Cannot raise an integer x to a negative power -10.\nMake x or -10 a float by adding a zero decimal (e.g., 2.0^-10 or 2^-10.0 instead of 2^-10)or write 1/x^10, float(x)^-10, x^float(-10) or (x//1)^-10."")",error,DomainError,10.0,57,-9,"DomainError(-9, ""Cannot raise an integer x to a negative power -9.\nMake x or -9 a float by adding a zero decimal (e.g., 2.0^-9 or 2^-9.0 instead of 2^-9)or write 1/x^9, float(x)^-9, x^float(-9) or (x//1)^-9."")",error,DomainError,2
-107759155540030983448444494559110010144,-5298359379877210625,"DomainError(-5298359379877210625, ""Cannot raise an integer x to a negative power -5298359379877210625.\nMake x or -5298359379877210625 a float by adding a zero decimal (e.g., 2.0^-5298359379877210625 or 2^-5.298359379877211e18 instead of 2^-5298359379877210625)or write 1/x^5298359379877210625, float(x)^-5298359379877210625, x^float(-5298359379877210625) or (x//1)^-5298359379877210625."")",error,DomainError,1.0,-107759155540030983448444494559110010144,-5298359379877210624,"DomainError(-5298359379877210624, ""Cannot raise an integer x to a negative power -5298359379877210624.\nMake x or -5298359379877210624 a float by adding a zero decimal (e.g., 2.0^-5298359379877210624 or 2^-5.29835937987721e18 instead of 2^-5298359379877210624)or write 1/x^5298359379877210624, float(x)^-5298359379877210624, x^float(-5298359379877210624) or (x//1)^-5298359379877210624."")",error,DomainError,1
5689515715528943302,-2533459817858098433,"DomainError(-2533459817858098433, ""Cannot raise an integer x to a negative power -2533459817858098433.\nMake x or -2533459817858098433 a float by adding a zero decimal (e.g., 2.0^-2533459817858098433 or 2^-2.5334598178580987e18 instead of 2^-2533459817858098433)or write 1/x^2533459817858098433, float(x)^-2533459817858098433, x^float(-2533459817858098433) or (x//1)^-2533459817858098433."")",error,DomainError,1.0,5689515715528943302,-2533459817858098432,"DomainError(-2533459817858098432, ""Cannot raise an integer x to a negative power -2533459817858098432.\nMake x or -2533459817858098432 a float by adding a zero decimal (e.g., 2.0^-2533459817858098432 or 2^-2.533459817858098e18 instead of 2^-2533459817858098432)or write 1/x^2533459817858098432, float(x)^-2533459817858098432, x^float(-2533459817858098432) or (x//1)^-2533459817858098432."")",error,DomainError,1
72,-1347140190,"DomainError(-1347140190, ""Cannot raise an integer x to a negative power -1347140190.\nMake x or -1347140190 a float by adding a zero decimal (e.g., 2.0^-1347140190 or 2^-1.34714019e9 instead of 2^-1347140190)or write 1/x^1347140190, float(x)^-1347140190, x^float(-1347140190) or (x//1)^-1347140190."")",error,DomainError,1.0,72,-1347140189,"DomainError(-1347140189, ""Cannot raise an integer x to a negative power -1347140189.\nMake x or -1347140189 a float by adding a zero decimal (e.g., 2.0^-1347140189 or 2^-1.347140189e9 instead of 2^-1347140189)or write 1/x^1347140189, float(x)^-1347140189, x^float(-1347140189) or (x//1)^-1347140189."")",error,DomainError,1
122,-2060085501,"DomainError(-2060085501, ""Cannot raise an integer x to a negative power -2060085501.\nMake x or -2060085501 a float by adding a zero decimal (e.g., 2.0^-2060085501 or 2^-2.060085501e9 instead of 2^-2060085501)or write 1/x^2060085501, float(x)^-2060085501, x^float(-2060085501) or (x//1)^-2060085501."")",error,DomainError,2.0,122,-2060085500,"DomainError(-2060085500, ""Cannot raise an integer x to a negative power -2060085500.\nMake x or -2060085500 a float by adding a zero decimal (e.g., 2.0^-2060085500 or 2^-2.0600855e9 instead of 2^-2060085500)or write 1/x^2060085500, float(x)^-2060085500, x^float(-2060085500) or (x//1)^-2060085500."")",error,DomainError,1
6,-10,"DomainError(-10, ""Cannot raise an integer x to a negative power -10.\nMake x or -10 a float by adding a zero decimal (e.g., 2.0^-10 or 2^-10.0 instead of 2^-10)or write 1/x^10, float(x)^-10, x^float(-10) or (x//1)^-10."")",error,DomainError,10.0,6,-9,"DomainError(-9, ""Cannot raise an integer x to a negative power -9.\nMake x or -9 a float by adding a zero decimal (e.g., 2.0^-9 or 2^-9.0 instead of 2^-9)or write 1/x^9, float(x)^-9, x^float(-9) or (x//1)^-9."")",error,DomainError,1
24354075930256558372204240163148588378,-7040755067263499776,"DomainError(-7040755067263499776, ""Cannot raise an integer x to a negative power -7040755067263499776.\nMake x or -7040755067263499776 a float by adding a zero decimal (e.g., 2.0^-7040755067263499776 or 2^-7.0407550672635e18 instead of 2^-7040755067263499776)or write 1/x^7040755067263499776, float(x)^-7040755067263499776, x^float(-7040755067263499776) or (x//1)^-7040755067263499776."")",error,DomainError,2.0,24354075930256558372204240163148588378,-7040755067263499775,"DomainError(-7040755067263499775, ""Cannot raise an integer x to a negative power -7040755067263499775.\nMake x or -7040755067263499775 a float by adding a zero decimal (e.g., 2.0^-7040755067263499775 or 2^-7.040755067263499e18 instead of 2^-7040755067263499775)or write 1/x^7040755067263499775, float(x)^-7040755067263499775, x^float(-7040755067263499775) or (x//1)^-7040755067263499775."")",error,DomainError,1
5540183694541132959,-1000000001,"DomainError(-1000000001, ""Cannot raise an integer x to a negative power -1000000001.\nMake x or -1000000001 a float by adding a zero decimal (e.g., 2.0^-1000000001 or 2^-1.000000001e9 instead of 2^-1000000001)or write 1/x^1000000001, float(x)^-1000000001, x^float(-1000000001) or (x//1)^-1000000001."")",error,DomainError,8.0,5540183694541132959,-1000000000,"DomainError(-1000000000, ""Cannot raise an integer x to a negative power -1000000000.\nMake x or -1000000000 a float by adding a zero decimal (e.g., 2.0^-1000000000 or 2^-1.0e9 instead of 2^-1000000000)or write 1/x^1000000000, float(x)^-1000000000, x^float(-1000000000) or (x//1)^-1000000000."")",error,DomainError,1
5188399351440720861,-861702981,"DomainError(-861702981, ""Cannot raise an integer x to a negative power -861702981.\nMake x or -861702981 a float by adding a zero decimal (e.g., 2.0^-861702981 or 2^-8.61702981e8 instead of 2^-861702981)or write 1/x^861702981, float(x)^-861702981, x^float(-861702981) or (x//1)^-861702981."")",error,DomainError,1.0,5188399351440720861,-861702980,"DomainError(-861702980, ""Cannot raise an integer x to a negative power -861702980.\nMake x or -861702980 a float by adding a zero decimal (e.g., 2.0^-861702980 or 2^-8.6170298e8 instead of 2^-861702980)or write 1/x^861702980, float(x)^-861702980, x^float(-861702980) or (x//1)^-861702980."")",error,DomainError,1
