x_,p,output,outputtype,datatype,metric,n_x_,n_p,n_output,n_outputtype,n_datatype,count
236,0,1,valid,UInt8,2.0,236,1,236,valid,UInt8,2
233,0,1,valid,UInt8,2.0,233,1,233,valid,UInt8,2
226,0,1,valid,UInt8,2.0,226,1,226,valid,UInt8,2
223,0,1,valid,UInt8,2.0,223,1,223,valid,UInt8,2
218,0,1,valid,UInt8,2.0,218,1,218,valid,UInt8,3
203,0,1,valid,UInt8,2.0,203,1,203,valid,UInt8,2
184,0,1,valid,UInt8,2.0,184,1,184,valid,UInt8,3
179,0,1,valid,UInt8,2.0,179,1,179,valid,UInt8,3
175,0,1,valid,UInt8,2.0,175,1,175,valid,UInt8,2
170,0,1,valid,UInt8,2.0,170,1,170,valid,UInt8,3
145,0,1,valid,UInt8,2.0,145,1,145,valid,UInt8,2
130,0,1,valid,UInt8,2.0,130,1,130,valid,UInt8,2
127,16,-1361045923981035519,valid,Int64,19.0,128,16,0,valid,Int64,2
121,0,1,valid,UInt8,2.0,121,1,121,valid,UInt8,3
96,0,1,valid,UInt8,1.0,96,1,96,valid,UInt8,2
87,0,1,valid,UInt8,1.0,87,1,87,valid,UInt8,2
81,0,1,valid,UInt8,1.0,81,1,81,valid,UInt8,3
79,0,1,valid,UInt8,1.0,79,1,79,valid,UInt8,2
76,0,1,valid,Int64,1.0,76,1,76,valid,Int64,2
71,0,1,valid,Int64,1.0,71,1,71,valid,Int64,2
59,0,1,valid,UInt8,1.0,59,1,59,valid,UInt8,2
57,0,1,valid,UInt8,1.0,57,1,57,valid,UInt8,2
51,0,1,valid,UInt8,1.0,51,1,51,valid,UInt8,2
46,0,1,valid,Int64,1.0,46,1,46,valid,Int64,2
39,0,1,valid,UInt8,1.0,39,1,39,valid,UInt8,2
33,0,1,valid,UInt8,1.0,33,1,33,valid,UInt8,2
20,0,1,valid,UInt8,1.0,20,1,20,valid,UInt8,2
16,0,1,valid,UInt8,1.0,16,1,16,valid,UInt8,3
false,237,false,valid,Bool,1.0,true,237,true,valid,Bool,2
false,220,false,valid,Bool,1.0,true,220,true,valid,Bool,2
false,180,false,valid,Bool,1.0,true,180,true,valid,Bool,2
false,162,false,valid,Bool,1.0,true,162,true,valid,Bool,2
false,157,false,valid,Bool,1.0,true,157,true,valid,Bool,2
false,132,false,valid,Bool,1.0,true,132,true,valid,Bool,3
false,117,false,valid,Bool,1.0,true,117,true,valid,Bool,2
false,114,false,valid,Bool,1.0,true,114,true,valid,Bool,2
false,113,false,valid,Bool,1.0,true,113,true,valid,Bool,3
false,106,false,valid,Bool,1.0,true,106,true,valid,Bool,3
false,102,false,valid,Bool,1.0,true,102,true,valid,Bool,2
false,99,false,valid,Bool,1.0,true,99,true,valid,Bool,2
false,95,false,valid,Bool,1.0,true,95,true,valid,Bool,3
false,90,false,valid,Bool,1.0,true,90,true,valid,Bool,2
false,86,false,valid,Bool,1.0,true,86,true,valid,Bool,2
false,68,false,valid,Bool,1.0,true,68,true,valid,Bool,2
false,62,false,valid,Bool,1.0,true,62,true,valid,Bool,2
false,53,false,valid,Bool,1.0,true,53,true,valid,Bool,3
false,42,false,valid,Bool,1.0,true,42,true,valid,Bool,2
false,40,false,valid,Bool,1.0,true,40,true,valid,Bool,4
false,34,false,valid,Bool,1.0,true,34,true,valid,Bool,2
false,33,false,valid,Bool,1.0,true,33,true,valid,Bool,2
false,32,false,valid,Bool,1.0,true,32,true,valid,Bool,2
false,15,false,valid,Bool,1.0,true,15,true,valid,Bool,2
false,12,false,valid,Bool,1.0,true,12,true,valid,Bool,2
false,11,false,valid,Bool,1.0,true,11,true,valid,Bool,2
false,9,false,valid,Bool,1.0,true,9,true,valid,Bool,2
false,4,false,valid,Bool,1.0,true,4,true,valid,Bool,5
false,1,false,valid,Bool,1.0,true,1,true,valid,Bool,53
false,0,true,valid,Bool,1.0,false,1,false,valid,Bool,28
-2,32,4294967296,valid,Int64,9.0,-1,32,1,valid,Int64,2
-18,0,1,valid,Int64,2.0,-18,1,-18,valid,Int64,2
-41,0,1,valid,Int64,2.0,-41,1,-41,valid,Int64,2
-44,0,1,valid,Int64,2.0,-44,1,-44,valid,Int64,2
