x_,p,output,outputtype,datatype,metric,n_x_,n_p,n_output,n_outputtype,n_datatype,count
18905,0,1,valid,UInt16,4.0,18905,1,18905,valid,UInt16,2
240,0,1,valid,UInt8,2.0,240,1,240,valid,UInt8,2
238,0,1,valid,UInt8,2.0,238,1,238,valid,UInt8,3
237,0,1,valid,UInt8,2.0,237,1,237,valid,UInt8,2
234,0,1,valid,UInt8,2.0,234,1,234,valid,UInt8,2
228,0,1,valid,UInt8,2.0,228,1,228,valid,UInt8,2
218,0,1,valid,UInt8,2.0,218,1,218,valid,UInt8,2
212,0,1,valid,UInt8,2.0,212,1,212,valid,UInt8,3
190,0,1,valid,UInt8,2.0,190,1,190,valid,UInt8,2
189,0,1,valid,UInt8,2.0,189,1,189,valid,UInt8,2
187,0,1,valid,UInt8,2.0,187,1,187,valid,UInt8,2
126,0,1,valid,Int64,2.0,126,1,126,valid,Int64,2
125,0,1,valid,UInt8,2.0,125,1,125,valid,UInt8,2
121,0,1,valid,Int64,2.0,121,1,121,valid,Int64,2
101,0,1,valid,Int64,2.0,101,1,101,valid,Int64,2
80,0,1,valid,Int64,1.0,80,1,80,valid,Int64,2
79,0,1,valid,UInt8,1.0,79,1,79,valid,UInt8,2
66,0,1,valid,UInt8,1.0,66,1,66,valid,UInt8,2
60,0,1,valid,UInt8,1.0,60,1,60,valid,UInt8,3
50,0,1,valid,Int64,1.0,50,1,50,valid,Int64,2
17,0,1,valid,UInt8,1.0,17,1,17,valid,UInt8,3
13,0,1,valid,UInt8,1.0,13,1,13,valid,UInt8,2
13,0,1,valid,Int64,1.0,13,1,13,valid,Int64,2
11,0,1,valid,Int64,1.0,11,1,11,valid,Int64,2
false,255,false,valid,Bool,1.0,true,255,true,valid,Bool,2
false,222,false,valid,Bool,1.0,true,222,true,valid,Bool,2
false,221,false,valid,Bool,1.0,true,221,true,valid,Bool,2
false,217,false,valid,Bool,1.0,true,217,true,valid,Bool,2
false,201,false,valid,Bool,1.0,true,201,true,valid,Bool,2
false,193,false,valid,Bool,1.0,true,193,true,valid,Bool,2
false,134,false,valid,Bool,1.0,true,134,true,valid,Bool,2
false,130,false,valid,Bool,1.0,true,130,true,valid,Bool,2
false,125,false,valid,Bool,1.0,true,125,true,valid,Bool,2
false,124,false,valid,Bool,1.0,true,124,true,valid,Bool,2
false,119,false,valid,Bool,1.0,true,119,true,valid,Bool,2
false,118,false,valid,Bool,1.0,true,118,true,valid,Bool,2
false,115,false,valid,Bool,1.0,true,115,true,valid,Bool,2
false,114,false,valid,Bool,1.0,true,114,true,valid,Bool,2
false,113,false,valid,Bool,1.0,true,113,true,valid,Bool,2
