x_,p,output,outputtype,datatype,metric,n_x_,n_p,n_output,n_outputtype,n_datatype,count
246,0,1,valid,UInt8,2.0,246,1,246,valid,UInt8,2
217,0,1,valid,UInt8,2.0,217,1,217,valid,UInt8,2
213,0,1,valid,UInt8,2.0,213,1,213,valid,UInt8,2
189,0,1,valid,UInt8,2.0,189,1,189,valid,UInt8,2
138,0,1,valid,UInt8,2.0,138,1,138,valid,UInt8,2
137,0,1,valid,UInt8,2.0,137,1,137,valid,UInt8,2
135,0,1,valid,UInt8,2.0,135,1,135,valid,UInt8,2
133,0,1,valid,UInt8,2.0,133,1,133,valid,UInt8,2
118,0,1,valid,UInt8,2.0,118,1,118,valid,UInt8,2
112,0,1,valid,Int64,2.0,112,1,112,valid,Int64,2
109,0,1,valid,Int64,2.0,109,1,109,valid,Int64,2
106,0,1,valid,Int64,2.0,106,1,106,valid,Int64,2
100,0,1,valid,Int64,2.0,100,1,100,valid,Int64,2
86,0,1,valid,UInt8,1.0,86,1,86,valid,UInt8,3
80,0,1,valid,Int64,1.0,80,1,80,valid,Int64,2
54,0,1,valid,UInt8,1.0,54,1,54,valid,UInt8,2
48,0,1,valid,UInt8,1.0,48,1,48,valid,UInt8,3
34,0,1,valid,UInt8,1.0,34,1,34,valid,UInt8,2
21,0,1,valid,UInt8,1.0,21,1,21,valid,UInt8,2
false,254,false,valid,Bool,1.0,true,254,true,valid,Bool,3
false,225,false,valid,Bool,1.0,true,225,true,valid,Bool,2
false,175,false,valid,Bool,1.0,true,175,true,valid,Bool,2
false,168,false,valid,Bool,1.0,true,168,true,valid,Bool,2
false,159,false,valid,Bool,1.0,true,159,true,valid,Bool,2
false,139,false,valid,Bool,1.0,true,139,true,valid,Bool,2
false,128,false,valid,Bool,1.0,true,128,true,valid,Bool,2
false,121,false,valid,Bool,1.0,true,121,true,valid,Bool,2
false,119,false,valid,Bool,1.0,true,119,true,valid,Bool,2
false,117,false,valid,Bool,1.0,true,117,true,valid,Bool,3
false,108,false,valid,Bool,1.0,true,108,true,valid,Bool,4
false,103,false,valid,Bool,1.0,true,103,true,valid,Bool,2
false,101,false,valid,Bool,1.0,true,101,true,valid,Bool,2
false,100,false,valid,Bool,1.0,true,100,true,valid,Bool,3
false,93,false,valid,Bool,1.0,true,93,true,valid,Bool,2
false,91,false,valid,Bool,1.0,true,91,true,valid,Bool,2
false,87,false,valid,Bool,1.0,true,87,true,valid,Bool,2
