bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
10,3,6,1,1,2.099018848767236,-2.5,1032486,0.0005168240965706151,0.006770125940313682,0.07633891911716327,254,-1882,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
14,3,9,0,1,2.8670830448944935,-4.5,2281239,0.0004503460634783345,0.0007028807630542663,0.6407147373352787,-1726,-1454,0,-57,out,in
8,4,6,1,1,2.8146911469408904,-2.0,1271980,0.0004356331046617995,0.0009814814814814816,0.44385259720258813,1,-2253,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
11,4,9,0,1,2.867519381384424,-2.0,2299142,0.00042705084967344814,0.0009933420869231155,0.4299131742179991,3,3,-2303,-404,in,out
9,3,6,1,1,2.8555565166834214,-1.0,1970391,0.00041377710832854025,0.0009814809907411088,0.4215844343720812,0,0,-2372,-5,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
12,5,9,0,1,2.969159488165176,-3.5,2907309,0.00037668524267731566,0.0007007992407457679,0.5375080633313178,0,6,-2412,-1103,in,out
11,4,6,1,1,3.3978668317114726,0.5,18173969,0.000335152574261906,0.0009746050491406486,0.34388553040785547,1872,-2252,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
15,2,9,0,1,3.397531679137194,-0.5,17745602,0.00014388346226968095,0.000689603023669396,0.2086467972603618,-2552,-6460,-24,14,out,in
15,0,9,0,1,3.2623299130232617,-3.0,9953264,0.00011085274212284794,0.0010587346946738067,0.10470304097949805,7439,-5103,-17,-25,out,in
10,5,9,0,1,2.0728696433597484,-4.0,642044,9.772304540229144e-5,0.00010008006204643336,0.9764486892199532,3,-10233,-1,0,out,in
11,5,9,0,1,2.8147971737530377,-4.5,1465916,9.299712573342902e-5,0.00010070493249919768,0.9234614772634888,-21,1,0,-10752,in,out
12,4,9,0,1,2.097557736606115,-1.0,988296,9.154970070726118e-5,0.00010071502596676892,0.9089974393440373,-24,14,1,-10909,in,out
9,6,9,0,1,2.956546195109129,-1.0,2761534,8.825346360477125e-5,9.999000050004999e-5,0.8826228939235492,0,1,1,-11330,in,out
14,4,9,0,1,2.867616226273195,-2.5,2437107,8.702877277962223e-5,0.00010035540576004061,0.8672056290392205,3633,-10918,3,-16,out,in
14,5,9,0,1,2.9567354784119133,-3.5,2865848,7.955007351460522e-5,9.940883870154552e-5,0.8002313934421653,-12418,-1805,22,3,out,in
13,3,9,0,1,2.855078526961418,-2.5,1894250,7.340762818106071e-5,0.00010048182762992813,0.7305562598982478,25,30,-13567,942,in,out
11,5,6,1,1,2.855142725943498,-4.5,1936919,6.419886549368601e-5,9.81419928753783e-5,0.6541426723951528,0,0,187,-15287,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
