bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
115,1,1,2,1,3.2201727172785977e-17,0.0,240844938,2.567263103000235e-18,3.73260314663215e-18,0.6877942824745843,-6887650570249012178,133700927060670081,-6619767600119374708,-6780759467851955041,20470486140853155,-6614356813086615069,"ArgumentError(""Month: 133700927060670081 out of range (1:12)"")","ArgumentError(""Month: 20470486140853155 out of range (1:12)"")"
118,0,0,2,1,2.4261250151543747e-17,0.0,159494956,2.4622213987877567e-18,2.6110343716003297e-17,0.09430061226189972,-7066173158897716811,5579367214313574426,-7188805433331586135,-7170328839644848401,5693480484956078066,-7251950380240631902,"ArgumentError(""Month: 5579367214313574426 out of range (1:12)"")","ArgumentError(""Month: 5693480484956078066 out of range (1:12)"")"
114,0,0,2,1,9.287145122234256e-18,0.0,54887357,2.333106225927135e-18,3.048675139892658e-16,0.007652852858600349,537399895433497328,4495018113498907883,-6212822522548817204,540933526413103223,4337207145519036769,-6114234866194255041,"ArgumentError(""Month: 4495018113498907883 out of range (1:12)"")","ArgumentError(""Month: 4337207145519036769 out of range (1:12)"")"
117,0,0,2,1,4.966980539217793e-17,0.0,508648386,1.7650502782480104e-18,5.525872923739976e-18,0.31941564755589846,-5082897853375319374,4092029448596309913,-1015061976603438444,-5104354523507932787,4316855577655040317,-958464936682810912,"ArgumentError(""Month: 4092029448596309913 out of range (1:12)"")","ArgumentError(""Month: 4316855577655040317 out of range (1:12)"")"
116,0,0,2,1,2.095645567628196e-17,0.0,153393451,1.7311300376145067e-18,1.7125903374003173e-16,0.010108255312489572,-1568458141373270186,4299410284214461462,1523956064981119233,-1680801453346659328,4508858497237367071,1433887051906802421,"ArgumentError(""Month: 4299410284214461462 out of range (1:12)"")","ArgumentError(""Month: 4508858497237367071 out of range (1:12)"")"
115,1,0,2,1,3.662897850605643e-17,0.0,308516864,1.6717642141927615e-18,1.7648266021080582e-17,0.09472682541139536,-6018875659413005642,-3077463191635420639,77595022610942854,-5812243982188031900,-2991136439730230662,146898095039297909,"ArgumentError(""Month: -3077463191635420639 out of range (1:12)"")","ArgumentError(""Month: -2991136439730230662 out of range (1:12)"")"
111,1,0,2,1,6.588941011705207e-18,0.0,51797938,1.5976507117242757e-18,3.9163841373951566e-17,0.04079402468387323,-8533061792381198135,274261799473389429,82755896781826042,-8705093176324412170,358993823090195712,-80900033636703531,"ArgumentError(""Month: 274261799473389429 out of range (1:12)"")","ArgumentError(""Month: 358993823090195712 out of range (1:12)"")"
117,0,1,2,1,1.3906286187079983e-17,0.0,104784092,1.4523880620915328e-18,4.671110833980065e-18,0.31092990804802023,-1981546406809616971,-1043806806449103154,4190668589501763977,-1881760925573562725,-888284196523795346,3932993096955914645,"ArgumentError(""Month: -1043806806449103154 out of range (1:12)"")","ArgumentError(""Month: -888284196523795346 out of range (1:12)"")"
120,0,0,2,1,1.7506178267337015e-17,0.0,133450318,1.3790508666818357e-18,9.129579161427523e-18,0.15105305976296546,-3859042593966559501,-3899478575698888891,-4922519797753565155,-3838146253552227666,-4197656540300288367,-4868376467721387738,"ArgumentError(""Month: -3899478575698888891 out of range (1:12)"")","ArgumentError(""Month: -4197656540300288367 out of range (1:12)"")"
113,1,0,2,1,4.526568319578452e-17,0.0,460204354,1.3251668178418604e-18,1.3180930555207246e-16,0.01005366663826585,-7532502016837709817,3206535160175557448,219539652591174118,-7384814336410763826,3388515769240062405,32616529142540010,"ArgumentError(""Month: 3206535160175557448 out of range (1:12)"")","ArgumentError(""Month: 3388515769240062405 out of range (1:12)"")"
