bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
2,0,0,0,0,1.0,1.0,1.0,1.0,0.0,1B,0B
3,0,1,0,0,1.0,1.0,1.0,0.0,-1.0,0B,-1B
4,0,0,0,0,1.0,1.0,1.0,-2.0,-1.0,-2B,-1B
6,0,0,0,0,1.0,1.0,1.0,-20.0,-19.0,-20B,-19B
5,0,1,0,0,1.0,1.0,1.0,-10.0,-9.0,-10B,-9B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-229.0,-230.0,-229B,-230B
10,0,0,0,1,0.5714285714285714,1.0,0.5714285714285714,-9463.0,-9462.0,-9463B,-9462B
7,0,1,0,1,0.3333333333333333,1.0,0.3333333333333333,-98.0,-101.0,-98B,-101B
4,2,2,0,1,0.09090909090909091,0.09090909090909091,1.0,-11.0,0.0,-11B,0B
7,0,2,0,1,0.09090909090909091,1.0,0.09090909090909091,1001.0,990.0,1.0 kB,990B
9,0,1,0,1,0.0625,1.0,0.0625,-1000.0,-984.0,-1000B,-984B
12,0,0,0,1,0.03921568627450981,1.0,0.03921568627450981,-14689.0,-14672.0,-14689B,-14672B
6,2,2,0,1,0.01098901098901099,0.01098901098901099,1.0,-100.0,-9.0,-100B,-9B
5,4,3,0,1,0.009900990099009901,0.009900990099009901,1.0,-100.0,1.0,-100B,1B
9,0,0,0,1,0.0018587360594795538,0.00980392156862745,0.1895910780669145,9959.0,10228.0,10.0 kB,10.2 kB
8,0,1,0,1,0.001783893985728848,0.7777777777777778,0.0022935779816513763,9985.0,9549.0,10.0 kB,9.5 kB
11,0,1,0,1,0.0013404825737265416,1.0,0.0013404825737265416,-10040.0,-9294.0,-10040B,-9294B
6,2,3,0,1,0.0011074197120708748,0.0011098779134295228,0.9977851605758582,97.0,1000.0,97B,1.0 kB
8,2,2,0,1,0.0011001100110011,0.0011098779134295228,0.9911991199119912,-1005.0,-96.0,-1005B,-96B
14,0,0,0,1,0.0010377750103777502,0.8888888888888888,0.001167496886674969,-586365.0,-585562.0,-586365B,-585562B
5,4,4,0,1,0.0010080645161290322,0.0010090817356205853,0.9989919354838709,1001.0,9.0,1.0 kB,9B
7,4,3,0,1,0.0010080645161290322,0.0010090817356205853,0.9989919354838709,-8.0,-1000.0,-8B,-1000B
6,8,4,0,1,0.000999000999000999,0.000999000999000999,1.0,-1000.0,1.0,-1000B,1B
18,0,0,0,1,0.0009988584474885844,0.8,0.0012485730593607305,-2.3758818e7,-2.3758234e7,-23758818B,-23758234B
16,0,0,0,1,0.00015047550258817863,0.8,0.00018809437823522328,-1.140012e6,-1.1349e6,-1140012B,-1134900B
7,0,3,0,1,0.00011135857461024499,0.00011168192986374804,0.9971046770601337,9963.0,983.0,10.0 kB,983B
8,2,3,0,1,0.00011052166224580017,0.00011108642523883582,0.9949160035366931,959.0,10007.0,959B,10.0 kB
10,2,2,0,1,0.00010949304719150334,0.000111000111000111,0.9864228621482536,-10075.0,-942.0,-10075B,-942B
6,2,4,0,1,0.00010146103896103897,0.00010150223304912708,0.9995941558441559,95.0,9951.0,95B,10.0 kB
7,4,4,0,1,0.00010094891984655764,0.000100999899000101,0.9994952554007672,10003.0,97.0,10.0 kB,97B
9,4,3,0,1,0.00010063399416322834,0.00010098969905069682,0.996477810204287,-67.0,-10004.0,-67B,-10004B
5,4,5,0,1,0.00010056315366049879,0.00010058338362502515,0.999798873692679,9.0,9953.0,9B,10.0 kB
6,8,5,0,1,0.00010006003602161297,0.00010009008107296567,0.9996998198919351,10003.0,9.0,10.0 kB,9B
7,12,5,0,1,9.999000099990002e-5,9.999000099990002e-5,1.0,0.0,-10001.0,0B,-10001B
8,8,4,0,1,9.998000399920016e-5,0.00010009008107296567,0.9989002199560088,-6.0,-10008.0,-6B,-10008B
8,0,2,0,1,9.92063492063492e-5,9.934432743890324e-5,0.9986111111111111,-128.0,9952.0,-128B,10.0 kB
9,0,2,0,1,9.859016070196194e-5,9.890218573830482e-5,0.9968451148575371,-137.0,10006.0,-137B,10.0 kB
10,2,1,0,1,9.022827754218172e-5,9.088430428065073e-5,0.9927817377966255,1027.0,-10056.0,1.0 kB,-10056B
10,0,1,0,1,8.911067545891998e-5,0.8181818181818181,0.00010891304778312443,-1198.0,10024.0,-1198B,10.0 kB
13,0,1,0,1,7.606298014756218e-5,1.0,7.606298014756218e-5,-100375.0,-87228.0,-100375B,-87228B
11,0,0,0,1,4.7056609100748203e-5,0.007936507936507936,0.005929132746694274,11121.0,-10130.0,11.1 kB,-10130B
10,2,0,0,1,4.4933318954671266e-5,4.7440580672707434e-5,0.9471494302455157,9995.0,-10237.0,10.0 kB,-10237B
13,0,2,0,1,2.9474180617778827e-5,0.0196078431372549,0.00150318321150672,992798.0,1.026726e6,992.8 kB,1.0 MB
15,0,1,0,1,1.2559342895179725e-5,1.0,1.2559342895179725e-5,-1.041591e6,-961969.0,-1041591B,-961969B
12,2,2,0,1,1.0878433505575197e-5,1.110790216159776e-5,0.9793418547729127,-101780.0,-9855.0,-101780B,-9855B
9,4,4,0,1,1.008827238335435e-5,1.0099275881919266e-5,0.9989104665825977,100080.0,955.0,100.1 kB,955B
8,2,4,0,1,1.0085423537361452e-5,1.0104174034293567e-5,0.9981442820691255,842.0,99995.0,842B,100.0 kB
11,4,3,0,1,1.0032706623592913e-5,1.0095707305253806e-5,0.9937596564801252,-411.0,-100085.0,-411B,-100085B
7,4,5,0,1,1.0008707575590764e-5,1.0013919347893571e-5,0.9994795472060694,77.0,99990.0,77B,100.0 kB
8,8,5,0,1,1.0007705933568848e-5,1.0009509033581903e-5,0.9998198612931958,91.0,100014.0,91B,100.0 kB
6,8,6,0,1,1.0005603137757144e-5,1.0005703250852986e-5,0.9999899943968622,99951.0,7.0,100.0 kB,7B
8,18,6,0,1,9.99990000099999e-6,9.99990000099999e-6,1.0,-100001.0,0.0,-100001B,0B
7,12,6,0,1,9.99950002499875e-6,1.000060003600216e-5,0.9998900054997251,100014.0,9.0,100.0 kB,9B
9,12,5,0,1,9.99750062484379e-6,1.000060003600216e-5,0.9996900774806299,-100014.0,11.0,-100014B,11B
10,8,4,0,1,9.995801763259432e-6,1.0008206729518205e-5,0.9987605205813559,-100100.0,-58.0,-100100B,-58B
10,2,3,0,1,9.978346987038127e-6,9.98771511041419e-6,0.9990620353832184,-175.0,100042.0,-175B,100.0 kB
11,4,2,0,1,9.865338134464558e-6,9.899421873762572e-6,0.9965569969910718,-100237.0,1128.0,-100237B,1.1 kB
11,0,2,0,1,9.835065944117156e-6,9.885721064494444e-6,0.9948759306431151,100255.0,-1422.0,100.3 kB,-1422B
10,0,2,0,1,9.71534052268532e-6,9.892371003482115e-6,0.9821043427572137,99984.0,-2946.0,100.0 kB,-2946B
12,2,1,0,1,8.93415527561869e-6,9.0046283789868e-6,0.992173679978558,11509.0,-100421.0,11.5 kB,-100421B
12,0,1,0,1,8.887071976395936e-6,8.99733678831066e-6,0.9877447277445499,-11986.0,100537.0,-11986B,100.5 kB
11,4,1,0,1,7.953298232777132e-6,8.328033675539808e-6,0.9550031307073952,9963.0,-115771.0,10.0 kB,-115771B
20,0,0,0,1,5.0867176355773746e-6,0.7777777777777778,6.540065531456624e-6,-1.1463568e8,-1.14473782e8,-114635680B,-114473782B
13,0,0,0,1,4.6475960309529895e-6,4.733705402577976e-6,0.9818093091348499,-112274.0,102891.0,-112274B,102.9 kB
17,0,1,0,1,1.4621742824014166e-6,1.0,1.4621742824014166e-6,-9.458384e6,-1.0142297e7,-9458384B,-10142297B
12,0,2,0,1,1.2892279844983228e-6,1.0,1.2892279844983228e-6,999994.0,224336.0,1.0 MB,224.3 kB
14,0,1,0,1,1.1763124285810312e-6,0.7777777777777778,1.5124016938898973e-6,9.338588e6,9.999788e6,9.3 MB,10.0 MB
14,2,2,0,1,1.080593937651891e-6,1.110385659147135e-6,0.9731699331220411,-1.014707e6,-89290.0,-1014707B,-89290B
