bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
10,1,10,1,1,0.003434546350136823,0.6698906348083082,0.00512702547501598,1.0,20.0,-72.0,-246.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,1,11,0,1,0.0030656678848921346,0.004367020419353081,0.7020044768524977,280.0,169.0,1.0,0.0,Normal,Underweight
11,0,10,1,1,0.0029936723675818553,0.07840476839390854,0.03818227422778078,48.0,190.0,31.0,-126.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,6,1,1,0.0029705033321209937,0.08108649612461213,0.03663376115741865,71.0,-250.0,189.0,38.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
11,0,7,1,1,0.0029106816611262224,0.03090349343902322,0.0941861691743489,-1.0,350.0,265.0,155.0,"DomainError(""Height or Weight cannot be negative."", """")",Normal
13,0,10,1,1,0.0026835909492339705,0.04730932131526633,0.05672435948405791,173.0,222.0,-156.0,350.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,6,1,1,0.002522035968977376,0.08404802744425387,0.030007081018649184,-21.0,23.0,344.0,57.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,0,6,1,1,0.0021333040644088575,0.9245283018867925,0.0023074513349728458,367.0,3.0,-4.0,227.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,7,1,1,0.0019538809676468223,0.04794011226613654,0.0407567040477497,15.0,-4.0,397.0,305.0,"DomainError(""Height or Weight cannot be negative."", """")",Normal
11,2,6,1,1,0.0018056883431939496,0.9245283018867925,0.0019530914732505985,1945.0,1.0,1433.0,-2.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
15,2,10,1,1,0.001509754785319817,0.04595411842793678,0.03285352514568086,271.0,13985.0,-2.0,13420.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,1,6,1,1,0.001448589765538435,0.08108649612461213,0.017864747334898658,203.0,0.0,426.0,-598.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
11,1,10,1,1,0.0013796658377192462,0.09074143754726698,0.015204363904865204,3.0,346.0,233.0,-301.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
14,0,10,1,1,0.0013763479828790824,0.007936736298495286,0.17341485607125717,-50.0,1576.0,234.0,2203.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
12,2,6,1,1,0.0012020188174300984,0.09245283018867925,0.01300142802526433,1008.0,-12.0,1777.0,3.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
11,1,17,0,1,0.001161995985701234,0.001549968516584257,0.7496900570999872,9.0,805.0,745.0,1251.0,Severely obese,Normal
11,0,17,0,1,0.0011359823013518606,0.052999894000318,0.021433671194607384,650.0,968.0,52.0,322.0,Normal,Severely obese
13,0,6,1,1,0.001076188146976748,0.04484620991237855,0.023997304322470655,3488.0,-15.0,4346.0,28.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,1,14,0,1,0.0010087086817421704,0.001049327460209087,0.9612906551984992,63.0,25.0,1009.0,1.0,Severely obese,Underweight
12,0,13,0,1,0.0010047328895772068,0.04038961958610097,0.0248760176469441,1259.0,30.0,283.0,225.0,Underweight,Obese
7,2,14,0,1,0.0009394968602964153,0.0009632143840014678,0.9753766927705927,0.0,0.0,1016.0,6.0,Severely obese,Underweight
12,0,14,0,1,0.0009393530962909532,0.02293626354085561,0.04095493124316934,1166.0,94.0,154.0,186.0,Underweight,Severely obese
