a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
2999999999,3,999999999,valid,UInt64,1.0,3000000000,3,1000000000,valid,UInt64,2
2899999999,29,99999999,valid,UInt64,1.0,2900000000,29,100000000,valid,UInt64,11
2899999999,29,99999999,valid,UInt32,1.0,2900000000,29,100000000,valid,UInt32,7
2788999999,27890,99999,valid,UInt32,1.0,2789000000,27890,100000,valid,UInt32,2
2699999999,27,99999999,valid,UInt32,1.0,2700000000,27,100000000,valid,UInt32,8
2699999999,27,99999999,valid,UInt64,1.0,2700000000,27,100000000,valid,UInt64,7
2599999999,26,99999999,valid,UInt64,1.0,2600000000,26,100000000,valid,UInt64,6
2549999999,255,9999999,valid,UInt32,1.0,2550000000,255,10000000,valid,UInt32,9
2479999999,248,9999999,valid,UInt32,1.0,2480000000,248,10000000,valid,UInt32,11
2459999999,246,9999999,valid,UInt32,1.0,2460000000,246,10000000,valid,UInt32,8
2399999999,240,9999999,valid,UInt32,1.0,2400000000,240,10000000,valid,UInt32,8
2339999999,234,9999999,valid,UInt32,1.0,2340000000,234,10000000,valid,UInt32,8
2329999999,233,9999999,valid,UInt32,1.0,2330000000,233,10000000,valid,UInt32,10
2299999999,23,99999999,valid,UInt64,1.0,2300000000,23,100000000,valid,UInt64,9
2289999999,229,9999999,valid,UInt32,1.0,2290000000,229,10000000,valid,UInt32,13
2249999999,225,9999999,valid,UInt32,1.0,2250000000,225,10000000,valid,UInt32,14
2199999999,22,99999999,valid,UInt32,1.0,2200000000,22,100000000,valid,UInt32,9
2159999999,216,9999999,valid,UInt32,1.0,2160000000,216,10000000,valid,UInt32,11
2139999999,214,9999999,valid,UInt32,1.0,2140000000,214,10000000,valid,UInt32,8
2129999999,213,9999999,valid,UInt32,1.0,2130000000,213,10000000,valid,UInt32,13
2019999999,202,9999999,valid,UInt32,1.0,2020000000,202,10000000,valid,UInt32,2
1999999999,200,9999999,valid,UInt32,1.0,2000000000,200,10000000,valid,UInt32,12
1989999999,199,9999999,valid,UInt32,1.0,1990000000,199,10000000,valid,UInt32,12
1969999999,197,9999999,valid,Int64,1.0,1970000000,197,10000000,valid,Int64,4
1959999999,196,9999999,valid,UInt32,1.0,1960000000,196,10000000,valid,UInt32,11
1939999999,194,9999999,valid,UInt32,1.0,1940000000,194,10000000,valid,UInt32,7
1899999999,19,99999999,valid,UInt32,1.0,1900000000,19,100000000,valid,UInt32,12
1849999999,185,9999999,valid,UInt32,1.0,1850000000,185,10000000,valid,UInt32,8
1819999999,182,9999999,valid,UInt32,1.0,1820000000,182,10000000,valid,UInt32,7
1799999999,18,99999999,valid,UInt64,1.0,1800000000,18,100000000,valid,UInt64,5
1799999982,-18,-99999999,valid,Int64,1.0,1799999983,-18,-100000000,valid,Int64,5
1789999999,179,9999999,valid,Int64,1.0,1790000000,179,10000000,valid,Int64,2
