a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
65482,false,DivideError(),error,DivideError,8.0,65482,true,65482,valid,UInt16,2
64334,false,DivideError(),error,DivideError,8.0,64334,true,64334,valid,UInt16,2
64165,false,DivideError(),error,DivideError,8.0,64165,true,64165,valid,UInt16,2
63855,false,DivideError(),error,DivideError,8.0,63855,true,63855,valid,UInt16,2
63814,false,DivideError(),error,DivideError,8.0,63814,true,63814,valid,UInt16,2
63523,false,DivideError(),error,DivideError,8.0,63523,true,63523,valid,UInt16,2
61042,false,DivideError(),error,DivideError,8.0,61042,true,61042,valid,UInt16,2
60040,false,DivideError(),error,DivideError,8.0,60040,true,60040,valid,UInt16,2
59739,false,DivideError(),error,DivideError,8.0,59739,true,59739,valid,UInt16,2
59071,false,DivideError(),error,DivideError,8.0,59071,true,59071,valid,UInt16,2
59007,false,DivideError(),error,DivideError,8.0,59007,true,59007,valid,UInt16,2
58958,false,DivideError(),error,DivideError,8.0,58958,true,58958,valid,UInt16,3
58797,false,DivideError(),error,DivideError,8.0,58797,true,58797,valid,UInt16,2
58653,false,DivideError(),error,DivideError,8.0,58653,true,58653,valid,UInt16,2
57903,false,DivideError(),error,DivideError,8.0,57903,true,57903,valid,UInt16,2
57102,0,DivideError(),error,DivideError,8.0,57102,1,57102,valid,UInt64,2
56811,false,DivideError(),error,DivideError,8.0,56811,true,56811,valid,UInt16,2
56379,false,DivideError(),error,DivideError,8.0,56379,true,56379,valid,UInt16,2
56167,false,DivideError(),error,DivideError,8.0,56167,true,56167,valid,UInt16,2
55742,false,DivideError(),error,DivideError,8.0,55742,true,55742,valid,UInt16,2
55403,false,DivideError(),error,DivideError,8.0,55403,true,55403,valid,UInt16,2
55200,false,DivideError(),error,DivideError,8.0,55200,true,55200,valid,UInt16,2
54300,false,DivideError(),error,DivideError,8.0,54300,true,54300,valid,UInt16,2
53984,false,DivideError(),error,DivideError,8.0,53984,true,53984,valid,UInt16,2
53718,false,DivideError(),error,DivideError,8.0,53718,true,53718,valid,UInt16,2
53328,false,DivideError(),error,DivideError,8.0,53328,true,53328,valid,UInt16,2
52445,false,DivideError(),error,DivideError,8.0,52445,true,52445,valid,UInt16,2
51561,false,DivideError(),error,DivideError,8.0,51561,true,51561,valid,UInt16,2
50558,false,DivideError(),error,DivideError,8.0,50558,true,50558,valid,UInt16,2
50039,false,DivideError(),error,DivideError,8.0,50039,true,50039,valid,UInt16,2
49883,false,DivideError(),error,DivideError,8.0,49883,true,49883,valid,UInt16,2
49852,false,DivideError(),error,DivideError,8.0,49852,true,49852,valid,UInt16,2
49391,false,DivideError(),error,DivideError,8.0,49391,true,49391,valid,UInt16,2
48093,0,DivideError(),error,DivideError,8.0,48093,1,48093,valid,UInt64,2
47982,false,DivideError(),error,DivideError,8.0,47982,true,47982,valid,UInt16,3
47201,0,DivideError(),error,DivideError,8.0,47201,1,47201,valid,UInt64,2
46549,false,DivideError(),error,DivideError,8.0,46549,true,46549,valid,UInt16,2
46098,false,DivideError(),error,DivideError,8.0,46098,true,46098,valid,UInt16,2
45817,false,DivideError(),error,DivideError,8.0,45817,true,45817,valid,UInt16,2
44297,false,DivideError(),error,DivideError,8.0,44297,true,44297,valid,UInt16,2
43486,false,DivideError(),error,DivideError,8.0,43486,true,43486,valid,UInt16,2
41295,false,DivideError(),error,DivideError,8.0,41295,true,41295,valid,UInt16,2
40261,false,DivideError(),error,DivideError,8.0,40261,true,40261,valid,UInt16,2
40094,false,DivideError(),error,DivideError,8.0,40094,true,40094,valid,UInt16,2
39391,false,DivideError(),error,DivideError,8.0,39391,true,39391,valid,UInt16,2
39029,false,DivideError(),error,DivideError,8.0,39029,true,39029,valid,UInt16,2
38958,false,DivideError(),error,DivideError,8.0,38958,true,38958,valid,UInt16,2
37946,false,DivideError(),error,DivideError,8.0,37946,true,37946,valid,UInt16,2
37758,false,DivideError(),error,DivideError,8.0,37758,true,37758,valid,UInt16,2
36387,false,DivideError(),error,DivideError,8.0,36387,true,36387,valid,UInt16,2
35219,false,DivideError(),error,DivideError,8.0,35219,true,35219,valid,UInt16,2
34956,false,DivideError(),error,DivideError,8.0,34956,true,34956,valid,UInt16,2
34823,false,DivideError(),error,DivideError,8.0,34823,true,34823,valid,UInt16,2
32567,false,DivideError(),error,DivideError,8.0,32567,true,32567,valid,Int64,2
32513,false,DivideError(),error,DivideError,8.0,32513,true,32513,valid,UInt16,2
31925,false,DivideError(),error,DivideError,8.0,31925,true,31925,valid,UInt16,2
31528,false,DivideError(),error,DivideError,8.0,31528,true,31528,valid,Int64,2
31218,false,DivideError(),error,DivideError,8.0,31218,true,31218,valid,UInt16,2
30371,false,DivideError(),error,DivideError,8.0,30371,true,30371,valid,Int64,2
29873,false,DivideError(),error,DivideError,8.0,29873,true,29873,valid,UInt16,2
29577,false,DivideError(),error,DivideError,8.0,29577,true,29577,valid,Int64,2
29205,false,DivideError(),error,DivideError,8.0,29205,true,29205,valid,Int64,2
27751,false,DivideError(),error,DivideError,8.0,27751,true,27751,valid,Int64,2
27688,false,DivideError(),error,DivideError,8.0,27688,true,27688,valid,UInt16,2
27373,false,DivideError(),error,DivideError,8.0,27373,true,27373,valid,Int64,2
27174,false,DivideError(),error,DivideError,8.0,27174,true,27174,valid,UInt16,2
26655,false,DivideError(),error,DivideError,8.0,26655,true,26655,valid,Int64,2
26616,false,DivideError(),error,DivideError,8.0,26616,true,26616,valid,UInt16,2
26497,0,DivideError(),error,DivideError,8.0,26497,1,26497,valid,UInt64,2
26381,false,DivideError(),error,DivideError,8.0,26381,true,26381,valid,UInt16,2
