a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
63452,false,DivideError(),error,DivideError,8.0,63452,true,63452,valid,UInt16,2
63024,false,DivideError(),error,DivideError,8.0,63024,true,63024,valid,UInt16,2
61297,false,DivideError(),error,DivideError,8.0,61297,true,61297,valid,UInt16,3
59425,false,DivideError(),error,DivideError,8.0,59425,true,59425,valid,UInt16,2
59420,false,DivideError(),error,DivideError,8.0,59420,true,59420,valid,UInt16,2
58133,false,DivideError(),error,DivideError,8.0,58133,true,58133,valid,UInt16,2
57721,false,DivideError(),error,DivideError,8.0,57721,true,57721,valid,UInt16,2
57718,false,DivideError(),error,DivideError,8.0,57718,true,57718,valid,UInt16,2
57019,false,DivideError(),error,DivideError,8.0,57019,true,57019,valid,UInt16,3
56039,false,DivideError(),error,DivideError,8.0,56039,true,56039,valid,UInt16,2
55209,false,DivideError(),error,DivideError,8.0,55209,true,55209,valid,UInt16,2
55022,false,DivideError(),error,DivideError,8.0,55022,true,55022,valid,UInt16,2
54863,false,DivideError(),error,DivideError,8.0,54863,true,54863,valid,UInt16,2
54195,0,DivideError(),error,DivideError,8.0,54195,1,54195,valid,UInt64,2
53491,false,DivideError(),error,DivideError,8.0,53491,true,53491,valid,UInt16,2
52807,false,DivideError(),error,DivideError,8.0,52807,true,52807,valid,UInt16,2
52594,false,DivideError(),error,DivideError,8.0,52594,true,52594,valid,UInt16,2
51049,false,DivideError(),error,DivideError,8.0,51049,true,51049,valid,UInt16,2
50359,false,DivideError(),error,DivideError,8.0,50359,true,50359,valid,UInt16,3
50345,false,DivideError(),error,DivideError,8.0,50345,true,50345,valid,UInt16,2
50225,false,DivideError(),error,DivideError,8.0,50225,true,50225,valid,UInt16,2
50001,false,DivideError(),error,DivideError,8.0,50001,true,50001,valid,UInt16,2
49058,false,DivideError(),error,DivideError,8.0,49058,true,49058,valid,UInt16,2
47982,false,DivideError(),error,DivideError,8.0,47982,true,47982,valid,UInt16,2
47821,false,DivideError(),error,DivideError,8.0,47821,true,47821,valid,UInt16,2
47645,false,DivideError(),error,DivideError,8.0,47645,true,47645,valid,UInt16,2
47471,0,DivideError(),error,DivideError,8.0,47471,1,47471,valid,UInt64,2
46844,0,DivideError(),error,DivideError,8.0,46844,1,46844,valid,UInt64,2
46575,false,DivideError(),error,DivideError,8.0,46575,true,46575,valid,UInt16,2
45938,false,DivideError(),error,DivideError,8.0,45938,true,45938,valid,UInt16,2
44144,false,DivideError(),error,DivideError,8.0,44144,true,44144,valid,UInt16,2
44070,false,DivideError(),error,DivideError,8.0,44070,true,44070,valid,UInt16,2
42768,false,DivideError(),error,DivideError,8.0,42768,true,42768,valid,UInt16,2
42451,false,DivideError(),error,DivideError,8.0,42451,true,42451,valid,UInt16,2
42146,false,DivideError(),error,DivideError,8.0,42146,true,42146,valid,UInt16,2
41864,false,DivideError(),error,DivideError,8.0,41864,true,41864,valid,UInt16,2
40288,false,DivideError(),error,DivideError,8.0,40288,true,40288,valid,UInt16,2
39583,false,DivideError(),error,DivideError,8.0,39583,true,39583,valid,UInt16,2
39364,false,DivideError(),error,DivideError,8.0,39364,true,39364,valid,UInt16,2
39025,false,DivideError(),error,DivideError,8.0,39025,true,39025,valid,UInt16,2
38423,false,DivideError(),error,DivideError,8.0,38423,true,38423,valid,UInt16,2
38379,false,DivideError(),error,DivideError,8.0,38379,true,38379,valid,UInt16,2
37537,false,DivideError(),error,DivideError,8.0,37537,true,37537,valid,UInt16,2
35129,false,DivideError(),error,DivideError,8.0,35129,true,35129,valid,UInt16,2
