a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
3899999999,39,99999999,valid,UInt64,1.0,3900000000,39,100000000,valid,UInt64,2
3199999999,32,99999999,valid,UInt64,1.0,3200000000,32,100000000,valid,UInt64,4
2799999999,28,99999999,valid,UInt32,1.0,2800000000,28,100000000,valid,UInt32,6
2699999999,27,99999999,valid,UInt32,1.0,2700000000,27,100000000,valid,UInt32,9
2677799999,26778,99999,valid,UInt32,1.0,2677800000,26778,100000,valid,UInt32,2
2539999999,254,9999999,valid,UInt32,1.0,2540000000,254,10000000,valid,UInt32,5
2509999999,251,9999999,valid,UInt32,1.0,2510000000,251,10000000,valid,UInt32,8
2479999999,248,9999999,valid,UInt32,1.0,2480000000,248,10000000,valid,UInt32,14
2459999999,246,9999999,valid,UInt32,1.0,2460000000,246,10000000,valid,UInt32,9
2449999999,245,9999999,valid,UInt32,1.0,2450000000,245,10000000,valid,UInt32,11
2399999999,24,99999999,valid,UInt64,1.0,2400000000,24,100000000,valid,UInt64,13
2299999999,230,9999999,valid,UInt32,1.0,2300000000,230,10000000,valid,UInt32,9
2269999999,227,9999999,valid,UInt32,1.0,2270000000,227,10000000,valid,UInt32,12
2219999999,222,9999999,valid,UInt32,1.0,2220000000,222,10000000,valid,UInt32,12
2209999999,221,9999999,valid,UInt32,1.0,2210000000,221,10000000,valid,UInt32,15
2169999999,217,9999999,valid,UInt32,1.0,2170000000,217,10000000,valid,UInt32,11
2159999999,216,9999999,valid,UInt32,1.0,2160000000,216,10000000,valid,UInt32,11
2129999999,213,9999999,valid,UInt32,1.0,2130000000,213,10000000,valid,UInt32,9
2099999999,210,9999999,valid,UInt32,1.0,2100000000,210,10000000,valid,UInt32,16
2087699999,20877,99999,valid,UInt64,1.0,2087700000,20877,100000,valid,UInt64,2
2079999999,208,9999999,valid,UInt32,1.0,2080000000,208,10000000,valid,UInt32,12
2069999999,207,9999999,valid,UInt32,1.0,2070000000,207,10000000,valid,UInt32,11
2039999999,204,9999999,valid,UInt32,1.0,2040000000,204,10000000,valid,UInt32,10
2009999999,201,9999999,valid,UInt32,1.0,2010000000,201,10000000,valid,UInt32,11
1999999999,20,99999999,valid,UInt32,1.0,2000000000,20,100000000,valid,UInt32,11
1989999999,199,9999999,valid,UInt32,1.0,1990000000,199,10000000,valid,UInt32,13
1979999999,198,9999999,valid,UInt32,1.0,1980000000,198,10000000,valid,UInt32,11
1959999999,196,9999999,valid,UInt32,1.0,1960000000,196,10000000,valid,UInt32,16
1919999999,192,9999999,valid,Int64,1.0,1920000000,192,10000000,valid,Int64,4
1919999999,192,9999999,valid,UInt32,1.0,1920000000,192,10000000,valid,UInt32,14
1909999999,191,9999999,valid,UInt32,1.0,1910000000,191,10000000,valid,UInt32,8
1899999999,190,9999999,valid,UInt32,1.0,1900000000,190,10000000,valid,UInt32,10
1839999999,184,9999999,valid,Int64,1.0,1840000000,184,10000000,valid,Int64,8
1809999999,181,9999999,valid,Int64,1.0,1810000000,181,10000000,valid,Int64,6
1799999999,18,99999999,valid,UInt32,1.0,1800000000,18,100000000,valid,UInt32,7
1799999999,18,99999999,valid,UInt64,1.0,1800000000,18,100000000,valid,UInt64,15
1791999999,17920,99999,valid,UInt64,1.0,1792000000,17920,100000,valid,UInt64,2
1769999999,177,9999999,valid,Int64,1.0,1770000000,177,10000000,valid,Int64,4
1769999999,177,9999999,valid,UInt32,1.0,1770000000,177,10000000,valid,UInt32,12
1729999999,173,9999999,valid,UInt32,1.0,1730000000,173,10000000,valid,UInt32,10
1699999999,17,99999999,valid,UInt32,1.0,1700000000,17,100000000,valid,UInt32,10
1699999999,17,99999999,valid,Int64,1.0,1700000000,17,100000000,valid,Int64,6
1659999999,166,9999999,valid,Int64,1.0,1660000000,166,10000000,valid,Int64,3
1649999999,165,9999999,valid,Int64,1.0,1650000000,165,10000000,valid,Int64,10
1639999999,164,9999999,valid,UInt32,1.0,1640000000,164,10000000,valid,UInt32,15
1613999999,1614,999999,valid,UInt32,1.0,1614000000,1614,1000000,valid,UInt32,2
