run_duration,emitter,parent_selection,tracer_budget,run_number,rac
30,Mutation,Fitness,10,5,59.13978494623656
30,Mutation,Fitness,10,6,62.365591397849464
30,Mutation,Fitness,10,7,55.913978494623656
30,Mutation,Fitness,10,8,59.13978494623656
30,Mutation,Fitness,10,9,59.13978494623656
30,Mutation,Fitness,10,10,59.13978494623656
30,Mutation,Fitness,10,11,56.98924731182796
30,Mutation,Fitness,10,12,55.913978494623656
30,Mutation,Fitness,10,13,56.98924731182796
30,Mutation,Fitness,10,14,56.98924731182796
30,Mutation,Fitness,10,15,59.13978494623656
30,Mutation,Fitness,10,16,56.98924731182796
30,Mutation,Fitness,10,17,58.064516129032256
30,Mutation,Fitness,10,18,58.064516129032256
30,Mutation,Fitness,10,19,60.215053763440864
30,Mutation,Fitness,10,20,58.064516129032256
30,Mutation,Uniform,0,1,94.6236559139785
30,Mutation,Uniform,0,2,94.6236559139785
30,Mutation,Uniform,0,3,94.6236559139785
30,Mutation,Uniform,0,4,94.6236559139785
30,Mutation,Uniform,0,5,97.84946236559139
30,Mutation,Uniform,0,6,94.6236559139785
30,Mutation,Uniform,0,7,92.47311827956989
30,Mutation,Uniform,0,8,95.6989247311828
30,Mutation,Uniform,0,9,95.6989247311828
30,Mutation,Uniform,0,10,94.6236559139785
30,Mutation,Uniform,0,11,92.47311827956989
30,Mutation,Uniform,0,12,94.6236559139785
30,Mutation,Uniform,0,13,93.54838709677419
30,Mutation,Uniform,0,14,94.6236559139785
30,Mutation,Uniform,0,15,95.6989247311828
30,Mutation,Uniform,0,16,94.6236559139785
30,Mutation,Uniform,0,17,95.6989247311828
30,Mutation,Uniform,0,18,94.6236559139785
30,Mutation,Uniform,0,19,93.54838709677419
30,Mutation,Uniform,0,20,95.6989247311828
30,Mutation,Uniform,10,1,95.6989247311828
30,Mutation,Uniform,10,2,91.39784946236558
30,Mutation,Uniform,10,3,95.6989247311828
30,Mutation,Uniform,10,4,94.6236559139785
30,Mutation,Uniform,10,5,96.7741935483871
30,Mutation,Uniform,10,6,94.6236559139785
30,Mutation,Uniform,10,7,93.54838709677419
30,Mutation,Uniform,10,8,95.6989247311828
30,Mutation,Uniform,10,9,94.6236559139785
30,Mutation,Uniform,10,10,92.47311827956989
30,Mutation,Uniform,10,11,93.54838709677419
30,Mutation,Uniform,10,12,93.54838709677419
30,Mutation,Uniform,10,13,94.6236559139785
30,Mutation,Uniform,10,14,95.6989247311828
30,Mutation,Uniform,10,15,94.6236559139785
30,Mutation,Uniform,10,16,94.6236559139785
30,Mutation,Uniform,10,17,95.6989247311828
30,Mutation,Uniform,10,18,96.7741935483871
30,Mutation,Uniform,10,19,94.6236559139785
30,Mutation,Uniform,10,20,94.6236559139785
30,Random,NoSelection,0,1,7.526881720430108
30,Random,NoSelection,0,2,7.526881720430108
30,Random,NoSelection,0,3,7.526881720430108
30,Random,NoSelection,0,4,7.526881720430108
30,Random,NoSelection,0,5,7.526881720430108
30,Random,NoSelection,0,6,9.67741935483871
30,Random,NoSelection,0,7,7.526881720430108
30,Random,NoSelection,0,8,8.602150537634408
30,Random,NoSelection,0,9,7.526881720430108
30,Random,NoSelection,0,10,9.67741935483871
30,Random,NoSelection,0,11,7.526881720430108
30,Random,NoSelection,0,12,8.602150537634408
30,Random,NoSelection,0,13,7.526881720430108
30,Random,NoSelection,0,14,9.67741935483871
30,Random,NoSelection,0,15,8.602150537634408
30,Random,NoSelection,0,16,7.526881720430108
30,Random,NoSelection,0,17,9.67741935483871
30,Random,NoSelection,0,18,7.526881720430108
