run_duration,emitter,parent_selection,tracer_budget,run_number,cnpd
30,Mutation,Fitness,10,10,0.9907407407407408
30,Mutation,Fitness,10,11,0.9647907647907649
30,Mutation,Fitness,10,12,0.976851851851852
30,Mutation,Fitness,10,13,0.9818181818181819
30,Mutation,Fitness,10,14,0.9740740740740742
30,Mutation,Fitness,10,15,0.9604308390022677
30,Mutation,Fitness,10,16,0.9740740740740742
30,Mutation,Fitness,10,17,0.9620823620823622
30,Mutation,Fitness,10,18,0.968919968919969
30,Mutation,Fitness,10,19,0.9888888888888889
30,Mutation,Fitness,10,20,0.9740740740740742
30,Mutation,Uniform,0,1,0.9846153846153847
30,Mutation,Uniform,0,2,1.0
30,Mutation,Uniform,0,3,0.9846153846153847
30,Mutation,Uniform,0,4,0.9755102040816327
30,Mutation,Uniform,0,5,0.9755102040816327
30,Mutation,Uniform,0,6,0.9777777777777779
30,Mutation,Uniform,0,7,0.9625
30,Mutation,Uniform,0,8,0.9633333333333334
30,Mutation,Uniform,0,9,0.9717171717171719
30,Mutation,Uniform,0,10,0.9657142857142859
30,Mutation,Uniform,0,11,0.9772727272727273
30,Mutation,Uniform,0,12,0.9800000000000001
30,Mutation,Uniform,0,13,0.9818181818181819
30,Mutation,Uniform,0,14,0.9626373626373627
30,Mutation,Uniform,0,15,0.9576530612244899
30,Mutation,Uniform,0,16,1.0
30,Mutation,Uniform,0,17,0.9833333333333334
30,Mutation,Uniform,0,18,0.9755102040816327
30,Mutation,Uniform,0,19,0.9833333333333334
30,Mutation,Uniform,0,20,0.9866666666666667
30,Mutation,Uniform,10,1,0.959920634920635
30,Mutation,Uniform,10,2,0.9677910052910053
30,Mutation,Uniform,10,3,0.9545866831581119
30,Mutation,Uniform,10,4,0.9576142376142377
30,Mutation,Uniform,10,5,0.982390873015873
30,Mutation,Uniform,10,6,0.9714285714285715
30,Mutation,Uniform,10,7,0.9699546485260772
30,Mutation,Uniform,10,8,0.9675736961451248
30,Mutation,Uniform,10,9,0.9904761904761905
30,Mutation,Uniform,10,10,0.9777777777777779
30,Mutation,Uniform,10,11,0.9914529914529915
30,Mutation,Uniform,10,12,0.960385101010101
30,Mutation,Uniform,10,13,0.9697354497354499
30,Mutation,Uniform,10,14,0.973295985060691
30,Mutation,Uniform,10,15,0.98989898989899
30,Mutation,Uniform,10,16,0.9742063492063492
30,Mutation,Uniform,10,17,0.9338047138047139
30,Mutation,Uniform,10,18,0.9591269841269842
30,Mutation,Uniform,10,19,0.981859410430839
30,Mutation,Uniform,10,20,0.9804639804639805
30,Random,NoSelection,0,1,0.0
30,Random,NoSelection,0,2,0.0
30,Random,NoSelection,0,3,0.0
30,Random,NoSelection,0,4,0.0
30,Random,NoSelection,0,5,0.0
30,Random,NoSelection,0,6,0.0
30,Random,NoSelection,0,7,0.0
30,Random,NoSelection,0,8,0.0
30,Random,NoSelection,0,9,0.0
30,Random,NoSelection,0,10,0.0
30,Random,NoSelection,0,11,0.0
30,Random,NoSelection,0,12,0.0
30,Random,NoSelection,0,13,0.0
30,Random,NoSelection,0,14,0.0
30,Random,NoSelection,0,15,0.0
30,Random,NoSelection,0,16,0.0
30,Random,NoSelection,0,17,0.0
30,Random,NoSelection,0,18,0.0
30,Random,NoSelection,0,19,0.0
30,Random,NoSelection,0,20,0.0
600,AutoBVA,NoSelection,0,1,1.0
600,AutoBVA,NoSelection,0,2,1.0
600,AutoBVA,NoSelection,0,3,1.0
600,AutoBVA,NoSelection,0,4,1.0
600,AutoBVA,NoSelection,0,5,1.0
600,AutoBVA,NoSelection,0,6,1.0
600,AutoBVA,NoSelection,0,7,1.0
600,AutoBVA,NoSelection,0,8,1.0
600,AutoBVA,NoSelection,0,9,1.0
600,AutoBVA,NoSelection,0,10,1.0
600,AutoBVA,NoSelection,0,11,1.0
600,AutoBVA,NoSelection,0,12,1.0
600,AutoBVA,NoSelection,0,13,1.0
600,AutoBVA,NoSelection,0,14,1.0
600,AutoBVA,NoSelection,0,15,1.0
600,AutoBVA,NoSelection,0,16,1.0
600,AutoBVA,NoSelection,0,17,1.0
600,AutoBVA,NoSelection,0,18,1.0
600,AutoBVA,NoSelection,0,19,1.0
600,AutoBVA,NoSelection,0,20,1.0
600,Bituniform,NoSelection,0,1,0.9761904761904763
600,Bituniform,NoSelection,0,2,1.0
600,Bituniform,NoSelection,0,3,0.9761904761904763
600,Bituniform,NoSelection,0,4,0.9642857142857143
600,Bituniform,NoSelection,0,5,0.9761904761904763
600,Bituniform,NoSelection,0,6,0.9761904761904763
600,Bituniform,NoSelection,0,7,0.9761904761904763
600,Bituniform,NoSelection,0,8,0.9761904761904763
600,Bituniform,NoSelection,0,9,1.0
600,Bituniform,NoSelection,0,10,0.9761904761904763
600,Bituniform,NoSelection,0,11,0.9761904761904763
600,Bituniform,NoSelection,0,12,0.979591836734694
600,Bituniform,NoSelection,0,13,1.0
600,Bituniform,NoSelection,0,14,0.979591836734694
600,Bituniform,NoSelection,0,15,0.9761904761904763
600,Bituniform,NoSelection,0,16,1.0
600,Bituniform,NoSelection,0,17,1.0
600,Bituniform,NoSelection,0,18,0.979591836734694
600,Bituniform,NoSelection,0,19,0.979591836734694
600,Bituniform,NoSelection,0,20,0.9761904761904763
600,Bituniform,NoSelection,10,1,0.9752136752136753
600,Bituniform,NoSelection,10,2,0.9707070707070707
600,Bituniform,NoSelection,10,3,0.9784271284271284
600,Bituniform,NoSelection,10,4,0.9824074074074075
600,Bituniform,NoSelection,10,5,0.9755892255892257
600,Bituniform,NoSelection,10,6,0.9725829725829725
600,Bituniform,NoSelection,10,7,0.9707070707070707
600,Bituniform,NoSelection,10,8,0.9848484848484849
600,Bituniform,NoSelection,10,9,0.9521185884822249
600,Bituniform,NoSelection,10,10,0.9774669774669775
600,Bituniform,NoSelection,10,11,0.9551066217732885
600,Bituniform,NoSelection,10,12,0.9733700642791553
600,Bituniform,NoSelection,10,13,0.9755892255892257
600,Bituniform,NoSelection,10,14,0.9656565656565657
600,Bituniform,NoSelection,10,15,0.9733700642791553
600,Bituniform,NoSelection,10,16,0.9774669774669775
600,Bituniform,NoSelection,10,17,0.9777777777777779
600,Bituniform,NoSelection,10,18,0.9733700642791553
600,Bituniform,NoSelection,10,19,0.9685185185185187
600,Bituniform,NoSelection,10,20,0.9617003367003368
600,Mutation,Curiosity,0,1,0.9992193598750976
600,Mutation,Curiosity,0,2,0.9982718894009216
600,Mutation,Curiosity,0,3,0.999231950844854
600,Mutation,Curiosity,0,4,0.9938616071428572
600,Mutation,Curiosity,0,5,0.9976580796252928
600,Mutation,Curiosity,0,6,0.9959677419354839
600,Mutation,Curiosity,0,7,0.999231950844854
600,Mutation,Curiosity,0,8,0.997732426303855
600,Mutation,Curiosity,0,9,1.0
600,Mutation,Curiosity,0,10,1.0
600,Mutation,Curiosity,0,11,0.9976580796252928
600,Mutation,Curiosity,0,12,1.0
600,Mutation,Curiosity,0,13,1.0
600,Mutation,Curiosity,0,14,1.0
600,Mutation,Curiosity,0,15,0.9970695970695971
600,Mutation,Curiosity,0,16,1.0
600,Mutation,Curiosity,0,17,1.0
600,Mutation,Curiosity,0,18,0.999231950844854
600,Mutation,Curiosity,0,19,1.0
600,Mutation,Curiosity,0,20,0.9974804736709497
600,Mutation,Curiosity,10,1,1.0
600,Mutation,Curiosity,10,2,0.9959037378392217
600,Mutation,Curiosity,10,3,0.9976958525345623
600,Mutation,Curiosity,10,4,0.999231950844854
600,Mutation,Curiosity,10,5,0.9970238095238095
600,Mutation,Curiosity,10,6,0.996031746031746
600,Mutation,Curiosity,10,7,1.0
600,Mutation,Curiosity,10,8,1.0
600,Mutation,Curiosity,10,9,1.0
600,Mutation,Curiosity,10,10,0.9918831168831169
600,Mutation,Curiosity,10,11,0.99609375
600,Mutation,Curiosity,10,12,0.9959016393442623
600,Mutation,Curiosity,10,13,0.9952758881330309
600,Mutation,Curiosity,10,14,0.9992559523809523
600,Mutation,Curiosity,10,15,0.9976958525345623
600,Mutation,Curiosity,10,16,1.0
600,Mutation,Curiosity,10,17,0.9967213114754098
600,Mutation,Curiosity,10,18,0.99609375
600,Mutation,Curiosity,10,19,0.9968253968253967
600,Mutation,Curiosity,10,20,0.996774193548387
600,Mutation,Fitness,0,1,0.9642857142857143
