bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
60,54,7,2,1,1.6325109728267613e-16,3.0434037678179727e-15,0.053640959181608085,-2.9481312317696e15,-5.097293e6,-4.4034428651738e13,-4.268590623613151e15,0.0,-1.0,"ArgumentError(""Month: -5097293 out of range (1:12)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
57,43,5,2,1,1.6160849136024667e-16,9.589027912815978e-15,0.016853480126411233,3.04654593848715e14,-15636.0,8.00237077524177e14,1009.0,0.0,1.895177279733435e15,"ArgumentError(""Month: -15636 out of range (1:12)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
43,55,3,1,1,1.6134009691714983e-16,1.6134009691714983e-16,1.0,87.0,-35453.0,8.86323073270765e15,3.0,3.0,1.4779586758176172e16,"ArgumentError(""Month: -35453 out of range (1:12)"")",1570-54255129628557499-3689348814741910354
36,30,2,2,1,1.612459582634247e-16,3.375737390847075e-10,4.776614398401506e-7,194.0,317778.0,-2.0,1.0,-7.4835e6,1.691374318243206e15,"ArgumentError(""Month: 317778 out of range (1:12)"")","ArgumentError(""Month: -7483500 out of range (1:12)"")"
33,31,14,2,1,1.6082910551228029e-16,3.1719778107916195e-12,5.070309917210383e-5,-25037.0,1.822452766508065e15,-7.0,-93066.0,66.0,1.0,"ArgumentError(""Month: 1822452766508065 out of range (1:12)"")","ArgumentError(""Month: 66 out of range (1:12)"")"
97,2,1,2,1,1.605640560301357e-16,9.751477392491821e-15,0.01646561331863031,3.876952865366833e15,7.648068829812e13,-1.3967181636357642e16,4.681324319013913e15,1.03948273097046e14,-1.6208358521260636e16,"ArgumentError(""Month: 76480688298120 out of range (1:12)"")","ArgumentError(""Month: 103948273097046 out of range (1:12)"")"
42,44,10,2,1,1.5990058366131151e-16,6.347687652903225e-12,2.5190367328199932e-5,-2.0,-1.3173215891574e13,95.0,1.801918961903272e15,11735.0,29.0,"ArgumentError(""Month: -13173215891574 out of range (1:12)"")","ArgumentError(""Month: 11735 out of range (1:12)"")"
51,42,0,2,1,1.5889240975268906e-16,1.45121577661266e-12,0.0001094891692285527,-6.29526405169138e14,-1.3236923e7,0.0,9.43865303025841e14,-2.0121341e7,0.0,"ArgumentError(""Month: -13236923 out of range (1:12)"")","ArgumentError(""Month: -20121341 out of range (1:12)"")"
50,41,0,2,1,1.5829061385794976e-16,6.418143844903997e-13,0.0002466298943792486,-6.1432225e7,4.369609897456791e15,104.0,2468.0,1.789225032742726e15,39.0,"ArgumentError(""Month: 4369609897456791 out of range (1:12)"")","ArgumentError(""Month: 1789225032742726 out of range (1:12)"")"
58,56,7,2,1,1.580893102081367e-16,6.91111915850327e-16,0.22874632397797326,59.0,-23449.0,1.1364511806787014e16,3.58724059339486e14,3.0,1.4779586758176172e16,"ArgumentError(""Month: -23449 out of range (1:12)"")","ArgumentError(""Day: 358724059339486 out of range (1:31)"")"
35,32,0,2,1,1.5776122581102176e-16,2.339993824332527e-11,6.741950520148166e-6,216.0,6.404003e6,1.525981682147413e15,6.0,3.240626e6,1.0,"ArgumentError(""Month: 6404003 out of range (1:12)"")","ArgumentError(""Month: 3240626 out of range (1:12)"")"
81,35,1,2,1,1.5606909929574115e-16,7.211222975324174e-15,0.021642528573833926,1.1184144200861995e17,12.0,2.6243944901239e13,1.0826399572377034e17,7.23104762913898e14,2.4584053454599e13,"ArgumentError(""Day: 111841442008619948 out of range (1:31)"")","ArgumentError(""Month: 723104762913898 out of range (1:12)"")"
48,51,14,2,1,1.5595671469399213e-16,8.3079485068605e-16,0.18771988604070777,-1.82551197907296e14,2.056807565789354e15,-1.989540225e9,10.0,17.0,0.0,"ArgumentError(""Month: 2056807565789354 out of range (1:12)"")","ArgumentError(""Month: 17 out of range (1:12)"")"
59,54,8,2,1,1.5492990704358806e-16,1.9194209379159456e-15,0.08071700374999904,-6.96226560683173e14,-1.379019e7,0.0,9.43865303025841e14,-1.494298945256641e15,0.0,"ArgumentError(""Month: -13790190 out of range (1:12)"")","ArgumentError(""Month: -1494298945256641 out of range (1:12)"")"
53,39,0,2,1,1.537633147907506e-16,3.1441945421855854e-13,0.0004890388070067286,6.9434014e7,44.0,1.02613977476955e15,1.16000689e8,73.0,1.874422622900121e15,"ArgumentError(""Month: 44 out of range (1:12)"")","ArgumentError(""Month: 73 out of range (1:12)"")"
61,47,0,2,1,1.5094456893923874e-16,2.782315610516094e-13,0.0005425141862724909,2.59595293364725e14,-2697.0,-1.612419279780662e15,71.0,-1733.0,-2.885225629996744e15,"ArgumentError(""Month: -2697 out of range (1:12)"")","ArgumentError(""Month: -1733 out of range (1:12)"")"
55,36,6,2,1,1.5024212954296396e-16,7.551749684466648e-14,0.00198950092125008,-12669.0,1.804898205035941e15,1.348083838117062e15,-32852.0,-6.62059099e8,1.0,"ArgumentError(""Month: 1804898205035941 out of range (1:12)"")","ArgumentError(""Month: -662059099 out of range (1:12)"")"
54,65,14,2,1,1.5017764737690522e-16,1.4598344004086358e-15,0.10287307062696126,69.0,1.1349750274701e14,-3.306559508117482e15,56.0,0.0,-5.172241812244553e15,"ArgumentError(""Month: 113497502747010 out of range (1:12)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
95,2,0,2,1,1.4941072395777762e-16,8.016837044708171e-15,0.018637116249781083,1.771902332536945e15,4.8290644334135e13,-1.0616621265125472e16,-2.28068811821299e14,3.6435887473269e13,-9.2945484002084e15,"ArgumentError(""Month: 48290644334135 out of range (1:12)"")","ArgumentError(""Month: 36435887473269 out of range (1:12)"")"
36,41,12,2,1,1.489271988858328e-16,4.969203658867745e-14,0.002997003325071336,3.507673936588006e15,1.0,9637.0,0.0,20.0,5.19108734756e11,"ArgumentError(""Day: 3507673936588006 out of range (1:31)"")","ArgumentError(""Month: 20 out of range (1:12)"")"
61,38,1,2,1,1.4802534977899567e-16,0.14893617021276595,9.938844913732566e-16,6.10619130046227e14,118.0,8.793688e6,1.748803025245987e15,-101.0,-4.94148422433681e14,"ArgumentError(""Month: 118 out of range (1:12)"")","ArgumentError(""Month: -101 out of range (1:12)"")"
44,53,3,1,1,1.476783095159287e-16,2.0454946724011422e-16,0.72196868321624,110.0,-44931.0,8.236363599684939e15,3.0,3.0,1.4779586758176172e16,"ArgumentError(""Month: -44931 out of range (1:12)"")",1570-54255129628557499-3689348814741910354
86,17,0,2,1,1.4520346973314839e-16,1.2956075559115187e-14,0.011207365152404591,7.342609332190214e16,-5.672876193207455e15,4.38033484e8,7.13699722255163e16,-7.954215859680951e15,4.21995973e8,"ArgumentError(""Month: -5672876193207455 out of range (1:12)"")","ArgumentError(""Month: -7954215859680951 out of range (1:12)"")"
40,49,14,2,1,1.450398514168119e-16,2.324536440997193e-15,0.06239517215509509,0.0,2.088357021584652e15,2.51567674904564e14,0.0,-2.0,-5772.0,"ArgumentError(""Month: 2088357021584652 out of range (1:12)"")","ArgumentError(""Month: -2 out of range (1:12)"")"
53,67,7,1,1,1.4475846199316682e-16,3.7523422813191645e-16,0.3857816029039757,86.0,2.449491160095291e15,8.710800067500037e15,3.0,3.0,1.4779586758176172e16,"ArgumentError(""Month: 2449491160095291 out of range (1:12)"")",1570-54255129628557499-3689348814741910354
34,42,16,2,1,1.4310352689677932e-16,4.1329871067013863e-14,0.003462472134615317,-2.0,-3.546122849456692e15,1.0,-70.0,7.0,5.692228987e9,"ArgumentError(""Month: -3546122849456692 out of range (1:12)"")","ArgumentError(""Day: -70 out of range (1:31)"")"
41,46,10,2,1,1.4135095954150467e-16,1.3110295661253894e-14,0.010781675958632468,-9.0,-3484.0,2.421638763360326e15,13.0,2.59607418854961e14,3.0,"ArgumentError(""Month: -3484 out of range (1:12)"")","ArgumentError(""Month: 259607418854961 out of range (1:12)"")"
76,31,5,2,1,1.4054427722218235e-16,1.6583071717365708e-15,0.08475165495123868,2.560347514624005e15,-1.087321369141025e15,2.376556967078e12,5.16776439332375e15,2.67926860884e11,17.0,"ArgumentError(""Month: -1087321369141025 out of range (1:12)"")","ArgumentError(""Month: 267926860884 out of range (1:12)"")"
33,41,9,2,1,1.3991357566271175e-16,2.3417829861283872e-15,0.059746601837784914,33.0,-2.366668793e9,2.0,1.0,62.0,1.753103783574244e15,"ArgumentError(""Month: -2366668793 out of range (1:12)"")","ArgumentError(""Month: 62 out of range (1:12)"")"
43,70,0,2,1,1.3957725841424548e-16,1.343456305112837e-15,0.10389415560673734,259.0,-3.768379893019185e16,2.0,14.0,-4.072625397674573e16,0.0,"ArgumentError(""Month: -37683798930191851 out of range (1:12)"")","ArgumentError(""Month: -40726253976745725 out of range (1:12)"")"
75,21,9,2,1,1.3890232569416064e-16,5.039099569687899e-15,0.027564909915595032,3.1239217372517656e16,-6.02904965221962e14,1.35790397e8,3.339905308698397e16,-191619.0,1.84667176e8,"ArgumentError(""Month: -602904965221962 out of range (1:12)"")","ArgumentError(""Month: -191619 out of range (1:12)"")"
