bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
9,0,10,1,1,0.006409776398014637,0.9473684210526316,0.006765875086793227,19,-50.0,60.0,92.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
13,0,6,1,1,0.006408448053702744,0.04484620991237855,0.14289831997450178,1286,-31.0,1164.0,46.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,0,17,0,1,0.006357701775596365,0.14907119849998599,0.04264876005271376,50,59.0,204.0,91.0,Severely obese,Normal
11,0,10,1,1,0.006300128618438632,0.07840476839390854,0.08035389616593912,-128,-17.0,18.0,19.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,2,6,1,1,0.006271773232835226,0.009243434516796292,0.6785111336526218,1,-147.0,12.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
10,0,10,1,1,0.006172862010913625,0.0861244019138756,0.07167378668227486,93,38.0,-42.0,-35.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,10,1,1,0.006132380387346135,0.07840476839390854,0.07821438048942154,41,25.0,-44.0,-104.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,10,1,1,0.006101397301926139,0.07840476839390854,0.07781921210802495,-20,-46.0,30.0,101.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,10,1,1,0.006068636705655905,0.9473684210526316,0.006405783189303455,58,20.0,-83.0,87.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,10,1,1,0.006057833218642827,0.07840476839390854,0.07726358157463131,39,13.0,-105.0,-48.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.006022477346480998,0.9473684210526316,0.006357059421285497,99,75.0,-48.0,19.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,8,1,1,0.006011869641709846,0.08199643493761141,0.07331867106520051,-83,8.0,67.0,11.0,"DomainError(""Height or Weight cannot be negative."", """")",Overweight
9,0,6,1,1,0.0060079922171207036,0.9245283018867925,0.006498440561375455,110,6.0,-26.0,78.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,10,1,1,0.005994442065541481,0.0861244019138756,0.06960213287212053,117,-50.0,13.0,69.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
11,0,6,1,1,0.005989807568059874,0.08108649612461213,0.07386935993454269,558,43.0,478.0,-89.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,10,1,1,0.005979021868973993,0.0861244019138756,0.06942308725642024,194,-77.0,79.0,32.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,6,1,1,0.005953434403667832,0.9245283018867925,0.006439429048865206,151,35.0,-3.0,55.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,10,1,1,0.0059485351460276436,0.0861244019138756,0.06906910252887652,-96,65.0,34.0,157.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
12,0,13,0,1,0.005945643676931176,0.04038961958610097,0.14720722150542892,336,298.0,408.0,146.0,Obese,Underweight
11,1,6,1,1,0.005929144083906667,0.08108649612461213,0.07312122692778432,989,1.0,1144.0,-16.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,11,0,1,0.005882251173005375,1.0,0.005882251173005375,328,201.0,327.0,31.0,Normal,Underweight
12,0,10,1,1,0.005876685847961561,0.028460925858605195,0.20648259572289135,-13,467.0,145.0,499.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,10,1,1,0.005864849837710449,0.0861244019138756,0.06809742311563799,-77,100.0,65.0,23.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,17,0,1,0.005826077507050194,0.14907119849998599,0.039082516043840235,11,33.0,180.0,63.0,Severely obese,Normal
11,0,6,1,1,0.0057167756723260415,0.08108649612461213,0.07050219143198164,932,-14.0,809.0,91.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
10,1,6,1,1,0.005651463502502113,0.6537402316630345,0.00864481521678035,-106,-28.0,55.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,0,10,1,1,0.005643498445622193,0.9473684210526316,0.005957026137045648,66,42.0,-96.0,86.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,10,1,1,0.005626651697668982,0.0861244019138756,0.06533167804515651,45,29.0,-85.0,136.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,1,10,1,1,0.005610446780650988,0.009473684210526316,0.5922138268464932,-161,12.0,7.0,29.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
11,0,10,1,1,0.005603866645973628,0.07840476839390854,0.07147354377503659,97,166.0,-69.0,198.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,10,1,1,0.005596332919915561,0.0861244019138756,0.06497964334790846,-64,29.0,80.0,118.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
11,0,6,1,1,0.005553348572236355,0.08108649612461213,0.06848672513487422,255,63.0,109.0,-17.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,7,1,1,0.0055394244659048054,0.03090349343902322,0.17924913495087022,139,41.0,-26.0,-12.0,Normal,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,10,1,1,0.005534585411087236,0.07840476839390854,0.07058990829845027,40,103.0,-78.0,-21.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,10,1,1,0.005392096100159596,0.0861244019138756,0.06260822694074197,187,-4.0,77.0,133.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
