bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
10,9,9,0,1,9.718456313054927e-6,0.0,1.0,-102897.0,5.0,in,out,9.99959999800152e-6,0.9718845068799971
13,8,6,1,1,9.4945137140314e-6,-103226.0,5521.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.81235248528154e-6,0.9676083006876387
15,7,9,0,1,9.460676222087844e-6,17458.0,-104256.0,0.0,-7.0,out,in,9.989345960502388e-6,0.9470766414032621
14,7,9,0,1,9.438960032211163e-6,-105842.0,3471.0,45.0,0.0,out,in,9.998293526407227e-6,0.9440571040729333
11,8,6,1,1,9.415502757564595e-6,0.0,0.0,36.0,-104241.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814716165144735e-6,0.9593250175692418
16,8,9,0,1,9.323261222403963e-6,-26368.0,-103952.0,0.0,15.0,out,in,9.931305216993073e-6,0.9387750168478651
10,9,6,1,1,8.850467830073876e-6,0.0,0.0,5.0,-110896.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814716667648138e-6,0.9017547963709766
14,6,9,0,1,8.786418928269977e-6,-40.0,-59.0,8.0,-113871.0,in,out,1.0003000738124198e-5,0.8783783144974197
14,9,9,0,1,8.74135106041786e-6,1.0,1.0,-108860.0,35163.0,in,out,9.994925939527854e-6,0.874578872650535
15,10,9,0,1,8.685602651086504e-6,-16427.0,-113955.0,1.0,0.0,out,in,9.93790765129651e-6,0.8739870560130805
15,5,9,0,1,8.48925537091908e-6,-4.0,41.0,-117791.0,1494.0,in,out,9.996628580736922e-6,0.8492118420081661
12,8,6,1,1,8.298357619648737e-6,-118274.0,209.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.814390331493166e-6,0.8455296090089603
18,5,9,0,1,8.256621955377371e-6,-120575.0,-11182.0,24.0,-15.0,out,in,9.886450821950143e-6,0.8351452006463042
17,4,9,0,1,8.06564260568756e-6,-26.0,14.0,-23764.0,121703.0,in,out,6.81049247473925e-5,0.11842965300385806
16,4,9,0,1,7.96097718218373e-6,7455.0,-125366.0,-72.0,21.0,out,in,9.997648475710112e-6,0.7962849665624274
14,9,6,1,1,6.4621198400994555e-6,0.0,0.0,-149453.0,27056.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.787877278836126e-6,0.6602166798793235
17,7,9,0,1,5.639721032499634e-6,-44.0,6.0,-16180.0,-176572.0,in,out,9.875072997200001e-6,0.5711067689422379
17,6,9,0,1,5.027926474553551e-6,21.0,15.0,163809.0,-112814.0,in,out,9.896727124652005e-6,0.5080393155459813
16,12,9,0,1,3.723605073002279e-6,-118484.0,-241004.0,0.0,3.0,out,in,6.748618450040081e-6,0.5517581265807321
15,10,6,1,1,3.5339710611427444e-6,0.0,0.0,-270622.0,-62421.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.643680030969169e-6,0.3664546158514125
17,10,9,0,1,2.639633207746631e-6,-104391.0,-364153.0,73.0,0.0,out,in,6.911655206765096e-6,0.3819104293806454
18,9,9,0,1,1.8444360584888532e-6,-517051.0,-163131.0,0.0,-12.0,out,in,6.59500081886528e-6,0.27967184677411494
18,3,9,0,1,1.8138226105344847e-6,-542281.0,99511.0,-16.0,-10.0,out,in,6.668215947300973e-5,0.0272010178564875
18,8,9,0,1,1.4560941583554397e-6,65.0,-1.0,-507239.0,-462920.0,in,out,6.834065715200068e-6,0.213064114252933
16,12,6,1,1,1.431569623902357e-6,-506649.0,-461900.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",6.529245192436695e-6,0.21925499528806933
12,11,9,0,1,9.982211682022422e-7,1.0,-1.001782e6,59.0,0.0,out,in,9.999570018469207e-7,0.9982640917144714
13,10,9,0,1,9.976017653243136e-7,-8.0,-1.002405e6,0.0,-1.0,out,in,9.999930000489996e-7,0.9976087485366709
11,12,9,0,1,9.974057476424234e-7,4.0,0.0,0.0,-1.002601e6,in,out,9.99998999999e-7,0.9974067450501659
16,10,9,0,1,9.95843368531879e-7,-1.002908e6,50508.0,-5.0,1.0,out,in,9.99871641193705e-7,0.9959712102075252
17,8,9,0,1,9.901861522868657e-7,-65.0,1.0,49887.0,-1.008674e6,in,out,9.99945182871206e-7,0.9902404344242967
11,12,6,1,1,9.783868438937579e-7,-1.003163e6,1.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.814206333977947e-7,0.9969087775406419
14,11,9,0,1,9.77892934299016e-7,0.0,1.0,-1.022606e6,1309.0,in,out,9.999580344053146e-7,0.9779339738797929
