bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
9,0,35,1,1,21.379544565712465,-406.5,4840573,0.5,0.7071067811865476,0.7071067811865475,1,-1,-1,1,1,-1,"ArgumentError(""Month: -1 out of range (1:12)"")",0001-01-01
13,2,33,1,1,30.295200630880835,-365.0,6184805,0.5,0.7071067811865476,0.7071067811865475,1,8,-178,-1,8,-178,0178-08-01,"ArgumentError(""Day: -1 out of range (1:31)"")"
11,0,36,1,1,45.36182464663464,-8.0,29537385,0.5,0.6932419423397524,0.7212489168102785,8,1,228,8,-1,228,0228-01-08,"ArgumentError(""Month: -1 out of range (1:12)"")"
7,0,1,0,1,0.7999140521279213,-397.0,4262972,0.49497474683058323,0.49497474683058323,1.0,4,3,0,4,2,-1,0000-03-04,0001-02-04
12,2,0,0,1,32.0374132520622,-349.5,6988414,0.49497474683058323,0.6666666666666667,0.7424621202458748,1,9,-177,1,8,-178,0177-09-01,0178-08-01
13,0,36,1,1,40.74740488454625,-159.0,19265757,0.49019607843137253,0.6932419423397524,0.7071067811865476,18,1,253,18,-1,253,0253-01-18,"ArgumentError(""Month: -1 out of range (1:12)"")"
13,0,33,1,1,26.54032067854013,-378.5,5373107,0.49,0.9803921568627451,0.4998,-1,10,-47,1,10,-47,"ArgumentError(""Day: -1 out of range (1:31)"")",0047-10-01
15,1,33,1,1,25.236860075623408,-386.0,5192134,0.4897959183673469,0.9803921568627451,0.4995918367346939,-1,12,-169,1,12,-169,"ArgumentError(""Day: -1 out of range (1:31)"")",0169-12-01
11,0,0,0,1,15.76838917455523,-397.5,4665157,0.48953546389837904,0.5983211225424633,0.8181818181818181,1,9,-48,1,10,-47,0048-09-01,0047-10-01
12,0,0,0,1,33.45354843328355,-320.5,8468114,0.48953546389837904,0.6153846153846154,0.795495128834866,3,12,-40,3,11,-39,0040-12-03,0039-11-03
8,0,35,1,1,5.553741214263998,-389.5,4305052,0.4472135954999579,1.0,0.4472135954999579,1,-1,0,1,1,-1,"ArgumentError(""Month: -1 out of range (1:12)"")",0001-01-01
8,0,36,1,1,11.69739530338842,-367.0,4510348,0.4472135954999579,0.98,0.45634040357138567,1,-1,-1,1,1,0,"ArgumentError(""Month: -1 out of range (1:12)"")",0000-01-01
8,0,33,1,1,23.454396801641757,-342.0,4981462,0.4472135954999579,1.0,0.4472135954999579,1,1,-1,-1,1,0,0001-01-01,"ArgumentError(""Day: -1 out of range (1:31)"")"
14,1,33,1,1,24.60871717832826,-346.0,5030910,0.4472135954999579,1.0,0.4472135954999579,-1,10,-178,1,9,-178,"ArgumentError(""Day: -1 out of range (1:31)"")",0178-09-01
9,0,34,1,1,27.52210766806223,-344.0,5407823,0.4472135954999579,0.9795918367346939,0.4565305454062071,-1,0,-1,1,1,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",0001-01-01
12,0,33,1,1,28.499651349452098,-340.0,5766083,0.4472135954999579,1.0,0.4472135954999579,1,9,-48,-1,10,-48,0048-09-01,"ArgumentError(""Day: -1 out of range (1:31)"")"
10,0,33,1,1,37.76231429142592,-233.0,11596334,0.4472135954999579,1.0,0.4472135954999579,1,3,-10,-1,3,-9,0010-03-01,"ArgumentError(""Day: -1 out of range (1:31)"")"
15,1,35,1,1,32.47568257565216,-294.5,7090853,0.4382693235899588,0.6932419423397524,0.6322025498208624,-1,13,-169,1,12,-169,"ArgumentError(""Month: 13 out of range (1:12)"")",0169-12-01
14,0,0,0,1,36.60799391473942,-247.5,10873266,0.43514263457633695,0.7,0.6216323351090528,10,12,-33,10,11,-34,0033-12-10,0034-11-10
13,0,0,0,1,36.17285128016308,-231.5,10683055,0.4123930494211613,0.6060915267313265,0.6804138174397717,10,11,-34,9,12,-33,0034-11-10,0033-12-09
12,2,1,2,1,41.15481229195366,-119.0,19275996,0.40740740740740744,0.40740740740740744,1.0,-117,0,1,-117,1,1,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: -117 out of range (1:31)"")"
16,1,2,2,1,26.93654709363447,-335.5,5381454,0.39622641509433965,0.39622641509433965,1.0,-1,12,-169,-1,13,-169,"ArgumentError(""Day: -1 out of range (1:31)"")","ArgumentError(""Month: 13 out of range (1:12)"")"
10,1,0,2,1,42.490416212499966,-53.0,25163786,0.39622641509433965,0.39622641509433965,1.0,-98,0,4,-98,1,4,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: -98 out of range (1:31)"")"
8,0,1,2,1,2.7071131452698,-319.5,4279812,0.3846153846153846,0.3846153846153846,1.0,-1,0,0,-1,1,0,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
14,1,3,2,1,16.153004559170615,-293.5,4693156,0.3846153846153846,0.3846153846153846,1.0,0,12,-169,0,13,-169,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Month: 13 out of range (1:12)"")"
10,0,1,2,1,23.0071832061418,-294.0,4977309,0.3846153846153846,0.3846153846153846,1.0,-1,0,-1,-1,1,-1,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
12,0,1,2,1,43.230899809511165,-23.5,27357880,0.3846153846153846,0.40740740740740744,0.9440559440559438,33,0,243,33,1,243,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: 33 out of range (1:31)"")"
10,0,35,1,1,38.85102475827043,-131.5,15551818,0.3333333333333333,1.0,0.3333333333333333,1,1,-3,-1,-1,-4,0003-01-01,"ArgumentError(""Month: -1 out of range (1:12)"")"
6,0,2,2,1,1.106036501107513,-260.5,4264560,0.30612244897959184,0.30612244897959184,1.0,0,0,0,0,1,0,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: 0 out of range (1:31)"")"
8,0,2,2,1,12.250389655664282,-245.0,4550851,0.30612244897959184,0.30612244897959184,1.0,0,0,-1,0,1,-1,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: 0 out of range (1:31)"")"
15,1,2,2,1,25.51703446062185,-203.0,5223152,0.2801743849984434,0.2801743849984434,1.0,0,13,-169,-1,12,-169,"ArgumentError(""Month: 13 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
7,0,1,2,1,0.30493930529733804,-224.0,4225482,0.27196414661021057,0.27196414661021057,1.0,0,0,0,-1,1,0,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
9,0,1,2,1,11.250181707888462,-218.5,4506055,0.27196414661021057,0.27196414661021057,1.0,-1,0,-1,-1,1,0,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
15,1,3,2,1,25.927345586159863,-206.0,5327023,0.27196414661021057,0.27196414661021057,1.0,0,12,-169,-1,13,-169,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Month: 13 out of range (1:12)"")"
13,2,35,1,1,42.07352515328431,-39.5,23994442,0.23570226039551584,0.7071067811865476,0.3333333333333333,1,9,-171,2,13,-172,0171-09-01,"ArgumentError(""Month: 13 out of range (1:12)"")"
7,0,2,2,1,1.3224977606544155,-186.0,4271850,0.21646125954690232,0.21646125954690232,1.0,0,1,0,-1,0,0,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
9,0,2,2,1,17.962489074531472,-179.0,4751833,0.21646125954690232,0.2801743849984434,0.7725947521865889,0,1,-1,-1,0,-1,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
9,0,36,1,1,39.14545924899101,-77.0,16821138,0.2041241452319315,0.6932419423397524,0.29444863728670917,1,1,0,-1,-1,-4,0000-01-01,"ArgumentError(""Month: -1 out of range (1:12)"")"
13,0,2,2,1,43.67475662657868,-11.5,27807913,0.19811320754716982,0.2801743849984434,0.7071067811865475,33,1,243,33,-1,243,"ArgumentError(""Day: 33 out of range (1:31)"")","ArgumentError(""Month: -1 out of range (1:12)"")"
7,0,3,2,1,2.899420837577492,-140.0,4280420,0.1923076923076923,0.1923076923076923,1.0,0,-1,0,0,1,0,"ArgumentError(""Month: -1 out of range (1:12)"")","ArgumentError(""Day: 0 out of range (1:31)"")"
9,0,3,2,1,32.75864498349659,-130.5,7572216,0.1923076923076923,0.27196414661021057,0.7071067811865475,0,-1,-1,0,1,-1,"ArgumentError(""Month: -1 out of range (1:12)"")","ArgumentError(""Day: 0 out of range (1:31)"")"
11,0,1,2,1,42.71897118754309,-17.0,26362550,0.18867924528301888,0.27196414661021057,0.6937651438056693,-98,1,4,-98,-1,4,"ArgumentError(""Day: -98 out of range (1:31)"")","ArgumentError(""Month: -1 out of range (1:12)"")"
11,1,1,2,1,41.7910534307544,-38.5,22523045,0.18384776310850237,0.26683274761756515,0.689,-100,1,2,-99,2,2,"ArgumentError(""Day: -100 out of range (1:31)"")","ArgumentError(""Day: -99 out of range (1:28)"")"
13,2,0,2,1,41.47991518392244,-59.5,19430449,0.17924528301886794,0.2090909090909091,0.8572600492206727,-117,-1,1,-117,1,1,"ArgumentError(""Month: -1 out of range (1:12)"")","ArgumentError(""Day: -117 out of range (1:31)"")"
10,0,3,2,1,29.795200630880835,-115.0,6013830,0.17200522903844534,0.3846153846153846,0.4472135954999579,0,1,-1,-1,-1,-1,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Month: -1 out of range (1:12)"")"
8,0,3,2,1,32.964012969385166,-119.0,8124987,0.17200522903844534,0.3846153846153846,0.4472135954999579,0,1,0,-1,-1,0,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Month: -1 out of range (1:12)"")"
12,0,36,1,1,43.82725519691128,-8.0,28031344,0.15249857033260467,0.9803921568627451,0.15554854173925678,10,3,226,7,-2,229,0226-03-10,"ArgumentError(""Month: -2 out of range (1:12)"")"
8,0,0,2,1,7.411296246766833,-116.0,4320093,0.1504482513162867,0.1767766952966369,0.8510638297872339,-2,2,0,-1,1,0,"ArgumentError(""Day: -2 out of range (1:29)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
10,0,0,2,1,11.94426720668469,-113.0,4523966,0.1504482513162867,0.2109549060500556,0.7131773047297045,-1,1,-1,-2,2,-1,"ArgumentError(""Day: -1 out of range (1:31)"")","ArgumentError(""Day: -2 out of range (1:28)"")"
12,0,0,2,1,43.46830458256658,-13.0,27547075,0.1504482513162867,0.39622641509433965,0.3797027295125331,32,2,243,33,1,243,"ArgumentError(""Day: 32 out of range (1:28)"")","ArgumentError(""Day: 33 out of range (1:31)"")"
11,0,2,2,1,21.622567821526417,-101.5,4889553,0.15000000000000002,0.2801743849984434,0.5353808486126718,-1,-1,-1,-1,1,-1,"ArgumentError(""Month: -1 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
12,2,0,2,1,41.29911979831826,-39.0,19398406,0.14430750636460155,0.18384776310850237,0.7849293563579278,-116,1,1,-117,2,1,"ArgumentError(""Day: -116 out of range (1:31)"")","ArgumentError(""Day: -117 out of range (1:28)"")"
15,1,1,2,1,24.747064157256062,-102.5,5038403,0.13834697892780276,0.28808054048340825,0.4802371541501976,-1,12,-169,0,11,-169,"ArgumentError(""Day: -1 out of range (1:31)"")","ArgumentError(""Day: 0 out of range (1:30)"")"
14,1,1,2,1,25.655381439549654,-108.0,5252524,0.13834697892780276,0.40740740740740744,0.33957894827733404,-1,10,-178,0,9,-178,"ArgumentError(""Day: -1 out of range (1:31)"")","ArgumentError(""Day: 0 out of range (1:30)"")"
13,0,1,2,1,27.074894072562273,-107.5,5401287,0.13834697892780276,0.28808054048340825,0.4802371541501976,0,10,-47,-1,11,-47,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Day: -1 out of range (1:30)"")"
13,2,1,2,1,28.6379983283799,-111.5,5826970,0.13834697892780276,0.28808054048340825,0.4802371541501976,0,9,-178,-1,8,-178,"ArgumentError(""Day: 0 out of range (1:30)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
6,0,0,2,1,9.769026141543598,-112.0,4414897,0.13636363636363635,0.13636363636363635,1.0,0,1,0,0,2,0,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Day: 0 out of range (1:29)"")"
10,0,2,2,1,18.09665315318146,-106.0,4776065,0.1341640786499874,0.39622641509433965,0.33860457944996813,-1,1,-1,-1,-1,0,"ArgumentError(""Day: -1 out of range (1:31)"")","ArgumentError(""Month: -1 out of range (1:12)"")"
9,0,0,2,1,26.050320678540132,-75.5,5327634,0.12297509238026913,0.2583659392797001,0.4759725400457665,-2,2,0,-1,2,-1,"ArgumentError(""Day: -2 out of range (1:29)"")","ArgumentError(""Day: -1 out of range (1:28)"")"
16,1,0,2,1,30.418175723261104,-84.0,6226491,0.12297509238026913,0.4181818181818182,0.29407087308325225,-1,11,-169,-2,12,-169,"ArgumentError(""Day: -1 out of range (1:30)"")","ArgumentError(""Day: -2 out of range (1:31)"")"
15,1,0,2,1,30.541150815641373,-91.0,6254195,0.12297509238026913,0.29569919940528355,0.41587901701323243,-2,10,-178,-1,9,-178,"ArgumentError(""Day: -2 out of range (1:31)"")","ArgumentError(""Day: -1 out of range (1:30)"")"
13,0,0,2,1,34.08682413153942,-67.0,10410174,0.12297509238026913,0.2801743849984434,0.43892339544513453,-1,10,-48,-2,9,-48,"ArgumentError(""Day: -1 out of range (1:31)"")","ArgumentError(""Day: -2 out of range (1:30)"")"
14,0,0,2,1,38.509010931362255,-65.5,12326727,0.12297509238026913,0.1504482513162867,0.8173913043478261,-1,11,-47,-2,10,-47,"ArgumentError(""Day: -1 out of range (1:30)"")","ArgumentError(""Day: -2 out of range (1:31)"")"
15,0,1,2,1,39.25570360894281,-45.0,17587750,0.10869565217391308,0.28808054048340825,0.3773099425303713,-10,-9,-5,-10,-10,-5,"ArgumentError(""Month: -9 out of range (1:12)"")","ArgumentError(""Month: -10 out of range (1:12)"")"
7,0,0,2,1,11.793818955368405,-67.5,4522469,0.09642365197998375,0.09642365197998375,1.0,0,1,-1,0,2,0,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Day: 0 out of range (1:29)"")"
14,1,2,2,1,38.38603583898198,-49.0,12310747,0.09339146166614778,0.22876142741475738,0.408248290463863,0,13,-169,-1,9,-170,"ArgumentError(""Month: 13 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:30)"")"
