year,month,day,output,outputtype,datatype,metric,n_year,n_month,n_day,n_output,n_outputtype,n_datatype,count
102,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,102,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,2
3,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,3,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,2
1,999,0,"ArgumentError(""Month: 999 out of range (1:12)"")",error,ArgumentError,1.0,1,1000,0,"ArgumentError(""Month: 1000 out of range (1:12)"")",error,ArgumentError,2
1,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,1,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,5
1,-1,0,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,1,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,3
0,99,0,"ArgumentError(""Month: 99 out of range (1:12)"")",error,ArgumentError,1.0,0,100,0,"ArgumentError(""Month: 100 out of range (1:12)"")",error,ArgumentError,2
0,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,0,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,11
0,-1,0,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,0,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2
0,-10,1,"ArgumentError(""Month: -10 out of range (1:12)"")",error,ArgumentError,1.0,0,-9,1,"ArgumentError(""Month: -9 out of range (1:12)"")",error,ArgumentError,2
-1,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,-1,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,2
7339325254011244238,0,33,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,7339325254011244238,1,33,"ArgumentError(""Day: 33 out of range (1:31)"")",error,ArgumentError,1
3951063266903033842,0,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,3951063266903033842,1,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",error,ArgumentError,1
1909176030276752928,-1,9,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,1909176030276752928,0,9,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1
1298991768162417746,0,3119843,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,4.0,1298991768162417746,1,3119843,"ArgumentError(""Day: 3119843 out of range (1:31)"")",error,ArgumentError,1
946357724548318380,-1,-4,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,946357724548318380,0,-4,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1
619205202741996632,4,-100000000000000,"ArgumentError(""Day: -100000000000000 out of range (1:30)"")",error,ArgumentError,1.0,619205202741996632,4,-99999999999999,"ArgumentError(""Day: -99999999999999 out of range (1:30)"")",error,ArgumentError,1
330289454577623570,0,-1557,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,330289454577623570,1,-1557,"ArgumentError(""Day: -1557 out of range (1:31)"")",error,ArgumentError,1
145891516582856930,12,215,"ArgumentError(""Day: 215 out of range (1:31)"")",error,ArgumentError,1.0,145891516582856930,13,215,"ArgumentError(""Month: 13 out of range (1:12)"")",error,ArgumentError,1
134785661036154803,-100,40,"ArgumentError(""Month: -100 out of range (1:12)"")",error,ArgumentError,1.0,134785661036154803,-99,40,"ArgumentError(""Month: -99 out of range (1:12)"")",error,ArgumentError,1
104761378054955771,0,-8548479899,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,8.0,104761378054955771,1,-8548479899,"ArgumentError(""Day: -8548479899 out of range (1:31)"")",error,ArgumentError,1
57911845505878055,99,784,"ArgumentError(""Month: 99 out of range (1:12)"")",error,ArgumentError,1.0,57911845505878055,100,784,"ArgumentError(""Month: 100 out of range (1:12)"")",error,ArgumentError,1
57230295185705658,0,122330,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,3.0,57230295185705658,1,122330,"ArgumentError(""Day: 122330 out of range (1:31)"")",error,ArgumentError,1
20940277374736669,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,20940277374736669,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,1
14808268909714956,99,1,"ArgumentError(""Month: 99 out of range (1:12)"")",error,ArgumentError,1.0,14808268909714956,100,1,"ArgumentError(""Month: 100 out of range (1:12)"")",error,ArgumentError,1
4155205601817878,0,8021059173341091,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,13.0,4155205601817878,1,8021059173341091,"ArgumentError(""Day: 8021059173341091 out of range (1:31)"")",error,ArgumentError,1
1156772468603517,-10,1,"ArgumentError(""Month: -10 out of range (1:12)"")",error,ArgumentError,1.0,1156772468603517,-9,1,"ArgumentError(""Month: -9 out of range (1:12)"")",error,ArgumentError,1
174655583800107,-10,707558937,"ArgumentError(""Month: -10 out of range (1:12)"")",error,ArgumentError,1.0,174655583800107,-9,707558937,"ArgumentError(""Month: -9 out of range (1:12)"")",error,ArgumentError,1
66060476247611,999,37090558,"ArgumentError(""Month: 999 out of range (1:12)"")",error,ArgumentError,1.0,66060476247611,1000,37090558,"ArgumentError(""Month: 1000 out of range (1:12)"")",error,ArgumentError,1
60651215874707,-1,116,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,60651215874707,0,116,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1
8189293312223,0,7845120,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,4.0,8189293312223,1,7845120,"ArgumentError(""Day: 7845120 out of range (1:31)"")",error,ArgumentError,1
2913575866016,-1,13650,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,2913575866016,0,13650,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1
1693530184758,-10000,3,"ArgumentError(""Month: -10000 out of range (1:12)"")",error,ArgumentError,1.0,1693530184758,-9999,3,"ArgumentError(""Month: -9999 out of range (1:12)"")",error,ArgumentError,1
1319035998578,0,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,1319035998578,1,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",error,ArgumentError,1
321596118843,-100,-934750421,"ArgumentError(""Month: -100 out of range (1:12)"")",error,ArgumentError,1.0,321596118843,-99,-934750421,"ArgumentError(""Month: -99 out of range (1:12)"")",error,ArgumentError,1
41871947603,12,-32,"ArgumentError(""Day: -32 out of range (1:31)"")",error,ArgumentError,1.0,41871947603,13,-32,"ArgumentError(""Month: 13 out of range (1:12)"")",error,ArgumentError,1
12087415505,0,5756,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,12087415505,1,5756,"ArgumentError(""Day: 5756 out of range (1:31)"")",error,ArgumentError,1
11046689770,-10,-13361,"ArgumentError(""Month: -10 out of range (1:12)"")",error,ArgumentError,1.0,11046689770,-9,-13361,"ArgumentError(""Month: -9 out of range (1:12)"")",error,ArgumentError,1
6913773908,0,2969,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,6913773908,1,2969,"ArgumentError(""Day: 2969 out of range (1:31)"")",error,ArgumentError,1
4681176457,-10000,1,"ArgumentError(""Month: -10000 out of range (1:12)"")",error,ArgumentError,1.0,4681176457,-9999,1,"ArgumentError(""Month: -9999 out of range (1:12)"")",error,ArgumentError,1
2226786586,0,235053,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,3.0,2226786586,1,235053,"ArgumentError(""Day: 235053 out of range (1:31)"")",error,ArgumentError,1
2207363361,0,-436,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,2207363361,1,-436,"ArgumentError(""Day: -436 out of range (1:31)"")",error,ArgumentError,1
1486238176,9999999,-620858613,"ArgumentError(""Month: 9999999 out of range (1:12)"")",error,ArgumentError,1.0,1486238176,10000000,-620858613,"ArgumentError(""Month: 10000000 out of range (1:12)"")",error,ArgumentError,1
1451535076,-100,1,"ArgumentError(""Month: -100 out of range (1:12)"")",error,ArgumentError,1.0,1451535076,-99,1,"ArgumentError(""Month: -99 out of range (1:12)"")",error,ArgumentError,1
1404361089,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,1404361089,1,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",error,ArgumentError,1
1103611552,0,7718682,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,4.0,1103611552,1,7718682,"ArgumentError(""Day: 7718682 out of range (1:31)"")",error,ArgumentError,1
858752453,999999,-4,"ArgumentError(""Month: 999999 out of range (1:12)"")",error,ArgumentError,1.0,858752453,1000000,-4,"ArgumentError(""Month: 1000000 out of range (1:12)"")",error,ArgumentError,1
736577871,-100000,2784,"ArgumentError(""Month: -100000 out of range (1:12)"")",error,ArgumentError,1.0,736577871,-99999,2784,"ArgumentError(""Month: -99999 out of range (1:12)"")",error,ArgumentError,1
724723203,-1000,0,"ArgumentError(""Month: -1000 out of range (1:12)"")",error,ArgumentError,1.0,724723203,-999,0,"ArgumentError(""Month: -999 out of range (1:12)"")",error,ArgumentError,1
721286698,-1000,1,"ArgumentError(""Month: -1000 out of range (1:12)"")",error,ArgumentError,1.0,721286698,-999,1,"ArgumentError(""Month: -999 out of range (1:12)"")",error,ArgumentError,1
720796784,9999,0,"ArgumentError(""Month: 9999 out of range (1:12)"")",error,ArgumentError,1.0,720796784,10000,0,"ArgumentError(""Month: 10000 out of range (1:12)"")",error,ArgumentError,1
709606278,0,-1264,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,709606278,1,-1264,"ArgumentError(""Day: -1264 out of range (1:31)"")",error,ArgumentError,1
549302734,-1000000,187,"ArgumentError(""Month: -1000000 out of range (1:12)"")",error,ArgumentError,1.0,549302734,-999999,187,"ArgumentError(""Month: -999999 out of range (1:12)"")",error,ArgumentError,1
516433716,9999999999999999,104,"ArgumentError(""Month: 9999999999999999 out of range (1:12)"")",error,ArgumentError,1.0,516433716,10000000000000000,104,"ArgumentError(""Month: 10000000000000000 out of range (1:12)"")",error,ArgumentError,1
413513388,11,99,"ArgumentError(""Day: 99 out of range (1:30)"")",error,ArgumentError,1.0,413513388,11,100,"ArgumentError(""Day: 100 out of range (1:30)"")",error,ArgumentError,1
295461296,-1,1,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,295461296,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1
292336351,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,292336351,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,1
244982418,0,-100,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,244982418,1,-100,"ArgumentError(""Day: -100 out of range (1:31)"")",error,ArgumentError,1
199895600,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,199895600,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,1
186958369,0,5667,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,186958369,1,5667,"ArgumentError(""Day: 5667 out of range (1:31)"")",error,ArgumentError,1
165770617,0,86,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,165770617,1,86,"ArgumentError(""Day: 86 out of range (1:31)"")",error,ArgumentError,1
135312937,-100,1,"ArgumentError(""Month: -100 out of range (1:12)"")",error,ArgumentError,1.0,135312937,-99,1,"ArgumentError(""Month: -99 out of range (1:12)"")",error,ArgumentError,1
124375145,12,47,"ArgumentError(""Day: 47 out of range (1:31)"")",error,ArgumentError,2.0,124375145,13,47,"ArgumentError(""Month: 13 out of range (1:12)"")",error,ArgumentError,1
121255473,6,-100000000,"ArgumentError(""Day: -100000000 out of range (1:30)"")",error,ArgumentError,1.0,121255473,6,-99999999,"ArgumentError(""Day: -99999999 out of range (1:30)"")",error,ArgumentError,1
61268816,9,-100000,"ArgumentError(""Day: -100000 out of range (1:30)"")",error,ArgumentError,1.0,61268816,9,-99999,"ArgumentError(""Day: -99999 out of range (1:30)"")",error,ArgumentError,1
60770632,0,-2356932699,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,8.0,60770632,1,-2356932699,"ArgumentError(""Day: -2356932699 out of range (1:31)"")",error,ArgumentError,1
59189580,0,-899533,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,4.0,59189580,1,-899533,"ArgumentError(""Day: -899533 out of range (1:31)"")",error,ArgumentError,1
57645747,99,8,"ArgumentError(""Month: 99 out of range (1:12)"")",error,ArgumentError,1.0,57645747,100,8,"ArgumentError(""Month: 100 out of range (1:12)"")",error,ArgumentError,1
57467488,0,1139,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,57467488,1,1139,"ArgumentError(""Day: 1139 out of range (1:31)"")",error,ArgumentError,1
54689495,-10000000,215,"ArgumentError(""Month: -10000000 out of range (1:12)"")",error,ArgumentError,1.0,54689495,-9999999,215,"ArgumentError(""Month: -9999999 out of range (1:12)"")",error,ArgumentError,1
50528832,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,50528832,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,1
41713027,-1,1,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,41713027,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1
31163291,999999,19083,"ArgumentError(""Month: 999999 out of range (1:12)"")",error,ArgumentError,1.0,31163291,1000000,19083,"ArgumentError(""Month: 1000000 out of range (1:12)"")",error,ArgumentError,1
30038845,99999999999999,11,"ArgumentError(""Month: 99999999999999 out of range (1:12)"")",error,ArgumentError,1.0,30038845,100000000000000,11,"ArgumentError(""Month: 100000000000000 out of range (1:12)"")",error,ArgumentError,1
29437095,12,-4,"ArgumentError(""Day: -4 out of range (1:31)"")",error,ArgumentError,2.0,29437095,13,-4,"ArgumentError(""Month: 13 out of range (1:12)"")",error,ArgumentError,1
23963563,12,86,"ArgumentError(""Day: 86 out of range (1:31)"")",error,ArgumentError,2.0,23963563,13,86,"ArgumentError(""Month: 13 out of range (1:12)"")",error,ArgumentError,1
