year,month,day,output,outputtype,datatype,metric,n_year,n_month,n_day,n_output,n_outputtype,n_datatype,count
3,-1,5,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,3,0,5,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2
2,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,2,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,4
1,999,0,"ArgumentError(""Month: 999 out of range (1:12)"")",error,ArgumentError,1.0,1,1000,0,"ArgumentError(""Month: 1000 out of range (1:12)"")",error,ArgumentError,2
1,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,1,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,6
1,-1,0,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,1,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,3
0,99,0,"ArgumentError(""Month: 99 out of range (1:12)"")",error,ArgumentError,1.0,0,100,0,"ArgumentError(""Month: 100 out of range (1:12)"")",error,ArgumentError,2
0,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,0,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,5
0,0,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,0,1,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",error,ArgumentError,4
0,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,0,1,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",error,ArgumentError,3
0,0,-3,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,0,1,-3,"ArgumentError(""Day: -3 out of range (1:31)"")",error,ArgumentError,2
-1,0,-100,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,-1,1,-100,"ArgumentError(""Day: -100 out of range (1:31)"")",error,ArgumentError,2
-4,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,-4,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,2
3310266844663014731,-100000000000,56208510367332996,"ArgumentError(""Month: -100000000000 out of range (1:12)"")",error,ArgumentError,1.0,3310266844663014731,-99999999999,56208510367332996,"ArgumentError(""Month: -99999999999 out of range (1:12)"")",error,ArgumentError,1
3047252590803476058,0,52,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,3047252590803476058,1,52,"ArgumentError(""Day: 52 out of range (1:31)"")",error,ArgumentError,1
848323256686261029,0,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,848323256686261029,1,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",error,ArgumentError,1
724372353126885946,99999,-1,"ArgumentError(""Month: 99999 out of range (1:12)"")",error,ArgumentError,1.0,724372353126885946,100000,-1,"ArgumentError(""Month: 100000 out of range (1:12)"")",error,ArgumentError,1
374018713419179201,0,3702482,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,4.0,374018713419179201,1,3702482,"ArgumentError(""Day: 3702482 out of range (1:31)"")",error,ArgumentError,1
14470405455552678,999999999999999,0,"ArgumentError(""Month: 999999999999999 out of range (1:12)"")",error,ArgumentError,1.0,14470405455552678,1000000000000000,0,"ArgumentError(""Month: 1000000000000000 out of range (1:12)"")",error,ArgumentError,1
1408803476411873,-1,-13,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,1408803476411873,0,-13,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1
960575138480760,99,-562,"ArgumentError(""Month: 99 out of range (1:12)"")",error,ArgumentError,1.0,960575138480760,100,-562,"ArgumentError(""Month: 100 out of range (1:12)"")",error,ArgumentError,1
716852604570141,0,-3493399,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,5.0,716852604570141,1,-3493399,"ArgumentError(""Day: -3493399 out of range (1:31)"")",error,ArgumentError,1
90383789063514,-1,-13,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,90383789063514,0,-13,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1
86337136826299,-1,510,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,86337136826299,0,510,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1
83198986946558,-1000000000,1629,"ArgumentError(""Month: -1000000000 out of range (1:12)"")",error,ArgumentError,1.0,83198986946558,-999999999,1629,"ArgumentError(""Month: -999999999 out of range (1:12)"")",error,ArgumentError,1
59756416712285,0,-30718707395623,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,12.0,59756416712285,1,-30718707395623,"ArgumentError(""Day: -30718707395623 out of range (1:31)"")",error,ArgumentError,1
51216979336907,-100000000000000,0,"ArgumentError(""Month: -100000000000000 out of range (1:12)"")",error,ArgumentError,1.0,51216979336907,-99999999999999,0,"ArgumentError(""Month: -99999999999999 out of range (1:12)"")",error,ArgumentError,1
30705021611991,8,-1000000000000,"ArgumentError(""Day: -1000000000000 out of range (1:31)"")",error,ArgumentError,1.0,30705021611991,8,-999999999999,"ArgumentError(""Day: -999999999999 out of range (1:31)"")",error,ArgumentError,1
18787919543515,-1000,0,"ArgumentError(""Month: -1000 out of range (1:12)"")",error,ArgumentError,1.0,18787919543515,-999,0,"ArgumentError(""Month: -999 out of range (1:12)"")",error,ArgumentError,1
683877718673,99,57,"ArgumentError(""Month: 99 out of range (1:12)"")",error,ArgumentError,1.0,683877718673,100,57,"ArgumentError(""Month: 100 out of range (1:12)"")",error,ArgumentError,1
231870235332,-100,-1026627,"ArgumentError(""Month: -100 out of range (1:12)"")",error,ArgumentError,1.0,231870235332,-99,-1026627,"ArgumentError(""Month: -99 out of range (1:12)"")",error,ArgumentError,1
215284792973,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,215284792973,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,1
70775111058,0,1337,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,70775111058,1,1337,"ArgumentError(""Day: 1337 out of range (1:31)"")",error,ArgumentError,1
62369014057,0,40,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,62369014057,1,40,"ArgumentError(""Day: 40 out of range (1:31)"")",error,ArgumentError,1
46292226275,0,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,46292226275,1,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",error,ArgumentError,1
43325122193,99,-173,"ArgumentError(""Month: 99 out of range (1:12)"")",error,ArgumentError,1.0,43325122193,100,-173,"ArgumentError(""Month: 100 out of range (1:12)"")",error,ArgumentError,1
7146997646,0,35,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,7146997646,1,35,"ArgumentError(""Day: 35 out of range (1:31)"")",error,ArgumentError,1
4209108011,12,13635954,"ArgumentError(""Day: 13635954 out of range (1:31)"")",error,ArgumentError,4.0,4209108011,13,13635954,"ArgumentError(""Month: 13 out of range (1:12)"")",error,ArgumentError,1
3934768318,0,66861,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,3934768318,1,66861,"ArgumentError(""Day: 66861 out of range (1:31)"")",error,ArgumentError,1
2211256345,0,69,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,2211256345,1,69,"ArgumentError(""Day: 69 out of range (1:31)"")",error,ArgumentError,1
1990098611,0,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,1990098611,1,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",error,ArgumentError,1
1939492072,9999,5775101230498077,"ArgumentError(""Month: 9999 out of range (1:12)"")",error,ArgumentError,1.0,1939492072,10000,5775101230498077,"ArgumentError(""Month: 10000 out of range (1:12)"")",error,ArgumentError,1
1459137546,999,193,"ArgumentError(""Month: 999 out of range (1:12)"")",error,ArgumentError,1.0,1459137546,1000,193,"ArgumentError(""Month: 1000 out of range (1:12)"")",error,ArgumentError,1
1304478343,99999999,22802565,"ArgumentError(""Month: 99999999 out of range (1:12)"")",error,ArgumentError,1.0,1304478343,100000000,22802565,"ArgumentError(""Month: 100000000 out of range (1:12)"")",error,ArgumentError,1
1160533327,0,32033,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,1160533327,1,32033,"ArgumentError(""Day: 32033 out of range (1:31)"")",error,ArgumentError,1
1027614574,-100000000000000000,1,"ArgumentError(""Month: -100000000000000000 out of range (1:12)"")",error,ArgumentError,1.0,1027614574,-99999999999999999,1,"ArgumentError(""Month: -99999999999999999 out of range (1:12)"")",error,ArgumentError,1
972018552,9999999,3,"ArgumentError(""Month: 9999999 out of range (1:12)"")",error,ArgumentError,1.0,972018552,10000000,3,"ArgumentError(""Month: 10000000 out of range (1:12)"")",error,ArgumentError,1
968331159,3,-1000,"ArgumentError(""Day: -1000 out of range (1:31)"")",error,ArgumentError,1.0,968331159,3,-999,"ArgumentError(""Day: -999 out of range (1:31)"")",error,ArgumentError,1
933850417,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,933850417,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,1
903106850,12,-420782,"ArgumentError(""Day: -420782 out of range (1:31)"")",error,ArgumentError,3.0,903106850,13,-420782,"ArgumentError(""Month: 13 out of range (1:12)"")",error,ArgumentError,1
821340747,0,2669,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,821340747,1,2669,"ArgumentError(""Day: 2669 out of range (1:31)"")",error,ArgumentError,1
811831993,-100,8,"ArgumentError(""Month: -100 out of range (1:12)"")",error,ArgumentError,1.0,811831993,-99,8,"ArgumentError(""Month: -99 out of range (1:12)"")",error,ArgumentError,1
608295902,99,31149726,"ArgumentError(""Month: 99 out of range (1:12)"")",error,ArgumentError,1.0,608295902,100,31149726,"ArgumentError(""Month: 100 out of range (1:12)"")",error,ArgumentError,1
488043419,9999999999999,-286023396,"ArgumentError(""Month: 9999999999999 out of range (1:12)"")",error,ArgumentError,1.0,488043419,10000000000000,-286023396,"ArgumentError(""Month: 10000000000000 out of range (1:12)"")",error,ArgumentError,1
482929015,-1,1,"ArgumentError(""Month: -1 out of range (1:12)"")",error,ArgumentError,1.0,482929015,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1
467416256,12,-4,"ArgumentError(""Day: -4 out of range (1:31)"")",error,ArgumentError,2.0,467416256,13,-4,"ArgumentError(""Month: 13 out of range (1:12)"")",error,ArgumentError,1
443581164,0,6226503202840,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,10.0,443581164,1,6226503202840,"ArgumentError(""Day: 6226503202840 out of range (1:31)"")",error,ArgumentError,1
409267935,0,-277,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,409267935,1,-277,"ArgumentError(""Day: -277 out of range (1:31)"")",error,ArgumentError,1
351048534,0,-6,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,351048534,1,-6,"ArgumentError(""Day: -6 out of range (1:31)"")",error,ArgumentError,1
288449367,-10,0,"ArgumentError(""Month: -10 out of range (1:12)"")",error,ArgumentError,1.0,288449367,-9,0,"ArgumentError(""Month: -9 out of range (1:12)"")",error,ArgumentError,1
258842293,-10000000,-123,"ArgumentError(""Month: -10000000 out of range (1:12)"")",error,ArgumentError,1.0,258842293,-9999999,-123,"ArgumentError(""Month: -9999999 out of range (1:12)"")",error,ArgumentError,1
255725734,0,-66012326,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,6.0,255725734,1,-66012326,"ArgumentError(""Day: -66012326 out of range (1:31)"")",error,ArgumentError,1
226137679,0,21993,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,226137679,1,21993,"ArgumentError(""Day: 21993 out of range (1:31)"")",error,ArgumentError,1
190439334,0,-822,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,190439334,1,-822,"ArgumentError(""Day: -822 out of range (1:31)"")",error,ArgumentError,1
187434318,999999999999,9,"ArgumentError(""Month: 999999999999 out of range (1:12)"")",error,ArgumentError,1.0,187434318,1000000000000,9,"ArgumentError(""Month: 1000000000000 out of range (1:12)"")",error,ArgumentError,1
186765637,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,186765637,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",error,ArgumentError,1
163939622,99,-1669500,"ArgumentError(""Month: 99 out of range (1:12)"")",error,ArgumentError,1.0,163939622,100,-1669500,"ArgumentError(""Month: 100 out of range (1:12)"")",error,ArgumentError,1
153183391,0,1940132,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,4.0,153183391,1,1940132,"ArgumentError(""Day: 1940132 out of range (1:31)"")",error,ArgumentError,1
128526247,99,263,"ArgumentError(""Month: 99 out of range (1:12)"")",error,ArgumentError,1.0,128526247,100,263,"ArgumentError(""Month: 100 out of range (1:12)"")",error,ArgumentError,1
111650856,9999,2382215,"ArgumentError(""Month: 9999 out of range (1:12)"")",error,ArgumentError,1.0,111650856,10000,2382215,"ArgumentError(""Month: 10000 out of range (1:12)"")",error,ArgumentError,1
88736845,0,4664,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,1.0,88736845,1,4664,"ArgumentError(""Day: 4664 out of range (1:31)"")",error,ArgumentError,1
78189297,12,818,"ArgumentError(""Day: 818 out of range (1:31)"")",error,ArgumentError,1.0,78189297,13,818,"ArgumentError(""Month: 13 out of range (1:12)"")",error,ArgumentError,1
60413269,999999999,5,"ArgumentError(""Month: 999999999 out of range (1:12)"")",error,ArgumentError,1.0,60413269,1000000000,5,"ArgumentError(""Month: 1000000000 out of range (1:12)"")",error,ArgumentError,1
56422708,0,77723,"ArgumentError(""Month: 0 out of range (1:12)"")",error,ArgumentError,2.0,56422708,1,77723,"ArgumentError(""Day: 77723 out of range (1:31)"")",error,ArgumentError,1
