bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
12,0,9,0,0,75.4083184425061,0.0,31792447,1.0,1.0,1.0,-16,-78,-16,-79,in,out
10,0,9,0,0,76.4083184425061,0.0,31792447,1.0,1.0,1.0,-43,67,-44,67,in,out
10,0,9,0,0,77.4083184425061,0.0,31792447,1.0,1.0,1.0,66,-46,65,-46,out,in
10,0,9,0,0,78.9083184425061,0.0,31792447,1.0,1.0,1.0,-79,-6,-80,-6,in,out
12,0,9,0,0,79.9083184425061,0.0,31792447,1.0,1.0,1.0,-72,-35,-71,-35,out,in
10,0,9,0,0,80.9083184425061,0.0,31792447,1.0,1.0,1.0,-69,39,-70,39,in,out
10,0,9,0,0,82.61542522369265,0.0,31792447,1.0,1.0,1.0,-47,64,-47,65,in,out
6,0,9,0,0,84.76974560037915,0.0,31792447,1.0,1.0,1.0,79,5,80,5,in,out
6,0,9,0,0,86.26974560037915,0.0,31792447,1.0,1.0,1.0,80,3,79,3,out,in
10,0,9,0,0,87.26974560037915,0.0,31792447,1.0,1.0,1.0,35,-72,35,-71,out,in
8,0,9,0,0,88.26974560037915,0.0,31792447,1.0,1.0,1.0,74,30,74,31,in,out
8,0,9,0,0,89.9768523815657,0.0,31792447,1.0,1.0,1.0,65,47,65,46,out,in
12,0,9,0,0,90.9768523815657,0.0,31792447,1.0,1.0,1.0,-71,-37,-71,-36,out,in
8,0,9,0,0,92.13302614345432,0.0,31792447,1.0,1.0,1.0,71,38,70,38,out,in
10,0,9,0,0,93.13302614345432,0.0,31792447,1.0,1.0,1.0,-10,79,-10,80,in,out
10,0,9,0,0,94.13302614345432,0.0,31792447,1.0,1.0,1.0,-67,45,-66,45,out,in
10,0,9,0,0,95.13302614345432,0.0,31792447,1.0,1.0,1.0,-57,57,-56,57,out,in
10,0,9,0,0,96.13302614345432,0.0,31792447,1.0,1.0,1.0,-2,-80,-2,-79,out,in
10,0,9,0,0,98.5472397058274,0.0,31792447,1.0,1.0,1.0,-18,77,-18,78,in,out
10,0,9,0,0,99.5472397058274,0.0,31792447,1.0,1.0,1.0,-9,-79,-9,-80,in,out
12,0,9,0,0,100.5472397058274,0.0,31792447,1.0,1.0,1.0,-52,-60,-53,-60,in,out
8,0,9,0,0,102.50434648701395,0.0,31792447,1.0,1.0,1.0,52,60,52,61,in,out
10,0,9,0,0,103.50434648701395,0.0,31792447,1.0,1.0,1.0,77,-22,77,-21,out,in
6,0,9,0,0,104.50434648701395,0.0,31792447,1.0,1.0,1.0,80,7,79,7,out,in
12,0,9,0,0,105.50434648701395,0.0,31792447,1.0,1.0,1.0,-16,-79,-16,-78,out,in
12,0,9,0,0,107.47520008785877,0.0,31792447,1.0,1.0,1.0,-34,-73,-34,-72,out,in
8,0,9,0,0,108.47520008785877,0.0,31792447,1.0,1.0,1.0,-7,80,-7,79,out,in
8,1,9,0,0,109.47520008785877,0.0,31792447,1.0,1.0,1.0,2,-80,2,-79,out,in
10,0,9,0,0,110.49376962167648,0.0,31792447,1.0,1.0,1.0,71,-37,71,-36,out,in
10,0,9,0,0,111.49376962167648,0.0,31792447,1.0,1.0,1.0,12,-80,12,-79,out,in
4,0,5,1,1,0.9824462820057644,-1952.5,173915,0.9811320754716981,0.9811320754716981,1.0,0,0,1,0,"DomainError(""The point should not be at the origin (0, 0)"", """")",in
5,0,5,1,1,1.9698294232796503,-1913.5,293281,0.9811320754716981,0.9811320754716981,1.0,0,0,0,-1,"DomainError(""The point should not be at the origin (0, 0)"", """")",in
11,0,9,0,1,10.70705192592952,-1067.5,7949577,0.7071067811865476,0.7071067811865476,1.0,-79,-10,-80,-9,in,out
