h,w,output,outputtype,datatype,metric,n_h,n_w,n_output,n_outputtype,n_datatype,count
6197,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,6197,0,Underweight,valid,String,2
2030,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,2030,0,Underweight,valid,String,2
1013,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,1013,0,Underweight,valid,String,2
704,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,704,0,Underweight,valid,String,2
363,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,363,0,Underweight,valid,String,3
294,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,294,0,Underweight,valid,String,2
247,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,247,0,Underweight,valid,String,2
231,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,231,0,Underweight,valid,String,2
225,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,225,0,Underweight,valid,String,2
214,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,214,0,Underweight,valid,String,2
207,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,207,0,Underweight,valid,String,2
178,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,178,0,Underweight,valid,String,2
173,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,173,0,Underweight,valid,String,2
170,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,170,0,Underweight,valid,String,2
152,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,152,0,Underweight,valid,String,2
147,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,147,0,Underweight,valid,String,2
127,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,127,0,Underweight,valid,String,2
