a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
2209999779,221,9999999,valid,UInt32,1.0,2209999780,221,10000000,valid,UInt32,2
1699999983,17,99999999,valid,UInt32,1.0,1699999984,17,100000000,valid,UInt32,2
1679999832,168,9999999,valid,UInt32,1.0,1679999833,168,10000000,valid,UInt32,2
1299999987,13,99999999,valid,Int64,1.0,1299999988,13,100000000,valid,Int64,2
1239999876,124,9999999,valid,UInt64,1.0,1239999877,124,10000000,valid,UInt64,2
1169999883,117,9999999,valid,Int64,1.0,1169999884,117,10000000,valid,Int64,2
1169999883,117,9999999,valid,UInt32,1.0,1169999884,117,10000000,valid,UInt32,2
1159999884,116,9999999,valid,Int64,1.0,1159999885,116,10000000,valid,Int64,3
1119999999,-112,-9999999,valid,Int64,1.0,1120000000,-112,-10000000,valid,Int64,2
1039999999,-104,-9999999,valid,Int64,1.0,1040000000,-104,-10000000,valid,Int64,2
1019999898,102,9999999,valid,Int64,1.0,1019999899,102,10000000,valid,Int64,2
1019999898,102,9999999,valid,UInt32,1.0,1019999899,102,10000000,valid,UInt32,2
899999999,-9,-99999999,valid,Int64,1.0,900000000,-9,-100000000,valid,Int64,2
879999912,88,9999999,valid,UInt64,1.0,879999913,88,10000000,valid,UInt64,2
859999914,86,9999999,valid,Int64,1.0,859999915,86,10000000,valid,Int64,2
819999918,82,9999999,valid,Int64,1.0,819999919,82,10000000,valid,Int64,3
749999925,75,9999999,valid,Int64,1.0,749999926,75,10000000,valid,Int64,2
719999928,72,9999999,valid,Int64,1.0,719999929,72,10000000,valid,Int64,2
689999931,69,9999999,valid,Int64,1.0,689999932,69,10000000,valid,Int64,4
669999933,67,9999999,valid,Int64,1.0,669999934,67,10000000,valid,Int64,2
629999937,63,9999999,valid,Int64,1.0,629999938,63,10000000,valid,Int64,2
499999995,5,99999999,valid,Int64,1.0,499999996,5,100000000,valid,Int64,2
459999999,-46,-9999999,valid,Int64,1.0,460000000,-46,-10000000,valid,Int64,2
419999958,42,9999999,valid,Int64,1.0,419999959,42,10000000,valid,Int64,2
309999969,31,9999999,valid,UInt64,1.0,309999970,31,10000000,valid,UInt64,2
227999772,228,999999,valid,Int64,1.0,227999773,228,1000000,valid,Int64,2
219999999,-22,-9999999,valid,Int64,1.0,220000000,-22,-10000000,valid,Int64,2
219999978,22,9999999,valid,Int64,1.0,219999979,22,10000000,valid,Int64,2
208999791,209,999999,valid,Int64,1.0,208999792,209,1000000,valid,Int64,2
43999999,-44,-999999,valid,Int64,1.0,44000000,-44,-1000000,valid,Int64,2
47952,48,999,valid,UInt64,1.0,47953,48,1000,valid,UInt64,2
45954,46,999,valid,UInt16,1.0,45955,46,1000,valid,UInt16,2
43458,4,10865,valid,UInt64,1.0,43458,5,8692,valid,UInt64,2
36963,37,999,valid,UInt64,1.0,36964,37,1000,valid,UInt64,2
34965,35,999,valid,UInt16,1.0,34966,35,1000,valid,UInt16,2
24750,250,99,valid,UInt16,1.0,24751,250,100,valid,UInt16,2
22671,229,99,valid,UInt16,1.0,22672,229,100,valid,UInt16,2
19980,20,999,valid,UInt64,1.0,19981,20,1000,valid,UInt64,2
19503,197,99,valid,Int64,1.0,19504,197,100,valid,Int64,2
16434,166,99,valid,Int64,1.0,16435,166,100,valid,Int64,2
14949,151,99,valid,Int64,1.0,14950,151,100,valid,Int64,2
12771,129,99,valid,Int64,1.0,12772,129,100,valid,Int64,2
12474,126,99,valid,UInt16,1.0,12475,126,100,valid,UInt16,2
11682,118,99,valid,UInt16,1.0,11683,118,100,valid,UInt16,2
10791,109,99,valid,Int64,1.0,10792,109,100,valid,Int64,2
10692,108,99,valid,Int64,1.0,10693,108,100,valid,Int64,2
