a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
2469999753,247,9999999,valid,UInt32,1.0,2469999754,247,10000000,valid,UInt32,2
2009999799,201,9999999,valid,UInt32,1.0,2009999800,201,10000000,valid,UInt32,2
1699999983,17,99999999,valid,Int64,1.0,1699999984,17,100000000,valid,Int64,2
1599999984,16,99999999,valid,UInt32,1.0,1599999985,16,100000000,valid,UInt32,2
1409999859,141,9999999,valid,UInt32,1.0,1409999860,141,10000000,valid,UInt32,2
1359999864,136,9999999,valid,Int64,1.0,1359999865,136,10000000,valid,Int64,3
1269999873,127,9999999,valid,Int64,1.0,1269999874,127,10000000,valid,Int64,2
1249999875,125,9999999,valid,Int64,1.0,1249999876,125,10000000,valid,Int64,2
1219999878,122,9999999,valid,UInt64,1.0,1219999879,122,10000000,valid,UInt64,2
1189999881,119,9999999,valid,Int64,1.0,1189999882,119,10000000,valid,Int64,2
999999900,100,9999999,valid,UInt64,1.0,999999901,100,10000000,valid,UInt64,2
969999903,97,9999999,valid,Int64,1.0,969999904,97,10000000,valid,Int64,2
949999905,95,9999999,valid,UInt32,1.0,949999906,95,10000000,valid,UInt32,2
939999999,-94,-9999999,valid,Int64,1.0,940000000,-94,-10000000,valid,Int64,2
939999906,94,9999999,valid,UInt32,1.0,939999907,94,10000000,valid,UInt32,2
899999991,9,99999999,valid,Int64,1.0,899999992,9,100000000,valid,Int64,2
709999929,71,9999999,valid,UInt64,1.0,709999930,71,10000000,valid,UInt64,2
609999939,61,9999999,valid,UInt32,1.0,609999940,61,10000000,valid,UInt32,2
599999994,6,99999999,valid,Int64,1.0,599999995,6,100000000,valid,Int64,2
469999953,47,9999999,valid,Int64,1.0,469999954,47,10000000,valid,Int64,2
329999967,33,9999999,valid,UInt64,1.0,329999968,33,10000000,valid,UInt64,2
319999999,-32,-9999999,valid,Int64,1.0,320000000,-32,-10000000,valid,Int64,2
309999999,-31,-9999999,valid,Int64,1.0,310000000,-31,-10000000,valid,Int64,2
289999999,-29,-9999999,valid,Int64,1.0,290000000,-29,-10000000,valid,Int64,2
254999745,255,999999,valid,UInt32,1.0,254999746,255,1000000,valid,UInt32,2
249999999,-25,-9999999,valid,Int64,1.0,250000000,-25,-10000000,valid,Int64,3
187999812,188,999999,valid,Int64,1.0,187999813,188,1000000,valid,Int64,2
179999982,18,9999999,valid,Int64,1.0,179999983,18,10000000,valid,Int64,2
146999853,147,999999,valid,Int64,1.0,146999854,147,1000000,valid,Int64,2
129999999,-13,-9999999,valid,Int64,1.0,130000000,-13,-10000000,valid,Int64,2
94999999,-95,-999999,valid,Int64,1.0,95000000,-95,-1000000,valid,Int64,2
