a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
2449999755,245,9999999,valid,UInt32,1.0,2449999756,245,10000000,valid,UInt32,2
2269999773,227,9999999,valid,UInt32,1.0,2269999774,227,10000000,valid,UInt32,2
1899999981,19,99999999,valid,UInt32,1.0,1899999982,19,100000000,valid,UInt32,2
1799999982,18,99999999,valid,Int64,1.0,1799999983,18,100000000,valid,Int64,2
1769999823,177,9999999,valid,UInt32,1.0,1769999824,177,10000000,valid,UInt32,3
1359999864,136,9999999,valid,UInt32,1.0,1359999865,136,10000000,valid,UInt32,2
1260998739,1261,999999,valid,Int64,1.0,1260998740,1261,1000000,valid,Int64,2
1259999874,126,9999999,valid,Int64,1.0,1259999875,126,10000000,valid,Int64,2
1179999882,118,9999999,valid,UInt64,1.0,1179999883,118,10000000,valid,UInt64,2
1169999883,117,9999999,valid,Int64,1.0,1169999884,117,10000000,valid,Int64,2
1169999883,117,9999999,valid,UInt64,1.0,1169999884,117,10000000,valid,UInt64,2
1159999884,116,9999999,valid,Int64,1.0,1159999885,116,10000000,valid,Int64,2
1049999895,105,9999999,valid,Int64,1.0,1049999896,105,10000000,valid,Int64,2
1029999897,103,9999999,valid,UInt64,1.0,1029999898,103,10000000,valid,UInt64,2
1019999898,102,9999999,valid,UInt64,1.0,1019999899,102,10000000,valid,UInt64,2
1009999899,101,9999999,valid,Int64,1.0,1009999900,101,10000000,valid,Int64,2
1009999899,101,9999999,valid,UInt64,1.0,1009999900,101,10000000,valid,UInt64,2
979999902,98,9999999,valid,Int64,1.0,979999903,98,10000000,valid,Int64,2
939999906,94,9999999,valid,Int64,1.0,939999907,94,10000000,valid,Int64,2
929999999,-93,-9999999,valid,Int64,1.0,930000000,-93,-10000000,valid,Int64,2
879999999,-88,-9999999,valid,Int64,1.0,880000000,-88,-10000000,valid,Int64,2
849999915,85,9999999,valid,Int64,1.0,849999916,85,10000000,valid,Int64,2
839999999,-84,-9999999,valid,Int64,1.0,840000000,-84,-10000000,valid,Int64,2
809999919,81,9999999,valid,Int64,1.0,809999920,81,10000000,valid,Int64,2
789999921,79,9999999,valid,Int64,1.0,789999922,79,10000000,valid,Int64,2
709999999,-71,-9999999,valid,Int64,1.0,710000000,-71,-10000000,valid,Int64,2
699999930,70,9999999,valid,Int64,1.0,699999931,70,10000000,valid,Int64,2
579999942,58,9999999,valid,UInt32,1.0,579999943,58,10000000,valid,UInt32,2
569999999,-57,-9999999,valid,Int64,1.0,570000000,-57,-10000000,valid,Int64,3
499999950,50,9999999,valid,Int64,1.0,499999951,50,10000000,valid,Int64,2
399999996,4,99999999,valid,Int64,1.0,399999997,4,100000000,valid,Int64,2
349999965,35,9999999,valid,Int64,1.0,349999966,35,10000000,valid,Int64,3
339999966,34,9999999,valid,Int64,1.0,339999967,34,10000000,valid,Int64,2
319999968,32,9999999,valid,UInt32,1.0,319999969,32,10000000,valid,UInt32,2
239999976,24,9999999,valid,Int64,1.0,239999977,24,10000000,valid,Int64,2
200999799,201,999999,valid,Int64,1.0,200999800,201,1000000,valid,Int64,2
179999982,18,9999999,valid,Int64,1.0,179999983,18,10000000,valid,Int64,2
179999820,180,999999,valid,Int64,1.0,179999821,180,1000000,valid,Int64,2
112999999,-113,-999999,valid,Int64,1.0,113000000,-113,-1000000,valid,Int64,2
101999898,102,999999,valid,Int64,1.0,101999899,102,1000000,valid,Int64,2
99999999,-10,-9999999,valid,Int64,1.0,100000000,-10,-10000000,valid,Int64,2
81999918,82,999999,valid,Int64,1.0,81999919,82,1000000,valid,Int64,2
79999999,-80,-999999,valid,Int64,1.0,80000000,-80,-1000000,valid,Int64,2
43956,44,999,valid,UInt16,1.0,43957,44,1000,valid,UInt16,2
35964,36,999,valid,UInt64,1.0,35965,36,1000,valid,UInt64,2
23859,241,99,valid,UInt16,1.0,23860,241,100,valid,UInt16,3
23755,2639,10,valid,Int64,1.0,23755,2640,9,valid,Int64,2
23067,233,99,valid,UInt16,1.0,23068,233,100,valid,UInt16,3
22275,225,99,valid,Int64,1.0,22276,225,100,valid,Int64,2
21879,221,99,valid,UInt16,1.0,21880,221,100,valid,UInt16,2
20979,21,999,valid,Int64,1.0,20980,21,1000,valid,Int64,2
20394,206,99,valid,Int64,1.0,20395,206,100,valid,Int64,2
20295,205,99,valid,Int64,1.0,20296,205,100,valid,Int64,2
18513,187,99,valid,UInt16,1.0,18514,187,100,valid,UInt16,2
18315,185,99,valid,Int64,1.0,18316,185,100,valid,Int64,2
17622,178,99,valid,UInt16,1.0,17623,178,100,valid,UInt16,2
14355,145,99,valid,UInt16,1.0,14356,145,100,valid,UInt16,2
13986,14,999,valid,Int64,1.0,13987,14,1000,valid,Int64,2
12987,13,999,valid,Int64,1.0,12988,13,1000,valid,Int64,2
11682,118,99,valid,Int64,1.0,11683,118,100,valid,Int64,2
11499,-115,-99,valid,Int64,1.0,11500,-115,-100,valid,Int64,2
11286,114,99,valid,UInt64,1.0,11287,114,100,valid,UInt64,2
10098,102,99,valid,UInt64,1.0,10099,102,100,valid,UInt64,2
9999,-10,-999,valid,Int64,1.0,10000,-10,-1000,valid,Int64,2
8910,90,99,valid,Int64,1.0,8911,90,100,valid,Int64,2
8514,86,99,valid,Int64,1.0,8515,86,100,valid,Int64,3
8217,83,99,valid,Int64,1.0,8218,83,100,valid,Int64,2
7821,79,99,valid,UInt16,1.0,7822,79,100,valid,UInt16,2
7425,75,99,valid,Int64,1.0,7426,75,100,valid,Int64,2
7326,74,99,valid,UInt64,1.0,7327,74,100,valid,UInt64,2
6039,61,99,valid,Int64,1.0,6040,61,100,valid,Int64,2
5841,59,99,valid,Int64,1.0,5842,59,100,valid,Int64,2
5544,56,99,valid,Int64,1.0,5545,56,100,valid,Int64,2
5499,-55,-99,valid,Int64,1.0,5500,-55,-100,valid,Int64,2
5247,53,99,valid,UInt64,1.0,5248,53,100,valid,UInt64,2
4995,5,999,valid,Int64,1.0,4996,5,1000,valid,Int64,2
4356,44,99,valid,Int64,1.0,4357,44,100,valid,Int64,2
4158,42,99,valid,Int64,1.0,4159,42,100,valid,Int64,2
3663,37,99,valid,Int64,1.0,3664,37,100,valid,Int64,2
2088,232,9,valid,Int64,1.0,2089,232,10,valid,Int64,3
1125,125,9,valid,Int64,1.0,1126,125,10,valid,Int64,2
999,111,9,valid,Int64,1.0,1000,111,10,valid,Int64,2
238,26,10,valid,UInt64,1.0,238,27,9,valid,UInt64,2
224,24,10,valid,UInt8,1.0,224,25,9,valid,UInt8,2
212,2,106,valid,UInt64,1.0,212,3,71,valid,UInt64,2
198,22,9,valid,UInt8,1.0,199,22,10,valid,UInt8,2
175,19,10,valid,UInt64,1.0,175,20,9,valid,UInt64,2
174,19,10,valid,UInt64,1.0,174,20,9,valid,UInt64,2
169,18,10,valid,UInt64,1.0,169,19,9,valid,UInt64,2
125,13,10,valid,Int64,1.0,125,14,9,valid,Int64,2
121,-13,-9,valid,Int64,1.0,121,-12,-10,valid,Int64,2
119,13,10,valid,Int64,1.0,119,14,9,valid,Int64,2
119,13,10,valid,UInt64,1.0,119,14,9,valid,UInt64,2
113,12,10,valid,Int64,1.0,113,13,9,valid,Int64,2
106,11,10,valid,Int64,1.0,106,12,9,valid,Int64,2
105,-106,0,valid,UInt64,19.0,106,-106,18446744073709551615,valid,UInt64,2
105,-106,0,valid,Int64,1.0,106,-106,-1,valid,Int64,2
102,11,10,valid,UInt64,1.0,102,12,9,valid,UInt64,2
101,11,10,valid,Int64,1.0,101,12,9,valid,Int64,2
93,10,10,valid,Int64,1.0,93,11,9,valid,Int64,2
90,10,9,valid,Int64,1.0,91,10,10,valid,Int64,2
88,-89,0,valid,UInt64,19.0,89,-89,18446744073709551615,valid,UInt64,2
84,-9,-9,valid,Int64,1.0,84,-8,-10,valid,Int64,2
84,-85,0,valid,Int64,1.0,85,-85,-1,valid,Int64,2
82,9,10,valid,Int64,1.0,82,10,9,valid,Int64,2
81,9,9,valid,UInt64,1.0,82,9,10,valid,UInt64,2
78,-79,0,valid,Int64,1.0,79,-79,-1,valid,Int64,2
75,-76,0,valid,UInt64,19.0,76,-76,18446744073709551615,valid,UInt64,2
72,8,9,valid,UInt64,1.0,73,8,10,valid,UInt64,2
72,7,11,valid,Int64,1.0,72,8,9,valid,Int64,2
71,-72,0,valid,UInt64,19.0,72,-72,18446744073709551615,valid,UInt64,2
68,-69,0,valid,Int64,1.0,69,-69,-1,valid,Int64,2
65,-66,0,valid,Int64,1.0,66,-66,-1,valid,Int64,3
64,-65,0,valid,UInt64,19.0,65,-65,18446744073709551615,valid,UInt64,2
63,-64,0,valid,Int64,1.0,64,-64,-1,valid,Int64,3
61,-62,0,valid,Int64,1.0,62,-62,-1,valid,Int64,2
60,6,10,valid,Int64,1.0,60,7,9,valid,Int64,2
56,-57,0,valid,Int64,1.0,57,-57,-1,valid,Int64,3
55,-56,0,valid,Int64,1.0,56,-56,-1,valid,Int64,2
55,-56,0,valid,UInt64,19.0,56,-56,18446744073709551615,valid,UInt64,2
54,6,9,valid,Int64,1.0,55,6,10,valid,Int64,2
54,-55,0,valid,UInt64,19.0,55,-55,18446744073709551615,valid,UInt64,2
52,-53,0,valid,UInt64,19.0,53,-53,18446744073709551615,valid,UInt64,2
47,5,10,valid,UInt64,1.0,47,6,8,valid,UInt64,2
47,-48,0,valid,UInt64,19.0,48,-48,18446744073709551615,valid,UInt64,2
44,-45,0,valid,UInt64,19.0,45,-45,18446744073709551615,valid,UInt64,2
44,-45,0,valid,Int64,1.0,45,-45,-1,valid,Int64,3
40,-41,0,valid,Int64,1.0,41,-41,-1,valid,Int64,2
34,-35,0,valid,Int64,1.0,35,-35,-1,valid,Int64,2
33,-34,0,valid,Int64,1.0,34,-34,-1,valid,Int64,2
32,3,11,valid,UInt64,1.0,32,4,8,valid,UInt64,2
32,-33,0,valid,UInt64,19.0,33,-33,18446744073709551615,valid,UInt64,2
31,-32,0,valid,Int64,1.0,32,-32,-1,valid,Int64,2
30,3,10,valid,UInt64,1.0,30,4,8,valid,UInt64,2
27,3,9,valid,Int64,1.0,28,3,10,valid,Int64,2
27,-28,0,valid,Int64,1.0,28,-28,-1,valid,Int64,2
25,-26,0,valid,Int64,1.0,26,-26,-1,valid,Int64,3
22,-23,0,valid,Int64,1.0,23,-23,-1,valid,Int64,2
20,-21,0,valid,Int64,1.0,21,-21,-1,valid,Int64,2
19,-20,0,valid,Int64,1.0,20,-20,-1,valid,Int64,2
18,-19,0,valid,Int64,1.0,19,-19,-1,valid,Int64,2
15,-16,0,valid,Int64,1.0,16,-16,-1,valid,Int64,2
13,-14,0,valid,Int64,1.0,14,-14,-1,valid,Int64,3
11,-12,0,valid,Int64,1.0,12,-12,-1,valid,Int64,2
8,-9,0,valid,Int64,1.0,9,-9,-1,valid,Int64,2
true,-2,0,valid,Int64,1.0,true,-1,-1,valid,Int64,2
-11,11,-1,valid,Int64,1.0,-10,11,0,valid,Int64,2
-12,12,-1,valid,Int64,1.0,-11,12,0,valid,Int64,2
-15,15,-1,valid,Int64,1.0,-14,15,0,valid,Int64,2
-17,17,-1,valid,Int64,1.0,-16,17,0,valid,Int64,4
-18,18,-1,valid,Int64,1.0,-17,18,0,valid,Int64,3
-20,20,-1,valid,Int64,1.0,-19,20,0,valid,Int64,2
-21,21,-1,valid,Int64,1.0,-20,21,0,valid,Int64,2
-25,25,-1,valid,Int64,1.0,-24,25,0,valid,Int64,2
-26,26,-1,valid,Int64,1.0,-25,26,0,valid,Int64,2
-30,30,-1,valid,Int64,1.0,-29,30,0,valid,Int64,2
-33,33,-1,valid,Int64,1.0,-32,33,0,valid,Int64,2
