bytes,output,outputtype,datatype,metric,n_bytes,n_output,n_outputtype,n_datatype,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",error,BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",error,BoundsError,493
999999999999994822656,1000.0 EB,valid,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",error,BoundsError,1746
999949999999999935999,999.9 EB,valid,String,1.0,999949999999999936000,1000.0 EB,valid,String,253
99949999999999991999,99.9 EB,valid,String,1.0,99949999999999992000,100.0 EB,valid,String,556
9950000000000001999,9.9 EB,valid,String,1.0,9950000000000002000,10.0 EB,valid,String,731
999949999999999999,999.9 PB,valid,String,2.0,999950000000000000,1.0 EB,valid,String,1781
99949999999999999,99.9 PB,valid,String,1.0,99950000000000000,100.0 PB,valid,String,1910
9950000000000999,9.9 PB,valid,String,1.0,9950000000001000,10.0 PB,valid,String,1982
999949999999999,999.9 TB,valid,String,2.0,999950000000000,1.0 PB,valid,String,1925
99949999999999,99.9 TB,valid,String,1.0,99950000000000,100.0 TB,valid,String,1879
9950000000000,9.9 TB,valid,String,1.0,9950000000001,10.0 TB,valid,String,1877
999949999999,999.9 GB,valid,String,2.0,999950000000,1.0 TB,valid,String,1900
99949999999,99.9 GB,valid,String,1.0,99950000000,100.0 GB,valid,String,1924
9950000000,9.9 GB,valid,String,1.0,9950000001,10.0 GB,valid,String,1850
999949999,999.9 MB,valid,String,2.0,999950000,1.0 GB,valid,String,3515
99949999,99.9 MB,valid,String,1.0,99950000,100.0 MB,valid,String,4621
9950000,9.9 MB,valid,String,1.0,9950001,10.0 MB,valid,String,4665
999949,999.9 kB,valid,String,2.0,999950,1.0 MB,valid,String,6007
99949,99.9 kB,valid,String,1.0,99950,100.0 kB,valid,String,4792
9950,9.9 kB,valid,String,1.0,9951,10.0 kB,valid,String,10056
999,999B,valid,String,2.0,1000,1.0 kB,valid,String,8695
99,99B,valid,String,1.0,100,100B,valid,String,18771
9,9B,valid,String,1.0,10,10B,valid,String,39188
false,falseB,valid,String,1.0,true,trueB,valid,String,40235
-1,-1B,valid,String,1.0,0,0B,valid,String,34852
-10,-10B,valid,String,1.0,-9,-9B,valid,String,15811
-100,-100B,valid,String,1.0,-99,-99B,valid,String,9996
-1000,-1000B,valid,String,1.0,-999,-999B,valid,String,5173
-10000,-10000B,valid,String,1.0,-9999,-9999B,valid,String,7251
-100000,-100000B,valid,String,1.0,-99999,-99999B,valid,String,3739
-1000000,-1000000B,valid,String,1.0,-999999,-999999B,valid,String,5003
-10000000,-10000000B,valid,String,1.0,-9999999,-9999999B,valid,String,3622
-100000000,-100000000B,valid,String,1.0,-99999999,-99999999B,valid,String,3568
-1000000000,-1000000000B,valid,String,1.0,-999999999,-999999999B,valid,String,2721
-10000000000,-10000000000B,valid,String,1.0,-9999999999,-9999999999B,valid,String,1581
-100000000000,-100000000000B,valid,String,1.0,-99999999999,-99999999999B,valid,String,1584
-1000000000000,-1000000000000B,valid,String,1.0,-999999999999,-999999999999B,valid,String,1580
-10000000000000,-10000000000000B,valid,String,1.0,-9999999999999,-9999999999999B,valid,String,1544
-100000000000000,-100000000000000B,valid,String,1.0,-99999999999999,-99999999999999B,valid,String,1630
-1000000000000000,-1000000000000000B,valid,String,1.0,-999999999999999,-999999999999999B,valid,String,1616
-10000000000000000,-10000000000000000B,valid,String,1.0,-9999999999999999,-9999999999999999B,valid,String,1541
-100000000000000000,-100000000000000000B,valid,String,1.0,-99999999999999999,-99999999999999999B,valid,String,1564
-1000000000000000000,-1000000000000000000B,valid,String,1.0,-999999999999999999,-999999999999999999B,valid,String,1401
-10000000000000000000,-10000000000000000000B,valid,String,1.0,-9999999999999999999,-9999999999999999999B,valid,String,515
-100000000000000000000,-100000000000000000000B,valid,String,1.0,-99999999999999999999,-99999999999999999999B,valid,String,524
-1000000000000000000000,-1000000000000000000000B,valid,String,1.0,-999999999999999999999,-999999999999999999999B,valid,String,324
-10000000000000000000000,-10000000000000000000000B,valid,String,1.0,-9999999999999999999999,-9999999999999999999999B,valid,String,782
-100000000000000000000000,-100000000000000000000000B,valid,String,1.0,-99999999999999999999999,-99999999999999999999999B,valid,String,546
-1000000000000000000000000,-1000000000000000000000000B,valid,String,1.0,-999999999999999999999999,-999999999999999999999999B,valid,String,552
-10000000000000000000000000,-10000000000000000000000000B,valid,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,valid,String,534
-100000000000000000000000000,-100000000000000000000000000B,valid,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,valid,String,521
-1000000000000000000000000000,-1000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,valid,String,509
-10000000000000000000000000000,-10000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,valid,String,522
-100000000000000000000000000000,-100000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,valid,String,432
-1000000000000000000000000000000,-1000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,valid,String,322
-10000000000000000000000000000000,-10000000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,valid,String,125
-100000000000000000000000000000000,-100000000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,valid,String,26
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,valid,String,2
