bytes,output,outputtype,datatype,metric,n_bytes,n_output,n_outputtype,n_datatype,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",error,BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",error,BoundsError,418
999999999999994822656,1000.0 EB,valid,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",error,BoundsError,1638
999949999999999935999,999.9 EB,valid,String,1.0,999949999999999936000,1000.0 EB,valid,String,235
99949999999999991999,99.9 EB,valid,String,1.0,99949999999999992000,100.0 EB,valid,String,485
9950000000000001999,9.9 EB,valid,String,1.0,9950000000000002000,10.0 EB,valid,String,664
999949999999999999,999.9 PB,valid,String,2.0,999950000000000000,1.0 EB,valid,String,1679
99949999999999999,99.9 PB,valid,String,1.0,99950000000000000,100.0 PB,valid,String,1806
9950000000000999,9.9 PB,valid,String,1.0,9950000000001000,10.0 PB,valid,String,1807
999949999999999,999.9 TB,valid,String,2.0,999950000000000,1.0 PB,valid,String,1869
99949999999999,99.9 TB,valid,String,1.0,99950000000000,100.0 TB,valid,String,1808
9950000000000,9.9 TB,valid,String,1.0,9950000000001,10.0 TB,valid,String,1787
999949999999,999.9 GB,valid,String,2.0,999950000000,1.0 TB,valid,String,1846
99949999999,99.9 GB,valid,String,1.0,99950000000,100.0 GB,valid,String,1975
9950000000,9.9 GB,valid,String,1.0,9950000001,10.0 GB,valid,String,1943
999949999,999.9 MB,valid,String,2.0,999950000,1.0 GB,valid,String,3304
99949999,99.9 MB,valid,String,1.0,99950000,100.0 MB,valid,String,4276
9950000,9.9 MB,valid,String,1.0,9950001,10.0 MB,valid,String,4414
999949,999.9 kB,valid,String,2.0,999950,1.0 MB,valid,String,5867
99949,99.9 kB,valid,String,1.0,99950,100.0 kB,valid,String,4570
9950,9.9 kB,valid,String,1.0,9951,10.0 kB,valid,String,9598
999,999B,valid,String,2.0,1000,1.0 kB,valid,String,8292
99,99B,valid,String,1.0,100,100B,valid,String,18388
9,9B,valid,String,1.0,10,10B,valid,String,37750
false,falseB,valid,String,1.0,true,trueB,valid,String,39100
-1,-1B,valid,String,1.0,0,0B,valid,String,33474
-10,-10B,valid,String,1.0,-9,-9B,valid,String,15217
-100,-100B,valid,String,1.0,-99,-99B,valid,String,9554
-1000,-1000B,valid,String,1.0,-999,-999B,valid,String,4966
-10000,-10000B,valid,String,1.0,-9999,-9999B,valid,String,7029
-100000,-100000B,valid,String,1.0,-99999,-99999B,valid,String,3467
-1000000,-1000000B,valid,String,1.0,-999999,-999999B,valid,String,4742
-10000000,-10000000B,valid,String,1.0,-9999999,-9999999B,valid,String,3464
-100000000,-100000000B,valid,String,1.0,-99999999,-99999999B,valid,String,3407
-1000000000,-1000000000B,valid,String,1.0,-999999999,-999999999B,valid,String,2603
-10000000000,-10000000000B,valid,String,1.0,-9999999999,-9999999999B,valid,String,1523
-100000000000,-100000000000B,valid,String,1.0,-99999999999,-99999999999B,valid,String,1514
-1000000000000,-1000000000000B,valid,String,1.0,-999999999999,-999999999999B,valid,String,1473
-10000000000000,-10000000000000B,valid,String,1.0,-9999999999999,-9999999999999B,valid,String,1534
-100000000000000,-100000000000000B,valid,String,1.0,-99999999999999,-99999999999999B,valid,String,1555
-1000000000000000,-1000000000000000B,valid,String,1.0,-999999999999999,-999999999999999B,valid,String,1515
-10000000000000000,-10000000000000000B,valid,String,1.0,-9999999999999999,-9999999999999999B,valid,String,1546
-100000000000000000,-100000000000000000B,valid,String,1.0,-99999999999999999,-99999999999999999B,valid,String,1480
-1000000000000000000,-1000000000000000000B,valid,String,1.0,-999999999999999999,-999999999999999999B,valid,String,1338
-10000000000000000000,-10000000000000000000B,valid,String,1.0,-9999999999999999999,-9999999999999999999B,valid,String,496
-100000000000000000000,-100000000000000000000B,valid,String,1.0,-99999999999999999999,-99999999999999999999B,valid,String,509
-1000000000000000000000,-1000000000000000000000B,valid,String,1.0,-999999999999999999999,-999999999999999999999B,valid,String,321
-10000000000000000000000,-10000000000000000000000B,valid,String,1.0,-9999999999999999999999,-9999999999999999999999B,valid,String,768
-100000000000000000000000,-100000000000000000000000B,valid,String,1.0,-99999999999999999999999,-99999999999999999999999B,valid,String,496
-1000000000000000000000000,-1000000000000000000000000B,valid,String,1.0,-999999999999999999999999,-999999999999999999999999B,valid,String,479
-10000000000000000000000000,-10000000000000000000000000B,valid,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,valid,String,494
-100000000000000000000000000,-100000000000000000000000000B,valid,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,valid,String,508
-1000000000000000000000000000,-1000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,valid,String,527
-10000000000000000000000000000,-10000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,valid,String,537
-100000000000000000000000000000,-100000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,valid,String,467
-1000000000000000000000000000000,-1000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,valid,String,330
-10000000000000000000000000000000,-10000000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,valid,String,129
-100000000000000000000000000000000,-100000000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,valid,String,14
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,valid,String,2
