bytes,output,outputtype,datatype,metric,n_bytes,n_output,n_outputtype,n_datatype,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",error,BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",error,BoundsError,433
999999999999994822656,1000.0 EB,valid,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",error,BoundsError,1677
999949999999999935999,999.9 EB,valid,String,1.0,999949999999999936000,1000.0 EB,valid,String,280
99949999999999991999,99.9 EB,valid,String,1.0,99949999999999992000,100.0 EB,valid,String,538
9950000000000001999,9.9 EB,valid,String,1.0,9950000000000002000,10.0 EB,valid,String,572
999949999999999999,999.9 PB,valid,String,2.0,999950000000000000,1.0 EB,valid,String,1646
99949999999999999,99.9 PB,valid,String,1.0,99950000000000000,100.0 PB,valid,String,1827
9950000000000999,9.9 PB,valid,String,1.0,9950000000001000,10.0 PB,valid,String,1840
999949999999999,999.9 TB,valid,String,2.0,999950000000000,1.0 PB,valid,String,1930
99949999999999,99.9 TB,valid,String,1.0,99950000000000,100.0 TB,valid,String,1800
9950000000000,9.9 TB,valid,String,1.0,9950000000001,10.0 TB,valid,String,1870
999949999999,999.9 GB,valid,String,2.0,999950000000,1.0 TB,valid,String,1898
99949999999,99.9 GB,valid,String,1.0,99950000000,100.0 GB,valid,String,1853
9950000000,9.9 GB,valid,String,1.0,9950000001,10.0 GB,valid,String,1813
999949999,999.9 MB,valid,String,2.0,999950000,1.0 GB,valid,String,3454
99949999,99.9 MB,valid,String,1.0,99950000,100.0 MB,valid,String,4396
9950000,9.9 MB,valid,String,1.0,9950001,10.0 MB,valid,String,4498
999949,999.9 kB,valid,String,2.0,999950,1.0 MB,valid,String,5834
99949,99.9 kB,valid,String,1.0,99950,100.0 kB,valid,String,4591
9950,9.9 kB,valid,String,1.0,9951,10.0 kB,valid,String,9756
999,999B,valid,String,2.0,1000,1.0 kB,valid,String,8399
99,99B,valid,String,1.0,100,100B,valid,String,18436
9,9B,valid,String,1.0,10,10B,valid,String,38014
false,falseB,valid,String,1.0,true,trueB,valid,String,39428
-1,-1B,valid,String,1.0,0,0B,valid,String,33223
-10,-10B,valid,String,1.0,-9,-9B,valid,String,15625
-100,-100B,valid,String,1.0,-99,-99B,valid,String,9724
-1000,-1000B,valid,String,1.0,-999,-999B,valid,String,5010
-10000,-10000B,valid,String,1.0,-9999,-9999B,valid,String,6865
-100000,-100000B,valid,String,1.0,-99999,-99999B,valid,String,3586
-1000000,-1000000B,valid,String,1.0,-999999,-999999B,valid,String,4884
-10000000,-10000000B,valid,String,1.0,-9999999,-9999999B,valid,String,3544
-100000000,-100000000B,valid,String,1.0,-99999999,-99999999B,valid,String,3544
-1000000000,-1000000000B,valid,String,1.0,-999999999,-999999999B,valid,String,2636
-10000000000,-10000000000B,valid,String,1.0,-9999999999,-9999999999B,valid,String,1541
-100000000000,-100000000000B,valid,String,1.0,-99999999999,-99999999999B,valid,String,1498
-1000000000000,-1000000000000B,valid,String,1.0,-999999999999,-999999999999B,valid,String,1542
-10000000000000,-10000000000000B,valid,String,1.0,-9999999999999,-9999999999999B,valid,String,1492
-100000000000000,-100000000000000B,valid,String,1.0,-99999999999999,-99999999999999B,valid,String,1514
-1000000000000000,-1000000000000000B,valid,String,1.0,-999999999999999,-999999999999999B,valid,String,1578
-10000000000000000,-10000000000000000B,valid,String,1.0,-9999999999999999,-9999999999999999B,valid,String,1538
-100000000000000000,-100000000000000000B,valid,String,1.0,-99999999999999999,-99999999999999999B,valid,String,1557
-1000000000000000000,-1000000000000000000B,valid,String,1.0,-999999999999999999,-999999999999999999B,valid,String,1442
-10000000000000000000,-10000000000000000000B,valid,String,1.0,-9999999999999999999,-9999999999999999999B,valid,String,510
-100000000000000000000,-100000000000000000000B,valid,String,1.0,-99999999999999999999,-99999999999999999999B,valid,String,485
-1000000000000000000000,-1000000000000000000000B,valid,String,1.0,-999999999999999999999,-999999999999999999999B,valid,String,334
-10000000000000000000000,-10000000000000000000000B,valid,String,1.0,-9999999999999999999999,-9999999999999999999999B,valid,String,773
-100000000000000000000000,-100000000000000000000000B,valid,String,1.0,-99999999999999999999999,-99999999999999999999999B,valid,String,503
-1000000000000000000000000,-1000000000000000000000000B,valid,String,1.0,-999999999999999999999999,-999999999999999999999999B,valid,String,538
-10000000000000000000000000,-10000000000000000000000000B,valid,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,valid,String,464
-100000000000000000000000000,-100000000000000000000000000B,valid,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,valid,String,491
-1000000000000000000000000000,-1000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,valid,String,550
-10000000000000000000000000000,-10000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,valid,String,511
-100000000000000000000000000000,-100000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,valid,String,517
-1000000000000000000000000000000,-1000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,valid,String,339
-10000000000000000000000000000000,-10000000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,valid,String,139
-100000000000000000000000000000000,-100000000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,valid,String,28
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,valid,String,3
