bytes,output,outputtype,datatype,metric,n_bytes,n_output,n_outputtype,n_datatype,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",error,BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",error,BoundsError,460
999999999999994822656,1000.0 EB,valid,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",error,BoundsError,1735
999949999999999935999,999.9 EB,valid,String,1.0,999949999999999936000,1000.0 EB,valid,String,267
99949999999999991999,99.9 EB,valid,String,1.0,99949999999999992000,100.0 EB,valid,String,548
9950000000000001999,9.9 EB,valid,String,1.0,9950000000000002000,10.0 EB,valid,String,657
999949999999999999,999.9 PB,valid,String,2.0,999950000000000000,1.0 EB,valid,String,1759
99949999999999999,99.9 PB,valid,String,1.0,99950000000000000,100.0 PB,valid,String,1900
9950000000000999,9.9 PB,valid,String,1.0,9950000000001000,10.0 PB,valid,String,1970
999949999999999,999.9 TB,valid,String,2.0,999950000000000,1.0 PB,valid,String,1936
99949999999999,99.9 TB,valid,String,1.0,99950000000000,100.0 TB,valid,String,1947
9950000000000,9.9 TB,valid,String,1.0,9950000000001,10.0 TB,valid,String,1892
999949999999,999.9 GB,valid,String,2.0,999950000000,1.0 TB,valid,String,1831
99949999999,99.9 GB,valid,String,1.0,99950000000,100.0 GB,valid,String,1951
9950000000,9.9 GB,valid,String,1.0,9950000001,10.0 GB,valid,String,1871
999949999,999.9 MB,valid,String,2.0,999950000,1.0 GB,valid,String,3591
99949999,99.9 MB,valid,String,1.0,99950000,100.0 MB,valid,String,4615
9950000,9.9 MB,valid,String,1.0,9950001,10.0 MB,valid,String,4675
999949,999.9 kB,valid,String,2.0,999950,1.0 MB,valid,String,6229
99949,99.9 kB,valid,String,1.0,99950,100.0 kB,valid,String,4853
9950,9.9 kB,valid,String,1.0,9951,10.0 kB,valid,String,10047
999,999B,valid,String,2.0,1000,1.0 kB,valid,String,8745
99,99B,valid,String,1.0,100,100B,valid,String,19114
9,9B,valid,String,1.0,10,10B,valid,String,39838
false,falseB,valid,String,1.0,true,trueB,valid,String,41540
-1,-1B,valid,String,1.0,0,0B,valid,String,35305
-10,-10B,valid,String,1.0,-9,-9B,valid,String,16370
-100,-100B,valid,String,1.0,-99,-99B,valid,String,10147
-1000,-1000B,valid,String,1.0,-999,-999B,valid,String,5323
-10000,-10000B,valid,String,1.0,-9999,-9999B,valid,String,7440
-100000,-100000B,valid,String,1.0,-99999,-99999B,valid,String,3879
-1000000,-1000000B,valid,String,1.0,-999999,-999999B,valid,String,5213
-10000000,-10000000B,valid,String,1.0,-9999999,-9999999B,valid,String,3774
-100000000,-100000000B,valid,String,1.0,-99999999,-99999999B,valid,String,3633
-1000000000,-1000000000B,valid,String,1.0,-999999999,-999999999B,valid,String,2731
-10000000000,-10000000000B,valid,String,1.0,-9999999999,-9999999999B,valid,String,1669
-100000000000,-100000000000B,valid,String,1.0,-99999999999,-99999999999B,valid,String,1572
-1000000000000,-1000000000000B,valid,String,1.0,-999999999999,-999999999999B,valid,String,1612
-10000000000000,-10000000000000B,valid,String,1.0,-9999999999999,-9999999999999B,valid,String,1592
-100000000000000,-100000000000000B,valid,String,1.0,-99999999999999,-99999999999999B,valid,String,1664
-1000000000000000,-1000000000000000B,valid,String,1.0,-999999999999999,-999999999999999B,valid,String,1558
-10000000000000000,-10000000000000000B,valid,String,1.0,-9999999999999999,-9999999999999999B,valid,String,1627
-100000000000000000,-100000000000000000B,valid,String,1.0,-99999999999999999,-99999999999999999B,valid,String,1603
-1000000000000000000,-1000000000000000000B,valid,String,1.0,-999999999999999999,-999999999999999999B,valid,String,1439
-10000000000000000000,-10000000000000000000B,valid,String,1.0,-9999999999999999999,-9999999999999999999B,valid,String,500
-100000000000000000000,-100000000000000000000B,valid,String,1.0,-99999999999999999999,-99999999999999999999B,valid,String,548
-1000000000000000000000,-1000000000000000000000B,valid,String,1.0,-999999999999999999999,-999999999999999999999B,valid,String,346
-10000000000000000000000,-10000000000000000000000B,valid,String,1.0,-9999999999999999999999,-9999999999999999999999B,valid,String,828
-100000000000000000000000,-100000000000000000000000B,valid,String,1.0,-99999999999999999999999,-99999999999999999999999B,valid,String,519
-1000000000000000000000000,-1000000000000000000000000B,valid,String,1.0,-999999999999999999999999,-999999999999999999999999B,valid,String,544
-10000000000000000000000000,-10000000000000000000000000B,valid,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,valid,String,520
-100000000000000000000000000,-100000000000000000000000000B,valid,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,valid,String,564
-1000000000000000000000000000,-1000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,valid,String,558
-10000000000000000000000000000,-10000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,valid,String,545
-100000000000000000000000000000,-100000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,valid,String,503
-1000000000000000000000000000000,-1000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,valid,String,375
-10000000000000000000000000000000,-10000000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,valid,String,134
-100000000000000000000000000000000,-100000000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,valid,String,26
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,valid,String,3
