bytes,output,outputtype,datatype,metric,n_bytes,n_output,n_outputtype,n_datatype,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",error,BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",error,BoundsError,465
999999999999994822656,1000.0 EB,valid,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",error,BoundsError,1742
999949999999999935999,999.9 EB,valid,String,1.0,999949999999999936000,1000.0 EB,valid,String,270
99949999999999991999,99.9 EB,valid,String,1.0,99949999999999992000,100.0 EB,valid,String,515
9950000000000001999,9.9 EB,valid,String,1.0,9950000000000002000,10.0 EB,valid,String,690
999949999999999999,999.9 PB,valid,String,2.0,999950000000000000,1.0 EB,valid,String,1721
99949999999999999,99.9 PB,valid,String,1.0,99950000000000000,100.0 PB,valid,String,1944
9950000000000999,9.9 PB,valid,String,1.0,9950000000001000,10.0 PB,valid,String,1865
999949999999999,999.9 TB,valid,String,2.0,999950000000000,1.0 PB,valid,String,1886
99949999999999,99.9 TB,valid,String,1.0,99950000000000,100.0 TB,valid,String,2009
9950000000000,9.9 TB,valid,String,1.0,9950000000001,10.0 TB,valid,String,1921
999949999999,999.9 GB,valid,String,2.0,999950000000,1.0 TB,valid,String,1951
99949999999,99.9 GB,valid,String,1.0,99950000000,100.0 GB,valid,String,2036
9950000000,9.9 GB,valid,String,1.0,9950000001,10.0 GB,valid,String,1878
999949999,999.9 MB,valid,String,2.0,999950000,1.0 GB,valid,String,3585
99949999,99.9 MB,valid,String,1.0,99950000,100.0 MB,valid,String,4581
9950000,9.9 MB,valid,String,1.0,9950001,10.0 MB,valid,String,4597
999949,999.9 kB,valid,String,2.0,999950,1.0 MB,valid,String,5963
99949,99.9 kB,valid,String,1.0,99950,100.0 kB,valid,String,4916
9950,9.9 kB,valid,String,1.0,9951,10.0 kB,valid,String,10104
999,999B,valid,String,2.0,1000,1.0 kB,valid,String,8774
99,99B,valid,String,1.0,100,100B,valid,String,18936
9,9B,valid,String,1.0,10,10B,valid,String,39545
false,falseB,valid,String,1.0,true,trueB,valid,String,41434
-1,-1B,valid,String,1.0,0,0B,valid,String,34843
-10,-10B,valid,String,1.0,-9,-9B,valid,String,16275
-100,-100B,valid,String,1.0,-99,-99B,valid,String,10084
-1000,-1000B,valid,String,1.0,-999,-999B,valid,String,5113
-10000,-10000B,valid,String,1.0,-9999,-9999B,valid,String,7420
-100000,-100000B,valid,String,1.0,-99999,-99999B,valid,String,3649
-1000000,-1000000B,valid,String,1.0,-999999,-999999B,valid,String,5125
-10000000,-10000000B,valid,String,1.0,-9999999,-9999999B,valid,String,3567
-100000000,-100000000B,valid,String,1.0,-99999999,-99999999B,valid,String,3566
-1000000000,-1000000000B,valid,String,1.0,-999999999,-999999999B,valid,String,2787
-10000000000,-10000000000B,valid,String,1.0,-9999999999,-9999999999B,valid,String,1622
-100000000000,-100000000000B,valid,String,1.0,-99999999999,-99999999999B,valid,String,1650
-1000000000000,-1000000000000B,valid,String,1.0,-999999999999,-999999999999B,valid,String,1585
-10000000000000,-10000000000000B,valid,String,1.0,-9999999999999,-9999999999999B,valid,String,1637
-100000000000000,-100000000000000B,valid,String,1.0,-99999999999999,-99999999999999B,valid,String,1583
-1000000000000000,-1000000000000000B,valid,String,1.0,-999999999999999,-999999999999999B,valid,String,1616
-10000000000000000,-10000000000000000B,valid,String,1.0,-9999999999999999,-9999999999999999B,valid,String,1577
-100000000000000000,-100000000000000000B,valid,String,1.0,-99999999999999999,-99999999999999999B,valid,String,1578
-1000000000000000000,-1000000000000000000B,valid,String,1.0,-999999999999999999,-999999999999999999B,valid,String,1481
-10000000000000000000,-10000000000000000000B,valid,String,1.0,-9999999999999999999,-9999999999999999999B,valid,String,508
-100000000000000000000,-100000000000000000000B,valid,String,1.0,-99999999999999999999,-99999999999999999999B,valid,String,527
-1000000000000000000000,-1000000000000000000000B,valid,String,1.0,-999999999999999999999,-999999999999999999999B,valid,String,320
-10000000000000000000000,-10000000000000000000000B,valid,String,1.0,-9999999999999999999999,-9999999999999999999999B,valid,String,778
-100000000000000000000000,-100000000000000000000000B,valid,String,1.0,-99999999999999999999999,-99999999999999999999999B,valid,String,523
-1000000000000000000000000,-1000000000000000000000000B,valid,String,1.0,-999999999999999999999999,-999999999999999999999999B,valid,String,530
-10000000000000000000000000,-10000000000000000000000000B,valid,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,valid,String,505
-100000000000000000000000000,-100000000000000000000000000B,valid,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,valid,String,501
-1000000000000000000000000000,-1000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,valid,String,534
-10000000000000000000000000000,-10000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,valid,String,549
-100000000000000000000000000000,-100000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,valid,String,465
-1000000000000000000000000000000,-1000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,valid,String,346
-10000000000000000000000000000000,-10000000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,valid,String,146
-100000000000000000000000000000000,-100000000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,valid,String,25
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,valid,String,1
