bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
11,4,2,0,1,3.1009258126457566,0.0,384898,8.543284551178546e-6,9.899421873762572e-6,0.8630084322218521,6809,-110242,6.8 kB,-110242B
12,2,1,0,1,3.1049174719332173,0.0,2425003,7.9761354028746e-6,9.0046283789868e-6,0.8857817410308357,16506,-108868,16.5 kB,-108868B
11,4,3,0,1,3.0909172579112516,0.0,103349,7.962290591757437e-6,1.0095707305253806e-5,0.7886808076947576,-126048,-456,-126048B,-456B
12,0,1,0,1,3.1042893578776942,0.0,1478667,7.733652990990293e-6,8.99733678831066e-6,0.8595491280306252,118998,-10307,119.0 kB,-10307B
13,0,0,0,1,3.1041755201434817,0.0,957788,4.191114836546521e-6,4.733705402577976e-6,0.8853772003352891,-136503,102097,-136503B,102.1 kB
13,0,2,0,1,3.104697951252444,0.0,2139275,2.3899356940002815e-6,0.0196078431372549,0.00012188672039401436,651803,1032186,651.8 kB,1.0 MB
8,18,4,0,1,3.1020398660812765,0.0,589040,9.996401295533608e-7,1.0000070000490004e-6,0.999633132072454,1000361,1,1.0 MB,1B
9,12,3,0,1,3.090918259607475,0.0,122682,9.99116780765803e-7,1.000089007921705e-6,0.999027859372315,-9,1000875,-9B,1.0 MB
10,8,2,0,1,4.107196597706428,0.0,2902030,9.958274828468716e-7,1.0009188434983314e-6,0.9949133132176182,1004116,-74,1.0 MB,-74B
12,8,3,0,1,3.09091935751986,0.0,195868,9.941276877484698e-7,9.988333626324454e-7,0.9952888288877599,-1003014,2893,-1003014B,2.9 kB
11,4,1,0,1,3.10417651146649,0.0,1003996,9.912266528952243e-7,8.328033675539808e-6,0.11902289201910254,1008659,-192,1.0 MB,-192B
10,18,6,0,1,3.1020411424551093,0.0,741702,9.895865804143004e-7,9.99999000001e-7,0.9895875700008807,-1010531,-8,-1010531B,-8B
12,2,0,0,1,3.1048994905702743,0.0,2332319,9.844554484686797e-7,4.737270952949425e-6,0.20781066952815053,-1353,1014437,-1353B,1.0 MB
11,4,0,0,1,3.104897627112379,0.0,2254138,9.83968206019327e-7,1.0098776129320888e-6,0.9743440129962521,7288,1023581,7.3 kB,1.0 MB
11,12,5,0,1,3.1049379782983775,0.0,2490319,9.81185762994579e-7,1.0000540029161574e-6,0.9811327789633774,-1019195,-20,-1019195B,-20B
9,24,7,0,1,3.1051374686740876,0.0,2653295,9.652267414138256e-7,9.99998000004e-7,0.9652286718673084,-1036021,5,-1036021B,5B
13,4,3,0,1,4.107197522695671,0.0,2911198,9.150707832207297e-7,1.0097511670199113e-6,0.9062339446671671,-1561,-1003305,-1561B,-1003305B
12,8,4,0,1,3.1048984991488773,0.0,2281904,8.719771821010988e-7,1.0008968035359683e-6,0.8711958905459362,-786,-1147605,-786B,-1147605B
13,4,2,0,1,3.1020387572339656,-0.5,516098,7.782222291397531e-7,9.890981600796025e-7,0.7867997945493316,-1215755,69225,-1215755B,69.2 kB
14,2,2,0,1,4.106196600879935,0.0,2882836,7.72188369484104e-7,1.110385659147135e-6,0.6954235792969502,-14354,-1093538,-14354B,-1093538B
14,0,2,0,1,3.1042901036387884,0.0,1489354,7.457610939420334e-7,9.089942251596875e-7,0.820424457384228,1123383,-217529,1.1 MB,-217529B
14,2,1,0,1,3.1041782809358436,0.0,1265008,7.190231782514184e-7,8.996996802467337e-7,0.7991813202092429,-1172760,111033,-1172760B,111.0 kB
