x_,p,output,outputtype,datatype,metric,n_x_,n_p,n_output,n_outputtype,n_datatype,count
55366,0,1,valid,UInt16,4.0,55366,1,55366,valid,UInt16,2
51427,0,1,valid,UInt16,4.0,51427,1,51427,valid,UInt16,2
36132,0,1,valid,UInt16,4.0,36132,1,36132,valid,UInt16,2
24378,0,1,valid,Int64,4.0,24378,1,24378,valid,Int64,2
18772,0,1,valid,Int64,4.0,18772,1,18772,valid,Int64,2
16070,0,1,valid,UInt16,4.0,16070,1,16070,valid,UInt16,2
10862,0,1,valid,UInt16,4.0,10862,1,10862,valid,UInt16,2
8597,0,1,valid,Int64,3.0,8597,1,8597,valid,Int64,2
255,0,1,valid,UInt8,2.0,255,1,255,valid,UInt8,5
254,0,1,valid,UInt8,2.0,254,1,254,valid,UInt8,4
253,0,1,valid,UInt8,2.0,253,1,253,valid,UInt8,4
251,0,1,valid,UInt8,2.0,251,1,251,valid,UInt8,8
250,0,1,valid,UInt8,2.0,250,1,250,valid,UInt8,7
248,0,1,valid,UInt8,2.0,248,1,248,valid,UInt8,9
247,0,1,valid,UInt8,2.0,247,1,247,valid,UInt8,6
246,0,1,valid,UInt8,2.0,246,1,246,valid,UInt8,6
244,0,1,valid,UInt8,2.0,244,1,244,valid,UInt8,4
242,0,1,valid,UInt8,2.0,242,1,242,valid,UInt8,6
238,0,1,valid,UInt8,2.0,238,1,238,valid,UInt8,7
236,0,1,valid,UInt8,2.0,236,1,236,valid,UInt8,6
235,0,1,valid,UInt8,2.0,235,1,235,valid,UInt8,8
234,0,1,valid,UInt8,2.0,234,1,234,valid,UInt8,3
230,0,1,valid,UInt8,2.0,230,1,230,valid,UInt8,7
228,97,0,valid,UInt8,2.0,229,97,101,valid,UInt8,2
223,0,1,valid,UInt8,2.0,223,1,223,valid,UInt8,5
221,0,1,valid,UInt8,2.0,221,1,221,valid,UInt8,4
220,0,1,valid,UInt8,2.0,220,1,220,valid,UInt8,10
219,0,1,valid,UInt8,2.0,219,1,219,valid,UInt8,6
217,0,1,valid,UInt8,2.0,217,1,217,valid,UInt8,4
216,0,1,valid,UInt8,2.0,216,1,216,valid,UInt8,3
215,0,1,valid,UInt8,2.0,215,1,215,valid,UInt8,4
214,0,1,valid,UInt8,2.0,214,1,214,valid,UInt8,4
213,0,1,valid,UInt8,2.0,213,1,213,valid,UInt8,5
212,0,1,valid,UInt8,2.0,212,1,212,valid,UInt8,4
209,0,1,valid,UInt8,2.0,209,1,209,valid,UInt8,4
207,0,1,valid,UInt8,2.0,207,1,207,valid,UInt8,5
206,0,1,valid,UInt8,2.0,206,1,206,valid,UInt8,6
202,0,1,valid,UInt8,2.0,202,1,202,valid,UInt8,6
200,0,1,valid,UInt8,2.0,200,1,200,valid,UInt8,3
199,0,1,valid,UInt8,2.0,199,1,199,valid,UInt8,4
198,0,1,valid,UInt8,2.0,198,1,198,valid,UInt8,5
195,0,1,valid,UInt8,2.0,195,1,195,valid,UInt8,11
192,0,1,valid,UInt8,2.0,192,1,192,valid,UInt8,3
191,36,1,valid,UInt8,2.0,191,37,191,valid,UInt8,2
191,0,1,valid,UInt8,2.0,191,1,191,valid,UInt8,8
189,0,1,valid,UInt8,2.0,189,1,189,valid,UInt8,5
188,0,1,valid,UInt8,2.0,188,1,188,valid,UInt8,6
187,0,1,valid,UInt8,2.0,187,1,187,valid,UInt8,3
186,0,1,valid,UInt8,2.0,186,1,186,valid,UInt8,11
183,0,1,valid,UInt8,2.0,183,1,183,valid,UInt8,3
181,0,1,valid,UInt8,2.0,181,1,181,valid,UInt8,6
178,0,1,valid,UInt8,2.0,178,1,178,valid,UInt8,4
176,0,1,valid,UInt8,2.0,176,1,176,valid,UInt8,3
175,0,1,valid,UInt8,2.0,175,1,175,valid,UInt8,6
174,0,1,valid,UInt8,2.0,174,1,174,valid,UInt8,6
168,39,0,valid,UInt8,2.0,169,39,217,valid,UInt8,2
168,0,1,valid,UInt8,2.0,168,1,168,valid,UInt8,5
167,0,1,valid,UInt8,2.0,167,1,167,valid,UInt8,9
166,0,1,valid,UInt8,2.0,166,1,166,valid,UInt8,3
165,0,1,valid,UInt8,2.0,165,1,165,valid,UInt8,3
163,0,1,valid,UInt8,2.0,163,1,163,valid,UInt8,4
162,0,1,valid,UInt8,2.0,162,1,162,valid,UInt8,4
161,0,1,valid,UInt8,2.0,161,1,161,valid,UInt8,14
160,0,1,valid,UInt8,2.0,160,1,160,valid,UInt8,3
159,170,193,valid,UInt8,2.0,160,170,0,valid,UInt8,2
159,0,1,valid,UInt8,2.0,159,1,159,valid,UInt8,6
157,0,1,valid,UInt8,2.0,157,1,157,valid,UInt8,7
154,0,1,valid,UInt8,2.0,154,1,154,valid,UInt8,6
153,0,1,valid,UInt8,2.0,153,1,153,valid,UInt8,11
152,0,1,valid,UInt8,2.0,152,1,152,valid,UInt8,4
150,0,1,valid,UInt8,2.0,150,1,150,valid,UInt8,6
149,0,1,valid,UInt8,2.0,149,1,149,valid,UInt8,2
145,0,1,valid,UInt8,2.0,145,1,145,valid,UInt8,11
144,0,1,valid,UInt8,2.0,144,1,144,valid,UInt8,5
142,0,1,valid,UInt8,2.0,142,1,142,valid,UInt8,5
141,0,1,valid,UInt8,2.0,141,1,141,valid,UInt8,4
140,0,1,valid,UInt8,2.0,140,1,140,valid,UInt8,14
139,0,1,valid,UInt8,2.0,139,1,139,valid,UInt8,9
136,0,1,valid,UInt8,2.0,136,1,136,valid,UInt8,8
135,0,1,valid,UInt8,2.0,135,1,135,valid,UInt8,6
133,0,1,valid,UInt8,2.0,133,1,133,valid,UInt8,5
132,0,1,valid,UInt8,2.0,132,1,132,valid,UInt8,13
131,0,1,valid,UInt8,2.0,131,1,131,valid,UInt8,13
130,0,1,valid,UInt8,2.0,130,1,130,valid,UInt8,7
128,0,1,valid,UInt8,2.0,128,1,128,valid,UInt8,8
127,0,1,valid,Int64,2.0,127,1,127,valid,Int64,8
126,2,4,valid,UInt8,2.0,126,3,248,valid,UInt8,2
126,0,1,valid,Int64,2.0,126,1,126,valid,Int64,10
125,0,1,valid,Int64,2.0,125,1,125,valid,Int64,6
124,0,1,valid,Int64,2.0,124,1,124,valid,Int64,5
122,0,1,valid,Int64,2.0,122,1,122,valid,Int64,5
