x_,p,output,outputtype,datatype,metric,n_x_,n_p,n_output,n_outputtype,n_datatype,count
64271,0,1,valid,UInt16,4.0,64271,1,64271,valid,UInt16,2
36691,0,1,valid,UInt16,4.0,36691,1,36691,valid,UInt16,2
20530,0,1,valid,UInt16,4.0,20530,1,20530,valid,UInt16,2
15935,0,1,valid,UInt16,4.0,15935,1,15935,valid,UInt16,2
7804,0,1,valid,Int64,3.0,7804,1,7804,valid,Int64,2
3449,0,1,valid,Int64,3.0,3449,1,3449,valid,Int64,2
255,0,1,valid,UInt8,2.0,255,1,255,valid,UInt8,14
253,0,1,valid,UInt8,2.0,253,1,253,valid,UInt8,9
249,0,1,valid,UInt8,2.0,249,1,249,valid,UInt8,6
248,0,1,valid,UInt8,2.0,248,1,248,valid,UInt8,9
247,0,1,valid,UInt8,2.0,247,1,247,valid,UInt8,5
246,0,1,valid,UInt8,2.0,246,1,246,valid,UInt8,4
244,0,1,valid,UInt8,2.0,244,1,244,valid,UInt8,8
243,0,1,valid,UInt8,2.0,243,1,243,valid,UInt8,2
242,0,1,valid,UInt8,2.0,242,1,242,valid,UInt8,2
240,0,1,valid,UInt8,2.0,240,1,240,valid,UInt8,9
239,0,1,valid,UInt8,2.0,239,1,239,valid,UInt8,7
238,0,1,valid,UInt8,2.0,238,1,238,valid,UInt8,3
237,0,1,valid,UInt8,2.0,237,1,237,valid,UInt8,3
235,0,1,valid,UInt8,2.0,235,1,235,valid,UInt8,3
233,0,1,valid,UInt8,2.0,233,1,233,valid,UInt8,5
231,0,1,valid,UInt8,2.0,231,1,231,valid,UInt8,2
227,0,1,valid,UInt8,2.0,227,1,227,valid,UInt8,6
226,47,0,valid,UInt8,1.0,227,47,11,valid,UInt8,2
225,0,1,valid,UInt8,2.0,225,1,225,valid,UInt8,8
217,226,241,valid,UInt8,2.0,218,226,0,valid,UInt8,2
217,0,1,valid,UInt8,2.0,217,1,217,valid,UInt8,3
216,0,1,valid,UInt8,2.0,216,1,216,valid,UInt8,5
214,0,1,valid,UInt8,2.0,214,1,214,valid,UInt8,7
213,0,1,valid,UInt8,2.0,213,1,213,valid,UInt8,6
212,0,1,valid,UInt8,2.0,212,1,212,valid,UInt8,5
211,0,1,valid,UInt8,2.0,211,1,211,valid,UInt8,4
208,0,1,valid,UInt8,2.0,208,1,208,valid,UInt8,4
207,0,1,valid,UInt8,2.0,207,1,207,valid,UInt8,5
204,0,1,valid,UInt8,2.0,204,1,204,valid,UInt8,4
202,0,1,valid,UInt8,2.0,202,1,202,valid,UInt8,3
201,0,1,valid,UInt8,2.0,201,1,201,valid,UInt8,4
200,204,0,valid,UInt8,2.0,201,204,225,valid,UInt8,2
199,0,1,valid,UInt8,2.0,199,1,199,valid,UInt8,7
195,0,1,valid,UInt8,2.0,195,1,195,valid,UInt8,5
193,0,1,valid,UInt8,2.0,193,1,193,valid,UInt8,7
192,0,1,valid,UInt8,2.0,192,1,192,valid,UInt8,4
191,0,1,valid,UInt8,2.0,191,1,191,valid,UInt8,7
188,0,1,valid,UInt8,2.0,188,1,188,valid,UInt8,4
187,0,1,valid,UInt8,2.0,187,1,187,valid,UInt8,2
186,0,1,valid,UInt8,2.0,186,1,186,valid,UInt8,7
181,0,1,valid,UInt8,2.0,181,1,181,valid,UInt8,8
177,160,1,valid,UInt8,2.0,177,161,177,valid,UInt8,2
177,0,1,valid,UInt8,2.0,177,1,177,valid,UInt8,5
175,0,1,valid,UInt8,2.0,175,1,175,valid,UInt8,5
173,106,137,valid,UInt8,2.0,174,106,0,valid,UInt8,2
172,0,1,valid,UInt8,2.0,172,1,172,valid,UInt8,4
168,0,1,valid,UInt8,2.0,168,1,168,valid,UInt8,6
167,0,1,valid,UInt8,2.0,167,1,167,valid,UInt8,7
166,0,1,valid,UInt8,2.0,166,1,166,valid,UInt8,15
163,0,1,valid,UInt8,2.0,163,1,163,valid,UInt8,4
162,0,1,valid,UInt8,2.0,162,1,162,valid,UInt8,2
161,0,1,valid,UInt8,2.0,161,1,161,valid,UInt8,12
158,0,1,valid,UInt8,2.0,158,1,158,valid,UInt8,10
157,0,1,valid,UInt8,2.0,157,1,157,valid,UInt8,7
154,56,0,valid,UInt8,1.0,155,56,33,valid,UInt8,2
154,0,1,valid,UInt8,2.0,154,1,154,valid,UInt8,10
153,0,1,valid,UInt8,2.0,153,1,153,valid,UInt8,6
146,36,0,valid,UInt8,2.0,147,36,145,valid,UInt8,2
146,0,1,valid,UInt8,2.0,146,1,146,valid,UInt8,5
142,0,1,valid,UInt8,2.0,142,1,142,valid,UInt8,4
141,0,1,valid,UInt8,2.0,141,1,141,valid,UInt8,2
138,0,1,valid,UInt8,2.0,138,1,138,valid,UInt8,4
