bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
16,6,6,1,1,9.30739288631658e-5,0.08108649612461213,0.0011478351305269328,414823.0,0.0,424756.0,-73.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
8,4,14,0,1,9.253952180922475e-5,9.551185208795227e-5,0.9688799849050101,9.0,10315.0,1.0,0.0,Severely obese,Underweight
17,2,6,1,1,9.175413421371805e-5,0.0008660851024529969,0.10594124521232903,11993.0,-9758.0,14426.0,20.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
11,4,14,0,1,9.166041679621316e-5,9.49337829173267e-5,0.9655194808368255,6.0,1174.0,10354.0,4.0,Severely obese,Underweight
12,3,14,0,1,9.100684307159416e-5,9.524800312470871e-5,0.9554724517682374,10311.0,24.0,1.0,1952.0,Underweight,Severely obese
17,0,14,0,1,9.046380841740534e-5,0.0009950126441421428,0.0909172450721964,8752.0,25053.0,950.0,32157.0,Underweight,Severely obese
12,6,10,1,1,9.004572514426496e-5,9.466748571132914e-5,0.9511790079525574,1889.0,-10349.0,0.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,5,10,1,1,8.933954999070635e-5,9.473652189636031e-5,0.9430317706664582,1.0,3.0,-10603.0,56.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,5,6,1,1,8.913693574911243e-5,9.24528283396227e-5,0.9641342222832877,13.0,0.0,-10359.0,1.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
13,1,14,0,1,8.858031781480885e-5,0.00010507108742237524,0.8430513092409984,10.0,151.0,10786.0,182.0,Severely obese,Underweight
13,3,10,1,1,8.827964940275092e-5,9.449773037040549e-5,0.9341986210326811,70.0,111.0,-10661.0,13.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
19,0,10,1,1,8.809912301364151e-5,0.0003769711876845625,0.2337025372012252,-1997.0,22297.0,1937.0,12289.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
13,6,10,1,1,8.425435863817693e-5,9.339369458886782e-5,0.9021418309777386,1.0,1.0,-10719.0,-3392.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,5,6,1,1,8.401355354958961e-5,9.244223830160438e-5,0.9088221476797745,721.0,1.0,2.0,-10980.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
15,2,10,1,1,8.209524163902268e-5,0.04595411842793678,0.0017864610278132268,-11503.0,1188.0,21.0,583.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
